index,id,paragraph,question,choices,answer,options,ko,en
0,KIIP_economy_1,,"다음은 한국 사회의 경제에 대한 문제이다.
한국이 외환위기를 완전히 극복한 년도는 언제인가?","['A. 1999년', 'B. 2000년', 'C. 2001년', 'D. 2002년']",C,"A. 1999년
B. 2000년
C. 2001년
D. 2002년
","다음은 한국 사회의 경제에 대한 문제이다.
한국이 외환위기를 완전히 극복한 년도는 언제인가?
A. 1999년
B. 2000년
C. 2001년
D. 2002년
","Next is the problem of the economy of Korean society.
In what year did Korea completely overcome the foreign exchange crisis?
A: 1999
B. 2000
C. 2001
D. 2002
"
1,KIIP_economy_2,,"다음은 한국 사회의 경제에 대한 문제이다.
1960년 한국의 1인당 국민총소득은 얼마였는가?","['A. 79달러', 'B. 800달러', 'C. 8,000달러', 'D. 80,000달러']",A,"A. 79달러
B. 800달러
C. 8,000달러
D. 80,000달러
","다음은 한국 사회의 경제에 대한 문제이다.
1960년 한국의 1인당 국민총소득은 얼마였는가?
A. 79달러
B. 800달러
C. 8,000달러
D. 80,000달러
","Next is the problem of the economy of Korean society.
What was Korea’s gross national income per capita in 1960?
A. $79
B. $800
C. $8,000
D. $80,000
"
2,KIIP_economy_3,,"다음은 한국 사회의 경제에 대한 문제이다.
한국이 외환위기를 겪은 년도는 언제인가?","['A. 1995년', 'B. 1996년', 'C. 1997년', 'D. 1998년']",C,"A. 1995년
B. 1996년
C. 1997년
D. 1998년
","다음은 한국 사회의 경제에 대한 문제이다.
한국이 외환위기를 겪은 년도는 언제인가?
A. 1995년
B. 1996년
C. 1997년
D. 1998년
","Next is the problem of the economy of Korean society.
In what year did Korea experience a foreign exchange crisis?
A: 1995
B. 1996
C. 1997
D. 1998
"
3,KIIP_economy_4,,"다음은 한국 사회의 경제에 대한 문제이다.
한강은 어느 도시를 통과하는가?","['A. 부산', 'B. 대구', 'C. 인천', 'D. 서울']",D,"A. 부산
B. 대구
C. 인천
D. 서울
","다음은 한국 사회의 경제에 대한 문제이다.
한강은 어느 도시를 통과하는가?
A. 부산
B. 대구
C. 인천
D. 서울
","Next is the problem of the economy of Korean society.
Which cities does the Han River pass through?
A. Busan
B. Daegu
C. Incheon
D. Seoul
"
4,KIIP_economy_5,,"다음은 한국 사회의 경제에 대한 문제이다.
1970년대부터 한국에서 발달하기 시작한 산업은 무엇인가?","['A. 농업', 'B. 경공업', 'C. 중화학 공업', 'D. 서비스 업']",C,"A. 농업
B. 경공업
C. 중화학 공업
D. 서비스 업
","다음은 한국 사회의 경제에 대한 문제이다.
1970년대부터 한국에서 발달하기 시작한 산업은 무엇인가?
A. 농업
B. 경공업
C. 중화학 공업
D. 서비스 업
","Next is the problem of the economy of Korean society.
What industries began to develop in Korea in the 1970s?
A. Agriculture
B. Light industry
C. Heavy chemical industry
D. Service industry
"
5,KIIP_economy_6,,"다음은 한국 사회의 경제에 대한 문제이다.
2010년대 한국의 산업 구조는 어떤 산업이 주축이 되는가?","['A. 농업과 임업', 'B. 제조업과 서비스 업', 'C. 경공업과 중화학 공업', 'D. 광업과 에너지 업']",B,"A. 농업과 임업
B. 제조업과 서비스 업
C. 경공업과 중화학 공업
D. 광업과 에너지 업
","다음은 한국 사회의 경제에 대한 문제이다.
2010년대 한국의 산업 구조는 어떤 산업이 주축이 되는가?
A. 농업과 임업
B. 제조업과 서비스 업
C. 경공업과 중화학 공업
D. 광업과 에너지 업
","Next is the problem of the economy of Korean society.
What industry is the main axis of Korea's industrial structure in the 2010s?
A. Agriculture and Forestry
B. Manufacturing and service industries
C. Light industry and heavy chemical industry
D. Mining and energy industry
"
6,KIIP_economy_7,,"다음은 한국 사회의 경제에 대한 문제이다.
2014년 한국의 1인당 국민총소득은 얼마였는가?","['A. 2,800달러', 'B. 28,000달러', 'C. 280,000달러', 'D. 2,800,000달러']",B,"A. 2,800달러
B. 28,000달러
C. 280,000달러
D. 2,800,000달러
","다음은 한국 사회의 경제에 대한 문제이다.
2014년 한국의 1인당 국민총소득은 얼마였는가?
A. 2,800달러
B. 28,000달러
C. 280,000달러
D. 2,800,000달러
","Next is the problem of the economy of Korean society.
What was Korea’s gross national income per capita in 2014?
A. $2,800
B. $28,000
C. $280,000
D. $2,800,000
"
7,KIIP_economy_8,,"다음은 한국 사회의 경제에 대한 문제이다.
한국의 눈부신 경제 성장을 가리켜 무엇이라 부르는가?","['A. 한강의 기적', 'B. 서울의 기적', 'C. 경제의 기적', 'D. 산업의 기적']",A,"A. 한강의 기적
B. 서울의 기적
C. 경제의 기적
D. 산업의 기적
","다음은 한국 사회의 경제에 대한 문제이다.
한국의 눈부신 경제 성장을 가리켜 무엇이라 부르는가?
A. 한강의 기적
B. 서울의 기적
C. 경제의 기적
D. 산업의 기적
","Next is the problem of the economy of Korean society.
What do you call Korea’s remarkable economic growth?
A. Miracle on the Han River
B. Miracle in Seoul
C. The economic miracle
D. The Miracle of Industry
"
8,KIIP_economy_9,,"다음은 한국 사회의 경제에 대한 문제이다.
한국이 1960년대에 발달시킨 산업은 무엇인가?","['A. 중화학 공업', 'B. 제조업', 'C. 경공업', 'D. 서비스업']",C,"A. 중화학 공업
B. 제조업
C. 경공업
D. 서비스업
","다음은 한국 사회의 경제에 대한 문제이다.
한국이 1960년대에 발달시킨 산업은 무엇인가?
A. 중화학 공업
B. 제조업
C. 경공업
D. 서비스업
","Next is the problem of the economy of Korean society.
What industries did Korea develop in the 1960s?
A. Heavy chemical industry
B. Manufacturing
C. Light industry
D. Service industry
"
9,KIIP_economy_10,,"다음은 한국 사회의 경제에 대한 문제이다.
2000년대 이후 한국이 주로 수출하는 상품은 무엇인가?","['A. 옷, 신발, 가발', 'B. 흑연, 텅스텐, 철광석', 'C. 반도체, 선박, 자동차, 휴대폰, 석유 제품', 'D. 생명 공학, 정보 통신 제품']",C,"A. 옷, 신발, 가발
B. 흑연, 텅스텐, 철광석
C. 반도체, 선박, 자동차, 휴대폰, 석유 제품
D. 생명 공학, 정보 통신 제품
","다음은 한국 사회의 경제에 대한 문제이다.
2000년대 이후 한국이 주로 수출하는 상품은 무엇인가?
A. 옷, 신발, 가발
B. 흑연, 텅스텐, 철광석
C. 반도체, 선박, 자동차, 휴대폰, 석유 제품
D. 생명 공학, 정보 통신 제품
","Next is the problem of the economy of Korean society.
What products has Korea mainly exported since the 2000s?
A. Clothes, shoes, wigs
B. Graphite, tungsten, iron ore
C. Semiconductors, ships, automobiles, mobile phones, petroleum products
D. Biotechnology, information and communication products
"
