index,id,paragraph,question,choices,answer,options,ko,en
190,KHB_66_1,,"다음은 한국의 역사에 대한 문제이다.
(가) 시대의 생활 모습으로 옳은 것은?
VR가상 체험관
금속 도구를 사용하기 시작한 (가) 시대의 대표적 유물인 비파형 동검을 만들어 봅시다.
손잡이를 돌려 거푸집에 주물을 부어 보세요.","['A. 우경이 널리 보급되었다.', 'B. 철제 농기구를 사용하였다.', 'C. 주로 동굴이나 막집에서 살았다.', 'D. 지배층의 무덤으로 고인돌을 만들었다.']",D,"A. 우경이 널리 보급되었다.
B. 철제 농기구를 사용하였다.
C. 주로 동굴이나 막집에서 살았다.
D. 지배층의 무덤으로 고인돌을 만들었다.
","다음은 한국의 역사에 대한 문제이다.
(가) 시대의 생활 모습으로 옳은 것은?
VR가상 체험관
금속 도구를 사용하기 시작한 (가) 시대의 대표적 유물인 비파형 동검을 만들어 봅시다.
손잡이를 돌려 거푸집에 주물을 부어 보세요.
A. 우경이 널리 보급되었다.
B. 철제 농기구를 사용하였다.
C. 주로 동굴이나 막집에서 살았다.
D. 지배층의 무덤으로 고인돌을 만들었다.
","Next is a question about Korea's history.
(a) What is the correct way to live in that era?
VR virtual experience center
Let's make a lute-shaped bronze sword, a representative relic of the A period when metal tools began to be used.
Turn the handle to pour the casting into the mold.
A. Right-wing views have become widespread.
B. Iron farming tools were used.
C. They mainly lived in caves or huts.
D. Dolmens were made as tombs for the ruling class.
"
191,KHB_66_2,,"다음은 한국의 역사에 대한 문제이다.
다음과 관련된 나라로 옳은 것은?

- 읍균, 상로
- 무천
- 책화, 족외혼","['A. 동예', 'B. 부여', 'C. 삼한', 'D. 옥저']",A,"A. 동예
B. 부여
C. 삼한
D. 옥저
","다음은 한국의 역사에 대한 문제이다.
다음과 관련된 나라로 옳은 것은?

- 읍균, 상로
- 무천
- 책화, 족외혼
A. 동예
B. 부여
C. 삼한
D. 옥저
","Next is a question about Korea's history.
Which of the following is correct regarding the country?

- Eupgyun, Sangno
- Mucheon
- Book painting, exogamy
A. Dongye
B. Grant
C. Samhan
D. Okjeo
"
192,KHB_66_3,,"다음은 한국의 역사에 대한 문제이다.
(가)에 들어갈 내용으로 옳은 것은?
<다큐멘터리 기획안〉
백제, 전성기를 맞이하다
•  기획 의도
4세기 중반 활발한 대외 활동을 전개하고 백제를 발전시킨 근초고왕의 업적을 조명한다.
• 구성 내용
1부. 마한의 여러 세력을 복속시키다
2부. (가)
3부. 남조의 동진 및 왜와 교류하다","['A. 사비로 천도하다', 'B. 22담로를 설치하다', 'C. 고국원왕을 전사시키다', 'D. 독서삼품과를 시행하다']",C,"A. 사비로 천도하다
B. 22담로를 설치하다
C. 고국원왕을 전사시키다
D. 독서삼품과를 시행하다
","다음은 한국의 역사에 대한 문제이다.
(가)에 들어갈 내용으로 옳은 것은?
<다큐멘터리 기획안〉
백제, 전성기를 맞이하다
•  기획 의도
4세기 중반 활발한 대외 활동을 전개하고 백제를 발전시킨 근초고왕의 업적을 조명한다.
• 구성 내용
1부. 마한의 여러 세력을 복속시키다
2부. (가)
3부. 남조의 동진 및 왜와 교류하다
A. 사비로 천도하다
B. 22담로를 설치하다
C. 고국원왕을 전사시키다
D. 독서삼품과를 시행하다
","Next is a question about Korea's history.
Which of the following is correct in (a)?
<Documentary plan>
Baekje reaches its heyday
•  Planning the road
It highlights the achievements of King Geunchogo, who actively engaged in foreign activities and developed Baekje in the mid-4th century.
• What it consists of
chapter 1. Subjugate various forces of Mahan
Part 2. (go)
Part 3. Interacting with the Eastern Jin and Japanese of the Southern Dynasty
A. Move the capital at private expense
B. Installing 22 fences
C. Killing King Gogukwon
D. Implementation of reading sampumgwa
"
193,KHB_66_4,,"다음은 한국의 역사에 대한 문제이다.
다음은 역사적 사건을 시간 순으로 나열한 것이다. (가) 시기에 있었던 사실로 옳은 것은?
수의 군대를 이곳 살수에서 크게 물리쳤노라.,
(가),
우리가 안시성에서 힘을 합쳐 당군을 물리쳤다.","['A. 김흠돌이 반란을 도모하였다.', 'B. 연개소문이 정변을 일으켰다.', 'C. 장문휴가 당의 산둥 반도를 공격하였다.', 'D. 검모잠이 고구려 부흥 운동을 전개하였다.']",B,"A. 김흠돌이 반란을 도모하였다.
B. 연개소문이 정변을 일으켰다.
C. 장문휴가 당의 산둥 반도를 공격하였다.
D. 검모잠이 고구려 부흥 운동을 전개하였다.
","다음은 한국의 역사에 대한 문제이다.
다음은 역사적 사건을 시간 순으로 나열한 것이다. (가) 시기에 있었던 사실로 옳은 것은?
수의 군대를 이곳 살수에서 크게 물리쳤노라.,
(가),
우리가 안시성에서 힘을 합쳐 당군을 물리쳤다.
A. 김흠돌이 반란을 도모하였다.
B. 연개소문이 정변을 일으켰다.
C. 장문휴가 당의 산둥 반도를 공격하였다.
D. 검모잠이 고구려 부흥 운동을 전개하였다.
","Next is a question about Korea's history.
The following is a chronological list of historical events. (A) Which of the following is correct regarding the facts that occurred during the period?
We defeated Sui's army here at Salsu.
(go),
We joined forces at Ansi Fortress and defeated the Tang army.
A. Kim Heum-dol planned a rebellion.
B. Yeon Gaesomun caused a coup.
C. Zhang Wenxi attacked Tang's Shandong Peninsula.
D. Geommojam launched the Goguryeo revival movement.
"
194,KHB_66_5,,"다음은 한국의 역사에 대한 문제이다.
다음 퀴즈의 정답으로 옳은 것은?
혈통에 따라 관직 진출뿐만 아니라 일상생활까지 차별한 신라의 신분 제도는 무엇일까요?","['A. 골품 제도', 'B. 기인 제도', 'C. 음서 제도', 'D. 상수리 제도']",A,"A. 골품 제도
B. 기인 제도
C. 음서 제도
D. 상수리 제도
","다음은 한국의 역사에 대한 문제이다.
다음 퀴즈의 정답으로 옳은 것은?
혈통에 따라 관직 진출뿐만 아니라 일상생활까지 차별한 신라의 신분 제도는 무엇일까요?
A. 골품 제도
B. 기인 제도
C. 음서 제도
D. 상수리 제도
","Next is a question about Korea's history.
What is the correct answer to the following quiz?
What is Silla's status system that discriminated not only in advancement to government positions but also in daily life based on lineage?
A. Bone system
B. Gein system
C. Music book system
D. Sangsuri Islands
"
195,KHB_66_6,,"다음은 한국의 역사에 대한 문제이다.
다음과 관련된 문화유산으로 옳은 것은?
•종목: 국보
• 소재지: 경상북도 경주시
• 소개: 신라 선덕여왕 때 벽돌 모양으로 돌을 다듬어 쌓은 탑으로, 기단 위 모퉁이에 화강암으로 조각한 사자상이 놓여 있다.","['A. 분황사 모전 석탑', 'B. 정림사지 오층 석탑', 'C. 월정사 팔각 구층 석탑', 'D. 화엄사 사사자 삼층 석탑']",A,"A. 분황사 모전 석탑
B. 정림사지 오층 석탑
C. 월정사 팔각 구층 석탑
D. 화엄사 사사자 삼층 석탑
","다음은 한국의 역사에 대한 문제이다.
다음과 관련된 문화유산으로 옳은 것은?
•종목: 국보
• 소재지: 경상북도 경주시
• 소개: 신라 선덕여왕 때 벽돌 모양으로 돌을 다듬어 쌓은 탑으로, 기단 위 모퉁이에 화강암으로 조각한 사자상이 놓여 있다.
A. 분황사 모전 석탑
B. 정림사지 오층 석탑
C. 월정사 팔각 구층 석탑
D. 화엄사 사사자 삼층 석탑
","Next is a question about Korea's history.
Which of the following is true regarding cultural heritage?
•Event: National Treasure
• Location: Gyeongju-si, Gyeongsangbuk-do
• Introduction: This is a pagoda built with stones shaped like bricks during the reign of Queen Seondeok of Silla. There is a lion statue carved out of granite at the corner of the stylobate.
A. Stone pagoda of Bunhwangsa Temple
B. Five-story stone pagoda at Jeongnimsa Temple site
C. Woljeongsa Octagonal Nine-story Stone Pagoda
D. Hwaeomsa Temple Four Lions Three-story Stone Pagoda
"
196,KHB_66_7,,"다음은 한국의 역사에 대한 문제이다.
다음 사건이 일어난 시기를 연표에서 옳게 고른 것은?
진성왕 3년, 나라 안의 모든 주와 군에서 공물과 부세를 보내지 않아 창고가 텅 비어 나라의 재정이 궁핍해졌다. 왕이 관리를 보내 독촉하니 곳곳에서 도적이 벌떼처럼 일어났다. 이때 원종과 애노 등이 사벌주를 거점으로 반란을 일으켰다.
- 『삼국사기」 -
<연표>
433 나제 동맹 성립
(가)
562 진흥왕 신라 대가야 병합
(나)
676 신라  삼국 통일
(다)
780 헤공왕 피살
(라)
918 고려 건국","['A. (가)', 'B. (나)', 'C. (다)', 'D. (라)']",D,"A. (가)
B. (나)
C. (다)
D. (라)
","다음은 한국의 역사에 대한 문제이다.
다음 사건이 일어난 시기를 연표에서 옳게 고른 것은?
진성왕 3년, 나라 안의 모든 주와 군에서 공물과 부세를 보내지 않아 창고가 텅 비어 나라의 재정이 궁핍해졌다. 왕이 관리를 보내 독촉하니 곳곳에서 도적이 벌떼처럼 일어났다. 이때 원종과 애노 등이 사벌주를 거점으로 반란을 일으켰다.
- 『삼국사기」 -
<연표>
433 나제 동맹 성립
(가)
562 진흥왕 신라 대가야 병합
(나)
676 신라  삼국 통일
(다)
780 헤공왕 피살
(라)
918 고려 건국
A. (가)
B. (나)
C. (다)
D. (라)
","Next is a question about Korea's history.
Which of the following correctly selects the time period in which the following events occurred?
In the third year of King Jinseong's reign, all the states and counties in the country did not send tribute and taxes, leaving warehouses empty and the country's finances depleted. The king sent officials to urge them, and thieves arose like bees everywhere. At this time, Wonjong, Aeno, and others staged a rebellion based on Sabeolju.
- 『History of the Three Kingdoms』 -
<Chronological table>
433 Naje Alliance established
(go)
562 King Jinheung annexed Daegaya of Silla
(me)
676 Unification of the Three Kingdoms of Silla
(all)
780 King Hegong assassinated
(la)
918 Founding of Goryeo
A. (A)
B. (B)
C. (c)
D. (D)
"
197,KHB_66_8,,"다음은 한국의 역사에 대한 문제이다.
다음 글의 '인물'에 대한 설명으로 옳은 것은?
문화유산을 찾아서-상주 편 그는 아들 신검에 의해 금산사에 유폐된 비운의 왕이기도 해. 이 사당은 후백제를 세운 '인물'을 기리고 있어.","['A. 청해진을 설치하였다.', 'B. 국호를 마진으로 하였다.', 'C. 경주의 사심관으로 임명되었다.', 'D. 공산 전투에서 고려에 승리하였다.']",D,"A. 청해진을 설치하였다.
B. 국호를 마진으로 하였다.
C. 경주의 사심관으로 임명되었다.
D. 공산 전투에서 고려에 승리하였다.
","다음은 한국의 역사에 대한 문제이다.
다음 글의 '인물'에 대한 설명으로 옳은 것은?
문화유산을 찾아서-상주 편 그는 아들 신검에 의해 금산사에 유폐된 비운의 왕이기도 해. 이 사당은 후백제를 세운 '인물'을 기리고 있어.
A. 청해진을 설치하였다.
B. 국호를 마진으로 하였다.
C. 경주의 사심관으로 임명되었다.
D. 공산 전투에서 고려에 승리하였다.
","Next is a question about Korea's history.
Which of the following is a correct description of 'character'?
In Search of Cultural Heritage - Sangju Edition He is also an unfortunate king who was imprisoned in Geumsansa Temple by his son Shingeom. This shrine honors the ‘person’ who founded Later Baekje.
A. Cheonghaejin was established.
B. The name of the country was Majin.
C. Appointed as a private examiner in Gyeongju.
D. Victory over Goryeo in the Battle of Gongsan.
"
198,KHB_66_9,,"다음은 한국의 역사에 대한 문제이다.
다음 자료에 해당하는 국가의 문화유산으로 옳은 것은?
• 대조영은 마침내 그 무리를 거느리고 동쪽으로 가서 계루부의 옛 땅을 차지하고, 동포산에 웅거하여 성을 쌓고 살았다.
• 대인수가 왕위에 올라 연호를 건흥으로 바꾸었다.
여러 차례 학생들을 유학 보내어 고금의 제도를 익히게 하니. 비로소 해동성국에 이르렀다.","['A. 영광탑', 'B. 금관총 금관', 'C. 금동 대향로', 'D. 판갑옷과 투구']",A,"A. 영광탑
B. 금관총 금관
C. 금동 대향로
D. 판갑옷과 투구
","다음은 한국의 역사에 대한 문제이다.
다음 자료에 해당하는 국가의 문화유산으로 옳은 것은?
• 대조영은 마침내 그 무리를 거느리고 동쪽으로 가서 계루부의 옛 땅을 차지하고, 동포산에 웅거하여 성을 쌓고 살았다.
• 대인수가 왕위에 올라 연호를 건흥으로 바꾸었다.
여러 차례 학생들을 유학 보내어 고금의 제도를 익히게 하니. 비로소 해동성국에 이르렀다.
A. 영광탑
B. 금관총 금관
C. 금동 대향로
D. 판갑옷과 투구
","Next is a question about Korea's history.
Which of the following is a true cultural heritage of the country?
• Dae Jo-yeong finally took his group to the east, took possession of the old land of Gyerubu, settled down in Dongpo Mountain, built a castle, and lived there.
• Dae Insu ascended to the throne and changed the era name to Geonheung.
We sent students abroad several times to learn the systems of ancient times and modern times. We have finally reached the Kingdom of Thadong.
A. Yeonggwang Tower
B. Golden Crown Chong Gold Crown
C. Gilt-bronze incense burner
D. Plate armor and helmet
"
199,KHB_66_10,,"다음은 한국의 역사에 대한 문제이다.
다음 글의 왕의 업적으로 옳은 것은?
청주 용두사지 철당간에는 준풍이라는 연호가 새겨져 있습니다. 이 연호를 사용한 왕의 업적은 다음과 같습니다.
<업적>
노비안검법을 시행했어요.
관리의 복색을 제정했어요.","['A. 강화도로 천도했어요.', 'B. 쌍성총관부를 수복했어요.', 'C. 지방에 12목을 설치했어요.', 'D. 과거제를 처음으로 시행했어요.']",D,"A. 강화도로 천도했어요.
B. 쌍성총관부를 수복했어요.
C. 지방에 12목을 설치했어요.
D. 과거제를 처음으로 시행했어요.
","다음은 한국의 역사에 대한 문제이다.
다음 글의 왕의 업적으로 옳은 것은?
청주 용두사지 철당간에는 준풍이라는 연호가 새겨져 있습니다. 이 연호를 사용한 왕의 업적은 다음과 같습니다.
<업적>
노비안검법을 시행했어요.
관리의 복색을 제정했어요.
A. 강화도로 천도했어요.
B. 쌍성총관부를 수복했어요.
C. 지방에 12목을 설치했어요.
D. 과거제를 처음으로 시행했어요.
","Next is a question about Korea's history.
Which of the following is true about the king's accomplishments?
The era name “Junpung” is engraved on the iron hall of Yongdusa Temple Site in Cheongju. The achievements of kings who used this era name are as follows.
<Achievements>
I performed the Novy blepharoplasty.
The official uniform was established.
A. The capital was moved to Ganghwa Island.
B. Ssangseong Commandery Department was restored.
C. 12 branches were established in the local area.
D. The civil service examination system was implemented for the first time.
"
