index,id,paragraph,question,choices,answer,options,ko,en
689,KIIP_politics_1,,"다음은 한국사회의 정치에 대한 문제이다.
한국 민주정치의 발전에 영향을 미친 주요 사건 중 하나는 무엇인가?","['A. 대한민국 헌법의 제정', 'B. 6·25 전쟁', 'C. 일본의 항복', 'D. 북한의 핵 실험']",A,"A. 대한민국 헌법의 제정
B. 6·25 전쟁
C. 일본의 항복
D. 북한의 핵 실험
","다음은 한국사회의 정치에 대한 문제이다.
한국 민주정치의 발전에 영향을 미친 주요 사건 중 하나는 무엇인가?
A. 대한민국 헌법의 제정
B. 6·25 전쟁
C. 일본의 항복
D. 북한의 핵 실험
","Next is the issue of politics in Korean society.
What is one of the major events that influenced the development of Korean democratic politics?
A. Enactment of the Constitution of the Republic of Korea
B. Korean War
C. Japan’s Surrender
D. North Korea’s nuclear test
"
690,KIIP_politics_2,,"다음은 한국사회의 정치에 대한 문제이다.
1987년 6월에 시민들이 주장한 것은 무엇인가?","['A. 대통령 직선제', 'B. 국회의원 직선제', 'C. 지방자치제', 'D. 국민투표제']",A,"A. 대통령 직선제
B. 국회의원 직선제
C. 지방자치제
D. 국민투표제
","다음은 한국사회의 정치에 대한 문제이다.
1987년 6월에 시민들이 주장한 것은 무엇인가?
A. 대통령 직선제
B. 국회의원 직선제
C. 지방자치제
D. 국민투표제
","Next is the issue of politics in Korean society.
What did citizens claim in June 1987?
A. Direct presidential election
B. Direct election of members of the National Assembly
C. Local self-government
D. Referendum system
"
691,KIIP_politics_3,,"다음은 한국사회의 정치에 대한 문제이다.
1987년에 대통령 직선제 개헌을 주장하는 시민들의 시위가 확산된 월은 언제인가?","['A. 5월', 'B. 6월', 'C. 7월', 'D. 8월']",B,"A. 5월
B. 6월
C. 7월
D. 8월
","다음은 한국사회의 정치에 대한 문제이다.
1987년에 대통령 직선제 개헌을 주장하는 시민들의 시위가 확산된 월은 언제인가?
A. 5월
B. 6월
C. 7월
D. 8월
","Next is the issue of politics in Korean society.
In which month in 1987 did citizens' protests demanding a constitutional amendment to direct presidential election spread?
A: May
B.June
C. July
D. August
"
692,KIIP_politics_4,,"다음은 한국사회의 정치에 대한 문제이다.
한국의 민주화 과정에 영향을 끼친 것은 어떤 시기 이후인가?","['A. 1970년대 이후', 'B. 1980년대 이후', 'C. 1990년대 이후', 'D. 2000년대 이후']",B,"A. 1970년대 이후
B. 1980년대 이후
C. 1990년대 이후
D. 2000년대 이후
","다음은 한국사회의 정치에 대한 문제이다.
한국의 민주화 과정에 영향을 끼친 것은 어떤 시기 이후인가?
A. 1970년대 이후
B. 1980년대 이후
C. 1990년대 이후
D. 2000년대 이후
","Next is the issue of politics in Korean society.
After what period of time did Korea's democratization process have an impact?
A. Since the 1970s
B. After the 1980s
C. Since the 1990s
D. After 2000
"
693,KIIP_politics_5,,"다음은 한국사회의 정치에 대한 문제이다.
대한민국 헌법 제1조는 어떤 내용을 담고 있는가?","['A. 대한민국은 공산주의 국가이다.', 'B. 대한민국은 민주주의에 바탕을 둔 공화국이다.', 'C. 대한민국은 군주제를 기반으로 한 국가이다.', 'D. 대한민국은 독재주의 국가이다.']",B,"A. 대한민국은 공산주의 국가이다.
B. 대한민국은 민주주의에 바탕을 둔 공화국이다.
C. 대한민국은 군주제를 기반으로 한 국가이다.
D. 대한민국은 독재주의 국가이다.
","다음은 한국사회의 정치에 대한 문제이다.
대한민국 헌법 제1조는 어떤 내용을 담고 있는가?
A. 대한민국은 공산주의 국가이다.
B. 대한민국은 민주주의에 바탕을 둔 공화국이다.
C. 대한민국은 군주제를 기반으로 한 국가이다.
D. 대한민국은 독재주의 국가이다.
","Next is the issue of politics in Korean society.
What does Article 1 of the Constitution of the Republic of Korea contain?
A. South Korea is a communist country.
B. The Republic of Korea is a republic based on democracy.
C. The Republic of Korea is a country based on a monarchy.
D. South Korea is an authoritarian country.
"
694,KIIP_politics_6,,"다음은 한국사회의 정치에 대한 문제이다.
한국은 어떤 형태의 민주주의를 기본적으로 채택하고 있는가?","['A. 직접민주주의', 'B. 간접민주주의', 'C. 자유민주주의', 'D. 사회민주주의']",B,"A. 직접민주주의
B. 간접민주주의
C. 자유민주주의
D. 사회민주주의
","다음은 한국사회의 정치에 대한 문제이다.
한국은 어떤 형태의 민주주의를 기본적으로 채택하고 있는가?
A. 직접민주주의
B. 간접민주주의
C. 자유민주주의
D. 사회민주주의
","Next is the issue of politics in Korean society.
What type of democracy does Korea basically adopt?
A. Direct democracy
B. Indirect democracy
C. Liberal democracy
D. Social democracy
"
695,KIIP_politics_7,,"다음은 한국사회의 정치에 대한 문제이다.
한국은 어떤 정부 형태를 채택하고 있는가?","['A. 대통령제', 'B. 의원내각제', 'C. 군주제', 'D. 공화제']",A,"A. 대통령제
B. 의원내각제
C. 군주제
D. 공화제
","다음은 한국사회의 정치에 대한 문제이다.
한국은 어떤 정부 형태를 채택하고 있는가?
A. 대통령제
B. 의원내각제
C. 군주제
D. 공화제
","Next is the issue of politics in Korean society.
What form of government does Korea adopt?
A. Presidential system
B. Parliamentary government system
C. Monarchy
D. republicanism
"
696,KIIP_politics_8,,"다음은 한국사회의 정치에 대한 문제이다.
한국의 첫번째 대통령은 누구인가?","['A. 윤보선', 'B. 박정희', 'C. 이승만', 'D. 노태우']",C,"A. 윤보선
B. 박정희
C. 이승만
D. 노태우
","다음은 한국사회의 정치에 대한 문제이다.
한국의 첫번째 대통령은 누구인가?
A. 윤보선
B. 박정희
C. 이승만
D. 노태우
","Next is the issue of politics in Korean society.
Who was Korea's first president?
A. Yoon Bo-seon
B. Park Chung-hee
C. Syngman Rhee
D. Roh Tae-woo
"
697,KIIP_politics_9,,"다음은 한국사회의 정치에 대한 문제이다.
한국의 10번째 대통령은 누구인가?","['A. 최규하', 'B. 전두환', 'C. 노태우', 'D. 김영삼']",A,"A. 최규하
B. 전두환
C. 노태우
D. 김영삼
","다음은 한국사회의 정치에 대한 문제이다.
한국의 10번째 대통령은 누구인가?
A. 최규하
B. 전두환
C. 노태우
D. 김영삼
","Next is the issue of politics in Korean society.
Who is South Korea's 10th president?
A. Gyuha Choi
B. Chun Doo-hwan
C. Roh Tae-woo
D. Kim Young-sam
"
698,KIIP_politics_10,,"다음은 한국사회의 정치에 대한 문제이다.
한국의 18번째 대통령은 누구인가?","['A. 노무현', 'B. 이명박', 'C. 박근혜', 'D. 문재인']",C,"A. 노무현
B. 이명박
C. 박근혜
D. 문재인
","다음은 한국사회의 정치에 대한 문제이다.
한국의 18번째 대통령은 누구인가?
A. 노무현
B. 이명박
C. 박근혜
D. 문재인
","Next is the issue of politics in Korean society.
Who is South Korea's 18th president?
A. Roh Moo-hyun
B. Lee Myung-bak
C. Park Geun-hye
D. Moon Jae-in
"
