index,id,paragraph,question,choices,answer,options,ko,en
89,KIIP_geography_1,,"다음은 한국의 지리에 대한 문제이다.
한국에는 몇 개의 계절이 있는가?","['A. 2개', 'B. 3개', 'C. 4개', 'D. 5개']",C,"A. 2개
B. 3개
C. 4개
D. 5개
","다음은 한국의 지리에 대한 문제이다.
한국에는 몇 개의 계절이 있는가?
A. 2개
B. 3개
C. 4개
D. 5개
","Next is the question of Korea's geography.
How many seasons are there in Korea?
A: 2
B. 3
C. 4
D. 5
"
90,KIIP_geography_2,,"다음은 한국의 지리에 대한 문제이다.
한국의 봄 계절은 어떤 특징이 있는가?","['A. 덥고 비가 많이 온다', 'B. 포근하고 따뜻하다', 'C. 건조하고 화창하다', 'D. 추위가 찾아오진 않는다.']",B,"A. 덥고 비가 많이 온다
B. 포근하고 따뜻하다
C. 건조하고 화창하다
D. 추위가 찾아오진 않는다.
","다음은 한국의 지리에 대한 문제이다.
한국의 봄 계절은 어떤 특징이 있는가?
A. 덥고 비가 많이 온다
B. 포근하고 따뜻하다
C. 건조하고 화창하다
D. 추위가 찾아오진 않는다.
","Next is the question of Korea's geography.
What are the characteristics of the spring season in Korea?
A. It’s hot and raining a lot.
B. Cozy and warm
C. dry and sunny
D. The cold will not come.
"
91,KIIP_geography_3,,"다음은 한국의 지리에 대한 문제이다.
한국에서 황사가 불어올 때 사람들의 대비로 옳지 않은 것은?","['A. 외출을 삼가한다.', 'B. 우산을 쓴다', 'C. 집에서 창문을 닫는다', 'D. 마스크를 착용한다']",B,"A. 외출을 삼가한다.
B. 우산을 쓴다
C. 집에서 창문을 닫는다
D. 마스크를 착용한다
","다음은 한국의 지리에 대한 문제이다.
한국에서 황사가 불어올 때 사람들의 대비로 옳지 않은 것은?
A. 외출을 삼가한다.
B. 우산을 쓴다
C. 집에서 창문을 닫는다
D. 마스크를 착용한다
","Next is the question of Korea's geography.
What is incorrect in preparing people when yellow dust blows in Korea?
A. Avoid going out.
B. Use an umbrella
C. Close the windows at home
D. Wear a mask
"
92,KIIP_geography_4,,"다음은 한국의 지리에 대한 문제이다.
한국의 여름 계절은 어떤 특징이 있는가?","['A. 추우면서도 포근하고 따뜻하다', 'B. 건조하고 무덥다', 'C. 눈이 많이 온다', 'D. 무덥고 비가 많이 내린다']",D,"A. 추우면서도 포근하고 따뜻하다
B. 건조하고 무덥다
C. 눈이 많이 온다
D. 무덥고 비가 많이 내린다
","다음은 한국의 지리에 대한 문제이다.
한국의 여름 계절은 어떤 특징이 있는가?
A. 추우면서도 포근하고 따뜻하다
B. 건조하고 무덥다
C. 눈이 많이 온다
D. 무덥고 비가 많이 내린다
","Next is the question of Korea's geography.
What are the characteristics of Korea’s summer season?
A. It’s cold but cozy and warm.
B. Dry and hot
C. It snows a lot.
D. It’s hot and raining a lot.
"
93,KIIP_geography_5,,"다음은 한국의 지리에 대한 문제이다.
한국의 가을 계절은 어떤 특징이 있는가?","['A. 추우면서도 포근하고 따뜻하다', 'B. 무덥고 비가 많이 내린다', 'C. 건조하고 화창하다', 'D. 눈이 많이 온다']",C,"A. 추우면서도 포근하고 따뜻하다
B. 무덥고 비가 많이 내린다
C. 건조하고 화창하다
D. 눈이 많이 온다
","다음은 한국의 지리에 대한 문제이다.
한국의 가을 계절은 어떤 특징이 있는가?
A. 추우면서도 포근하고 따뜻하다
B. 무덥고 비가 많이 내린다
C. 건조하고 화창하다
D. 눈이 많이 온다
","Next is the question of Korea's geography.
What are the characteristics of the fall season in Korea?
A. It’s cold but cozy and warm.
B. It’s hot and raining a lot.
C. dry and sunny
D. It snows a lot.
"
94,KIIP_geography_6,,"다음은 한국의 지리에 대한 문제이다.
한국의 늦은 가을에 거리에서 볼 수 있는 것은 무엇인가?","['A. 눈', 'B. 비', 'C. 꽃', 'D. 낙엽']",D,"A. 눈
B. 비
C. 꽃
D. 낙엽
","다음은 한국의 지리에 대한 문제이다.
한국의 늦은 가을에 거리에서 볼 수 있는 것은 무엇인가?
A. 눈
B. 비
C. 꽃
D. 낙엽
","Next is the question of Korea's geography.
What can you see on the streets in late fall in Korea?
A.Eyes
B. rain
C. Flowers
D. Fallen leaves
"
95,KIIP_geography_7,,"다음은 한국의 지리에 대한 문제이다.
한국의 겨울은 어떤 특성을 가지고 있는가?","['A. 춥고 습함', 'B. 화창하고 건조함', 'C. 춥고 건조하다', 'D. 포근하고 따뜻함']",C,"A. 춥고 습함
B. 화창하고 건조함
C. 춥고 건조하다
D. 포근하고 따뜻함
","다음은 한국의 지리에 대한 문제이다.
한국의 겨울은 어떤 특성을 가지고 있는가?
A. 춥고 습함
B. 화창하고 건조함
C. 춥고 건조하다
D. 포근하고 따뜻함
","Next is the question of Korea's geography.
What characteristics does winter in Korea have?
A. Cold and wet
B. Sunny and dry
C. cold and dry
D. Cozy and warm
"
96,KIIP_geography_8,,"다음은 한국의 지리에 대한 문제이다.
2000년대 기준, 한국에서 겨울이 시작될 때 대부분의 가정에서 어떤 준비를 하는가?","['A. 봄놀이를 준비한다', 'B. 김장을 담근다', 'C. 물놀이를 준비한다', 'D. 단풍놀이를 준비한다']",B,"A. 봄놀이를 준비한다
B. 김장을 담근다
C. 물놀이를 준비한다
D. 단풍놀이를 준비한다
","다음은 한국의 지리에 대한 문제이다.
2000년대 기준, 한국에서 겨울이 시작될 때 대부분의 가정에서 어떤 준비를 하는가?
A. 봄놀이를 준비한다
B. 김장을 담근다
C. 물놀이를 준비한다
D. 단풍놀이를 준비한다
","Next is the question of Korea's geography.
As of the 2000s, what preparations do most households make when winter begins in Korea?
A. Preparing for spring play
B. Make kimchi
C. Prepare for water play
D. Preparing to see fall foliage
"
97,KIIP_geography_9,,"다음은 한국의 지리에 대한 문제이다.
한국인들이 가을에 즐기는 활동은 무엇인가?","['A. 벚꽃놀이', 'B. 물놀이', 'C. 단풍놀이', 'D. 스키']",C,"A. 벚꽃놀이
B. 물놀이
C. 단풍놀이
D. 스키
","다음은 한국의 지리에 대한 문제이다.
한국인들이 가을에 즐기는 활동은 무엇인가?
A. 벚꽃놀이
B. 물놀이
C. 단풍놀이
D. 스키
","Next is the question of Korea's geography.
What activities do Koreans enjoy in fall?
A. Cherry blossom viewing
B. Playing in the water
C. Playing with autumn leaves
D. skiing
"
98,KIIP_geography_10,,"다음은 한국의 지리에 대한 문제이다.
한국에서 여름에 주로 판매되는 상품은 무엇인가?","['A. 에어컨, 선풍기, 냉면', 'B. 전기장판, 온풍기', 'C. 단풍놀이용품', 'D. 봄꽃놀이용품']",A,"A. 에어컨, 선풍기, 냉면
B. 전기장판, 온풍기
C. 단풍놀이용품
D. 봄꽃놀이용품
","다음은 한국의 지리에 대한 문제이다.
한국에서 여름에 주로 판매되는 상품은 무엇인가?
A. 에어컨, 선풍기, 냉면
B. 전기장판, 온풍기
C. 단풍놀이용품
D. 봄꽃놀이용품
","Next is the question of Korea's geography.
What products are mainly sold in summer in Korea?
A. Air conditioner, fan, cold noodles
B. Electric blanket, heater
C. Autumn leaves play equipment
D. Spring flower viewing supplies
"
