index,id,paragraph,question,choices,answer,options,ko,en
1098,Kedu_Society_1,,"다음은 한국사회에 대한 문제이다.
한국의 인구피라미드에 관한 다음 설명의 ( )안에 들어갈 내용을 옳게 나열한것은?
1960년대 초만 해도 ( ㄱ ) 출산율과 ( ㄴ ) 사망률로 전통사회의 전형적인모형인 피라미드형 구조를 보였다. 1990년대에는 ( ㄷ ) 출산율과 ( ㄹ ) 사망률을 가진 종형 구조로 바뀌었다.","['A. ㄱ : 낮은, ㄴ : 높은, ㄷ : 낮은, ㄹ : 높은', 'B. ㄱ : 높은, ㄴ : 높은, ㄷ : 낮은, ㄹ : 낮은', 'C. ㄱ : 높은, ㄴ : 높은, ㄷ : 낮은, ㄹ : 높은', 'D. ㄱ : 높은, ㄴ : 낮은, ㄷ : 낮은, ㄹ : 낮은']",B,"A. ㄱ : 낮은, ㄴ : 높은, ㄷ : 낮은, ㄹ : 높은
B. ㄱ : 높은, ㄴ : 높은, ㄷ : 낮은, ㄹ : 낮은
C. ㄱ : 높은, ㄴ : 높은, ㄷ : 낮은, ㄹ : 높은
D. ㄱ : 높은, ㄴ : 낮은, ㄷ : 낮은, ㄹ : 낮은
","다음은 한국사회에 대한 문제이다.
한국의 인구피라미드에 관한 다음 설명의 ( )안에 들어갈 내용을 옳게 나열한것은?
1960년대 초만 해도 ( (1) ) 출산율과 ( (2) ) 사망률로 전통사회의 전형적인모형인 피라미드형 구조를 보였다. 1990년대에는 ( (3) ) 출산율과 ( (4) ) 사망률을 가진 종형 구조로 바뀌었다.
A. (1) : 낮은, (2) : 높은, (3) : 낮은, (4) : 높은
B. (1) : 높은, (2) : 높은, (3) : 낮은, (4) : 낮은
C. (1) : 높은, (2) : 높은, (3) : 낮은, (4) : 높은
D. (1) : 높은, (2) : 낮은, (3) : 낮은, (4) : 낮은
","The following is a problem for Korean society.
Which of the following correctly lists the information in ( ) in the following explanation about Korea's population pyramid?
Even in the early 1960s, ( (1) ) birth rate and ( (2) ) death rate showed a pyramid-shaped structure, a typical model of traditional society. In the 1990s, it changed to a bell-shaped structure with ( (3) ) birth rate and ( (4) ) death rate.
A. (1): low, (2): high, (3): low, (4): high
B. (1): high, (2): high, (3): low, (4): low
C. (1): high, (2): high, (3): low, (4): high
D. (1): high, (2): low, (3): low, (4): low
"
1099,Kedu_Society_2,,"다음은 한국사회에 대한 문제이다.
1990년대 ‘신세대’의 등장과 밀접한 관련이 있는 사항을 모두 고른 것은? 
 ㄱ. 냉전 질서의 강화 
 ㄴ. 물질적 풍요와 개인적 자유의 확대 
 ㄷ. 권위주의의 약화 
 ㄹ. 영상문화에서 문자중심 문화로의 전환 
 ㅁ. 디지털 매체의 확산","['A. ㄱ, ㄴ, ㅁ', 'B. ㄴ, ㄷ, ㄹ', 'C. ㄱ, ㄴ, ㄹ', 'D. ㄴ, ㄷ, ㅁ']",D,"A. ㄱ, ㄴ, ㅁ
B. ㄴ, ㄷ, ㄹ
C. ㄱ, ㄴ, ㄹ
D. ㄴ, ㄷ, ㅁ
","다음은 한국사회에 대한 문제이다.
1990년대 ‘신세대’의 등장과 밀접한 관련이 있는 사항을 모두 고른 것은? 
 (1)  냉전 질서의 강화 
 (2)  물질적 풍요와 개인적 자유의 확대 
 (3)  권위주의의 약화 
 (4)  영상문화에서 문자중심 문화로의 전환 
 ㅁ. 디지털 매체의 확산
A. (1), (2), ㅁ
B. (2), (3), (4)
C. (1), (2), (4)
D. (2), (3), ㅁ
","The following is a problem for Korean society.
Which of the following are all closely related to the emergence of the ‘new generation’ in the 1990s? 
 (1) Strengthening the Cold War order 
 (2) Expansion of material abundance and personal freedom 
 (3) Weakening of authoritarianism 
 (4) Transition from video culture to text-centered culture 
 grave. proliferation of digital media
A. (1), (2), ㅁ
B. (2), (3), (4)
C. (1), (2), (4)
D. (2), (3), ㅁ
"
1100,Kedu_Society_3,,"다음은 한국사회에 대한 문제이다.
친족 구성원의 호칭을 잘못 연결한 것은?","['A. 반서갱동(飯西羹東)', 'B. 어동육서(魚東肉西)', 'C. 홍동백서(紅東白西)', 'D. 서두동미(西頭東尾)']",A,"A. 반서갱동(飯西羹東)
B. 어동육서(魚東肉西)
C. 홍동백서(紅東白西)
D. 서두동미(西頭東尾)
","다음은 한국사회에 대한 문제이다.
친족 구성원의 호칭을 잘못 연결한 것은?
A. 반서갱동(飯西羹東)
B. 어동육서(魚東肉西)
C. 홍동백서(紅東白西)
D. 서두동미(西頭東尾)
","The following is a problem for Korean society.
What is wrong with linking the titles of family members?
A. Banseogaengdong (Food East)
B. Fish, East, and Yukseo
C. Red East White Book
D. Seo Du Dong Mi (西頭東尾)
"
1101,Kedu_Society_4,,"다음은 한국사회에 대한 문제이다.
<애국가>에 관한 설명으로 옳은 것은?","['A. 19세기 초 애국가류 가사들이 독립신문에 발표되었다.', 'B. 안익태가 작곡한 <한국환상곡>이 일제강점기부터 <애국가>의 멜로디가 되었다.', 'C. 1948년 정부 수립 전까지 독일 노래인 <올드랭사인>(Auld Lang Syne)의 멜로디로부르기도 했다.', 'D. 2010년에 제정된 ‘국민의례 규정’에는 정식 절차 시 <애국가>를 1절부터 4절까지모두 제창하거나 1절만 제창하도록 규정되어 있다.']",D,"A. 19세기 초 애국가류 가사들이 독립신문에 발표되었다.
B. 안익태가 작곡한 <한국환상곡>이 일제강점기부터 <애국가>의 멜로디가 되었다.
C. 1948년 정부 수립 전까지 독일 노래인 <올드랭사인>(Auld Lang Syne)의 멜로디로부르기도 했다.
D. 2010년에 제정된 ‘국민의례 규정’에는 정식 절차 시 <애국가>를 1절부터 4절까지모두 제창하거나 1절만 제창하도록 규정되어 있다.
","다음은 한국사회에 대한 문제이다.
<애국가>에 관한 설명으로 옳은 것은?
A. 19세기 초 애국가류 가사들이 독립신문에 발표되었다.
B. 안익태가 작곡한 <한국환상곡>이 일제강점기부터 <애국가>의 멜로디가 되었다.
C. 1948년 정부 수립 전까지 독일 노래인 <올드랭사인>(Auld Lang Syne)의 멜로디로부르기도 했다.
D. 2010년에 제정된 ‘국민의례 규정’에는 정식 절차 시 <애국가>를 1절부터 4절까지모두 제창하거나 1절만 제창하도록 규정되어 있다.
","The following is a problem for Korean society.
Which of the following is correct regarding <National Anthem>?
A. In the early 19th century, lyrics of national anthems were published in the Independent Newspaper.
B. <Korean Fantasy> composed by Ahn Ik-tae became the melody of <National Anthem> from the Japanese colonial period.
C. Until the establishment of the government in 1948, it was also sung as the melody of the German song <Auld Lang Syne>.
D. The ‘National Ceremony Regulations’ enacted in 2010 stipulate that during formal proceedings, either all verses 1 to 4 of the National Anthem must be sung or only verse 1 must be sung.
"
1102,Kedu_Society_5,,"다음은 한국사회에 대한 문제이다.
다음 중 인척으로 나열된 것은?","['A. 이모, 사위, 백부', 'B. 숙모, 며느리, 장모', 'C. 이모, 외숙모, 장인', 'D. 숙모, 사위, 외조모']",B,"A. 이모, 사위, 백부
B. 숙모, 며느리, 장모
C. 이모, 외숙모, 장인
D. 숙모, 사위, 외조모
","다음은 한국사회에 대한 문제이다.
다음 중 인척으로 나열된 것은?
A. 이모, 사위, 백부
B. 숙모, 며느리, 장모
C. 이모, 외숙모, 장인
D. 숙모, 사위, 외조모
","The following is a problem for Korean society.
Which of the following is listed as an in-law?
A. Aunt, son-in-law, uncle
B. Aunt, daughter-in-law, mother-in-law
C. Aunt, maternal uncle, father-in-law
D. Aunt, son-in-law, maternal grandmother
"
1103,Kedu_Society_6,,"다음은 한국사회에 대한 문제이다.
최근 한국 문화예술계와 관련된 사회문화 현상으로 볼 수 없는 것은?","['A. 한국영화의 지속적인 발전으로 스크린쿼터제가 폐지되었다.', 'B. 스마트폰을 활용한 새로운 문화예술 창작 실험이 증가하고 있다.', 'C. 문학작품이나 웹툰에 기반한 원소스 멀티유즈(OSMU)가 활성화되고 있다.', 'D. 주5일제의 전면 시행에 따라 문화예술 여가활동이 더욱 증가되었다.']",A,"A. 한국영화의 지속적인 발전으로 스크린쿼터제가 폐지되었다.
B. 스마트폰을 활용한 새로운 문화예술 창작 실험이 증가하고 있다.
C. 문학작품이나 웹툰에 기반한 원소스 멀티유즈(OSMU)가 활성화되고 있다.
D. 주5일제의 전면 시행에 따라 문화예술 여가활동이 더욱 증가되었다.
","다음은 한국사회에 대한 문제이다.
최근 한국 문화예술계와 관련된 사회문화 현상으로 볼 수 없는 것은?
A. 한국영화의 지속적인 발전으로 스크린쿼터제가 폐지되었다.
B. 스마트폰을 활용한 새로운 문화예술 창작 실험이 증가하고 있다.
C. 문학작품이나 웹툰에 기반한 원소스 멀티유즈(OSMU)가 활성화되고 있다.
D. 주5일제의 전면 시행에 따라 문화예술 여가활동이 더욱 증가되었다.
","The following is a problem for Korean society.
What cannot be considered a recent social and cultural phenomenon related to the Korean culture and arts community?
A. With the continued development of Korean films, the screen quota system was abolished.
B. New cultural and artistic creation experiments using smartphones are increasing.
C. One-source multi-use (OSMU) based on literary works or webtoons is becoming active.
D. With the full implementation of the five-day workweek, cultural, artistic and leisure activities have increased.
"
1104,Kedu_Society_7,,"다음은 한국사회에 대한 문제이다.
1960년대 이후 산업화가 한국사회에 미친 영향으로 보기 어려운 것은?","['A. 농촌인구의 감소와 도시인구의 급격한 증가를 가져왔다.', 'B. 대기업과 중소기업 간의 부익부 빈익빈 현상은 점점 완화되었다.', 'C. 고도 경제성장 과정에서 농.어업 종사자의 비율은 현격하게 저하되었다.', 'D. 1970년대 중반 이후 내구소비재의 급속한 보급으로 가계의 소비구조에 많은 변화가있었다.']",B,"A. 농촌인구의 감소와 도시인구의 급격한 증가를 가져왔다.
B. 대기업과 중소기업 간의 부익부 빈익빈 현상은 점점 완화되었다.
C. 고도 경제성장 과정에서 농.어업 종사자의 비율은 현격하게 저하되었다.
D. 1970년대 중반 이후 내구소비재의 급속한 보급으로 가계의 소비구조에 많은 변화가있었다.
","다음은 한국사회에 대한 문제이다.
1960년대 이후 산업화가 한국사회에 미친 영향으로 보기 어려운 것은?
A. 농촌인구의 감소와 도시인구의 급격한 증가를 가져왔다.
B. 대기업과 중소기업 간의 부익부 빈익빈 현상은 점점 완화되었다.
C. 고도 경제성장 과정에서 농.어업 종사자의 비율은 현격하게 저하되었다.
D. 1970년대 중반 이후 내구소비재의 급속한 보급으로 가계의 소비구조에 많은 변화가있었다.
","The following is a problem for Korean society.
What is difficult to see as the impact of industrialization on Korean society since the 1960s?
A. It resulted in a decline in the rural population and a rapid increase in the urban population.
B. The phenomenon of the rich getting richer and the poor getting poorer between large corporations and small and medium-sized companies has gradually eased.
C. During the process of high economic growth, the ratio of agricultural and fishing workers decreased significantly.
D. Since the mid-1970s, there have been many changes in the household consumption structure due to the rapid spread of durable consumer goods.
"
1105,Kedu_Society_8,,"다음은 한국사회에 대한 문제이다.
한국의 베이비붐 세대에 관한 설명으로 옳은 것은?","['A. 정부의 출산장려정책으로 등장한 세대이다.', 'B. 1946년부터 1954년 사이에 태어난 사람들을 일컫는 말이다.', 'C. 대학 진학률이 60%를 넘어 학력 인플레의 문제가 처음 제기되었다.', 'D. 출산율이 높은 시기에 태어났기 때문에 치열한 경쟁을 경험했다.']",D,"A. 정부의 출산장려정책으로 등장한 세대이다.
B. 1946년부터 1954년 사이에 태어난 사람들을 일컫는 말이다.
C. 대학 진학률이 60%를 넘어 학력 인플레의 문제가 처음 제기되었다.
D. 출산율이 높은 시기에 태어났기 때문에 치열한 경쟁을 경험했다.
","다음은 한국사회에 대한 문제이다.
한국의 베이비붐 세대에 관한 설명으로 옳은 것은?
A. 정부의 출산장려정책으로 등장한 세대이다.
B. 1946년부터 1954년 사이에 태어난 사람들을 일컫는 말이다.
C. 대학 진학률이 60%를 넘어 학력 인플레의 문제가 처음 제기되었다.
D. 출산율이 높은 시기에 태어났기 때문에 치열한 경쟁을 경험했다.
","The following is a problem for Korean society.
Which of the following is correct regarding Korea's baby boomers?
A. This is the generation that emerged as a result of the government’s birth encouragement policy.
B. Refers to people born between 1946 and 1954.
C. As the college entrance rate exceeded 60%, the issue of academic inflation was raised for the first time.
D. Because they were born in a time when birth rates were high, they experienced fierce competition.
"
1106,Kedu_Society_9,,"다음은 한국사회에 대한 문제이다.
최근 한국사회에서 스마트폰의 보급과 인터넷 사용이 급증하여 발생하는 현상으로옳지 않은 것은?","['A. 환경오염의 심화', 'B. 쌍방향 의사소통의 활성화', 'C. 재택근무자의 증가', 'D. 외국과의 활발한 접촉']",A,"A. 환경오염의 심화
B. 쌍방향 의사소통의 활성화
C. 재택근무자의 증가
D. 외국과의 활발한 접촉
","다음은 한국사회에 대한 문제이다.
최근 한국사회에서 스마트폰의 보급과 인터넷 사용이 급증하여 발생하는 현상으로옳지 않은 것은?
A. 환경오염의 심화
B. 쌍방향 의사소통의 활성화
C. 재택근무자의 증가
D. 외국과의 활발한 접촉
","The following is a problem for Korean society.
Which of the following is not true regarding the recent rapid increase in the spread of smartphones and Internet use in Korean society?
A. Intensification of environmental pollution
B. Activation of two-way communication
C. Increase in telecommuters
D. Active contact with foreign countries
"
1107,Kedu_Society_10,,"다음은 한국사회에 대한 문제이다.
서울에 관한 설명으로 옳지 않은 것은?","['A. 경성을 서울로 개칭한 것은 1945년이다.', 'B. 지하철이 처음 개통된 해는 1974년이다.', 'C. 1992년은 서울 정도(定都) 600년이 된 해이다.', 'D. 2013년 현재 25개의 자치구가 있다.']",C,"A. 경성을 서울로 개칭한 것은 1945년이다.
B. 지하철이 처음 개통된 해는 1974년이다.
C. 1992년은 서울 정도(定都) 600년이 된 해이다.
D. 2013년 현재 25개의 자치구가 있다.
","다음은 한국사회에 대한 문제이다.
서울에 관한 설명으로 옳지 않은 것은?
A. 경성을 서울로 개칭한 것은 1945년이다.
B. 지하철이 처음 개통된 해는 1974년이다.
C. 1992년은 서울 정도(定都) 600년이 된 해이다.
D. 2013년 현재 25개의 자치구가 있다.
","The following is a problem for Korean society.
Which of the following is not correct about Seoul?
A. Gyeongseong was renamed Seoul in 1945.
B. The year the subway first opened was 1974.
C. 1992 is the 600th anniversary of the establishment of Seoul.
D. As of 2013, there are 25 autonomous districts.
"
