index,id,paragraph,question,choices,answer,options,ko,en
814,KIIP_society_1,,"다음은 한국사회에 대한 문제이다.
남한이나 South Korea라는 명칭은 어떤 경우에 주로 사용되는가?","['A. 북한과 구별할 때', 'B. 국제회의에서', 'C. 영어권에서', 'D. 한자를 사용할 때']",A,"A. 북한과 구별할 때
B. 국제회의에서
C. 영어권에서
D. 한자를 사용할 때
","다음은 한국사회에 대한 문제이다.
남한이나 South Korea라는 명칭은 어떤 경우에 주로 사용되는가?
A. 북한과 구별할 때
B. 국제회의에서
C. 영어권에서
D. 한자를 사용할 때
","The following is a problem for Korean society.
In what cases is the name South Korea or South Korea mainly used?
A. When distinguishing from North Korea
B. At international conferences
C. In English-speaking countries
D. When using Chinese characters
"
815,KIIP_society_2,,"다음은 한국사회에 대한 문제이다.
대한민국이라는 국가명이 처음 사용된 연도는 언제인가?","['A. 1945년', 'B. 1948년', 'C. 1950년', 'D. 1953년']",B,"A. 1945년
B. 1948년
C. 1950년
D. 1953년
","다음은 한국사회에 대한 문제이다.
대한민국이라는 국가명이 처음 사용된 연도는 언제인가?
A. 1945년
B. 1948년
C. 1950년
D. 1953년
","The following is a problem for Korean society.
In what year was the country name Republic of Korea first used?
A: 1945
B. 1948
C. 1950
D. 1953
"
816,KIIP_society_3,,"다음은 한국사회에 대한 문제이다.
대한민국의 국기의 이름은 무엇인가?","['A. 삼색기', 'B. 태극기', 'C. 별기', 'D. 단청기']",B,"A. 삼색기
B. 태극기
C. 별기
D. 단청기
","다음은 한국사회에 대한 문제이다.
대한민국의 국기의 이름은 무엇인가?
A. 삼색기
B. 태극기
C. 별기
D. 단청기
","The following is a problem for Korean society.
What is the name of the national flag of South Korea?
A. Tricolor
B. Taegeukgi
C. Separate note
D. Dancheonggi
"
817,KIIP_society_4,,"다음은 한국사회에 대한 문제이다.
태극기의 구성 요소로 옳지 않은 것은 무엇인가?","['A. 흰색 바탕', 'B. 빨강과 파랑의 태극 문양', 'C. 모서리의 검은색 4괘', 'D. 중앙의 노란색 별']",D,"A. 흰색 바탕
B. 빨강과 파랑의 태극 문양
C. 모서리의 검은색 4괘
D. 중앙의 노란색 별
","다음은 한국사회에 대한 문제이다.
태극기의 구성 요소로 옳지 않은 것은 무엇인가?
A. 흰색 바탕
B. 빨강과 파랑의 태극 문양
C. 모서리의 검은색 4괘
D. 중앙의 노란색 별
","The following is a problem for Korean society.
What are the incorrect components of Taegeukgi?
A. White background
B. Red and blue Taegeuk symbol
C. Four black lines in the corner
D. Yellow star in the center
"
818,KIIP_society_5,,"다음은 한국사회에 대한 문제이다.
태극기의 흰색 바탕은 무엇을 의미하는가?","['A. 밝음과 순수, 평화에 대한 사랑', 'B. 희망과 미래', 'C. 자유와 독립', 'D. 평화와 화합']",A,"A. 밝음과 순수, 평화에 대한 사랑
B. 희망과 미래
C. 자유와 독립
D. 평화와 화합
","다음은 한국사회에 대한 문제이다.
태극기의 흰색 바탕은 무엇을 의미하는가?
A. 밝음과 순수, 평화에 대한 사랑
B. 희망과 미래
C. 자유와 독립
D. 평화와 화합
","The following is a problem for Korean society.
What does the white background of the Taegeukgi mean?
A. Love for brightness, purity, and peace
B. Hope and Future
C. Freedom and Independence
D. Peace and Harmony
"
819,KIIP_society_6,,"다음은 한국사회에 대한 문제이다.
태극기의 태극 문양에서 빨강과 파랑이 합쳐진 것은 무엇을 표현하는가?","['A. 조화로운 우주', 'B. 평화와 화합', 'C. 자연의 조화', 'D. 밝음과 순수']",A,"A. 조화로운 우주
B. 평화와 화합
C. 자연의 조화
D. 밝음과 순수
","다음은 한국사회에 대한 문제이다.
태극기의 태극 문양에서 빨강과 파랑이 합쳐진 것은 무엇을 표현하는가?
A. 조화로운 우주
B. 평화와 화합
C. 자연의 조화
D. 밝음과 순수
","The following is a problem for Korean society.
What does the combination of red and blue in the Taegeuk symbol of the Taegeukgi represent?
A. Harmonious Universe
B. Peace and Harmony
C. Harmony of nature
D. Brightness and purity
"
820,KIIP_society_7,,"다음은 한국사회에 대한 문제이다.
태극기의 4괘는 무엇을 의미하는가?","['A. 하늘, 땅, 물, 불', 'B. 동, 서, 남, 북', 'C. 봄, 여름, 가을, 겨울', 'D. 나무, 불, 흙, 물']",A,"A. 하늘, 땅, 물, 불
B. 동, 서, 남, 북
C. 봄, 여름, 가을, 겨울
D. 나무, 불, 흙, 물
","다음은 한국사회에 대한 문제이다.
태극기의 4괘는 무엇을 의미하는가?
A. 하늘, 땅, 물, 불
B. 동, 서, 남, 북
C. 봄, 여름, 가을, 겨울
D. 나무, 불, 흙, 물
","The following is a problem for Korean society.
What do the four trigrams of Taegeukgi mean?
A. Sky, Earth, Water, Fire
B. East, West, South, North
C. Spring, summer, fall, winter
D. Wood, fire, earth, water
"
821,KIIP_society_8,,"다음은 한국사회에 대한 문제이다.
태극기가 강조하고 있는 가치는 무엇인가?","['A. 평화와 화합', 'B. 자유와 독립', 'C. 희망과 미래', 'D. 밝음과 순수']",A,"A. 평화와 화합
B. 자유와 독립
C. 희망과 미래
D. 밝음과 순수
","다음은 한국사회에 대한 문제이다.
태극기가 강조하고 있는 가치는 무엇인가?
A. 평화와 화합
B. 자유와 독립
C. 희망과 미래
D. 밝음과 순수
","The following is a problem for Korean society.
What values ​​does Taegeukgi emphasize?
A. Peace and Harmony
B. Freedom and Independence
C. Hope and Future
D. Brightness and purity
"
822,KIIP_society_9,,"다음은 한국사회에 대한 문제이다.
한국에서는 어떤 날에 주로 태극기를 집에 달아두는가?","['A. 국경일이나 국가기념일', 'B. 생일이나 결혼기념일', 'C. 크리스마스나 설날', 'D. 어린이날이나 추석']",A,"A. 국경일이나 국가기념일
B. 생일이나 결혼기념일
C. 크리스마스나 설날
D. 어린이날이나 추석
","다음은 한국사회에 대한 문제이다.
한국에서는 어떤 날에 주로 태극기를 집에 달아두는가?
A. 국경일이나 국가기념일
B. 생일이나 결혼기념일
C. 크리스마스나 설날
D. 어린이날이나 추석
","The following is a problem for Korean society.
On what days do people usually display the Taegeukgi at home in Korea?
A. National holidays or national anniversaries
B. Birthday or wedding anniversary
C. Christmas or New Year’s Day
D. Children’s Day or Chuseok
"
823,KIIP_society_10,,"다음은 한국사회에 대한 문제이다.
대한민국의 국가는 무엇인가?","['A. 국민가', 'B. 애국가', 'C. 통일가', 'D. 민주가']",B,"A. 국민가
B. 애국가
C. 통일가
D. 민주가
","다음은 한국사회에 대한 문제이다.
대한민국의 국가는 무엇인가?
A. 국민가
B. 애국가
C. 통일가
D. 민주가
","The following is a problem for Korean society.
What is the national anthem of South Korea?
A. National song
B. National Anthem
C. Unification Song
D. Democratic Party
"
