index,id,paragraph,question,choices,answer,options,ko,en
237,Kedu_history_1,,"다음은 한국의 역사에 대한 문제이다.
조선시대 모자에 관한 설명으로 옳은 것은?","['A. 망건은 탕건으로 묶은 머리 위에 쓰는 실내모이다.', 'B. 갓은 관직에 오른 양반만이 쓸 수 있었던 관모이다.', 'C. 패랭이는 말총으로 얽어 만든 서민용 작업모이다.', 'D. 남바위는 귀, 이마, 목덜미 부분 등을 가리는 방한모이다.']",D,"A. 망건은 탕건으로 묶은 머리 위에 쓰는 실내모이다.
B. 갓은 관직에 오른 양반만이 쓸 수 있었던 관모이다.
C. 패랭이는 말총으로 얽어 만든 서민용 작업모이다.
D. 남바위는 귀, 이마, 목덜미 부분 등을 가리는 방한모이다.
","다음은 한국의 역사에 대한 문제이다.
조선시대 모자에 관한 설명으로 옳은 것은?
A. 망건은 탕건으로 묶은 머리 위에 쓰는 실내모이다.
B. 갓은 관직에 오른 양반만이 쓸 수 있었던 관모이다.
C. 패랭이는 말총으로 얽어 만든 서민용 작업모이다.
D. 남바위는 귀, 이마, 목덜미 부분 등을 가리는 방한모이다.
","Next is a question about Korea's history.
Which of the following is correct regarding hats during the Joseon Dynasty?
A. Manggeon is a indoor hat worn on top of hair tied with Tanggun.
B. Gat is an official hat that only noblemen who held official positions could wear.
C. Paeraengi is a work hat for the common people made of horsehair.
D. Nambawi is a balaclava that covers the ears, forehead, and nape of the neck.
"
238,Kedu_history_2,,"다음은 한국의 역사에 대한 문제이다.
조선시대 한양 도성(都城)의 사방에 세운 성문을 흔히 사대문(四大門)이라 하는데, 그명칭과 방향이 옳은 것은?","['A. 흥인지문 숙정문 숭례문 돈의문', 'B. 숭례문 숙정문 흥인지문 돈의문', 'C. 흥인지문 돈의문 숭례문 숙정문', 'D. 숭례문 흥인지문 돈의문 숙정문']",C,"A. 흥인지문 숙정문 숭례문 돈의문
B. 숭례문 숙정문 흥인지문 돈의문
C. 흥인지문 돈의문 숭례문 숙정문
D. 숭례문 흥인지문 돈의문 숙정문
","다음은 한국의 역사에 대한 문제이다.
조선시대 한양 도성(都城)의 사방에 세운 성문을 흔히 사대문(四大門)이라 하는데, 그명칭과 방향이 옳은 것은?
A. 흥인지문 숙정문 숭례문 돈의문
B. 숭례문 숙정문 흥인지문 돈의문
C. 흥인지문 돈의문 숭례문 숙정문
D. 숭례문 흥인지문 돈의문 숙정문
","Next is a question about Korea's history.
The gates built on all four sides of Hanyang City Wall during the Joseon Dynasty are often called the Four Great Gates. What are the correct names and directions?
A. Heunginjimun Sukjeongmun Sungnyemun Donuimun
B. Sungnyemun Sukjeongmun Heunginjimun Donuimun
C. Heunginjimun Donuimun Sungnyemun Gate Sukjeongmun Gate
D. Sungnyemun Heunginjimun Donuimun Sukjeongmun
"
239,Kedu_history_3,,"다음은 한국의 역사에 대한 문제이다.
한국의 고대국가와 제천의식이 바르게 연결된 것은?","['A. 동예 - 영고', 'B. 부여 - 무천', 'C. 백제 - 소도', 'D. 고구려 - 동맹']",D,"A. 동예 - 영고
B. 부여 - 무천
C. 백제 - 소도
D. 고구려 - 동맹
","다음은 한국의 역사에 대한 문제이다.
한국의 고대국가와 제천의식이 바르게 연결된 것은?
A. 동예 - 영고
B. 부여 - 무천
C. 백제 - 소도
D. 고구려 - 동맹
","Next is a question about Korea's history.
What is the correct connection between Korea's ancient state and Jecheon ritual?
A. Dongye - Young High School
B. Buyeo - Mucheon
C. Baekje - Sodo
D. Goguryeo - Alliance
"
240,Kedu_history_4,,"다음은 한국의 역사에 대한 문제이다.
조선 시대의 4대 명절에 포함되지 않는 것은?","['A. 단오(端午)', 'B. 칠석(七夕)', 'C. 한식(寒食)', 'D. 추석(秋夕)']",B,"A. 단오(端午)
B. 칠석(七夕)
C. 한식(寒食)
D. 추석(秋夕)
","다음은 한국의 역사에 대한 문제이다.
조선 시대의 4대 명절에 포함되지 않는 것은?
A. 단오(端午)
B. 칠석(七夕)
C. 한식(寒食)
D. 추석(秋夕)
","Next is a question about Korea's history.
What is not included in the four major holidays of the Joseon Dynasty?
A. Dano (端午)
B. Chilseok (seven nights)
C. Korean food
D. Chuseok (Chuseok)
"
241,Kedu_history_5,,"다음은 한국의 역사에 대한 문제이다.
고려시대 문학에 관한 설명으로 옳은 것은?","['A. 판소리계 소설의 등장', 'B. 패관 문학과 가전체 문학의 등장', 'C. 여성의 예술성이 가미된 수필 문학의 발달', 'D. 평민 작가의 대두로 인한 시조 문학의 융성']",B,"A. 판소리계 소설의 등장
B. 패관 문학과 가전체 문학의 등장
C. 여성의 예술성이 가미된 수필 문학의 발달
D. 평민 작가의 대두로 인한 시조 문학의 융성
","다음은 한국의 역사에 대한 문제이다.
고려시대 문학에 관한 설명으로 옳은 것은?
A. 판소리계 소설의 등장
B. 패관 문학과 가전체 문학의 등장
C. 여성의 예술성이 가미된 수필 문학의 발달
D. 평민 작가의 대두로 인한 시조 문학의 융성
","Next is a question about Korea's history.
Which of the following is correct about Goryeo Dynasty literature?
A. The emergence of Pansori novels
B. The emergence of paegwan literature and gajeon literature
C. Development of essay literature with women’s artistry
D. The prosperity of Sijo literature due to the rise of commoner writers
"
242,Kedu_history_6,,"다음은 한국의 역사에 대한 문제이다.
다음은 어떤 신문에 관한 설명인가? 1904년 창간된 대한제국 시기의 민족지. ‘국난을 타개하고 배일사상을 고취시켜보존한다’는 목적 아래 고종의 보조와 민족주의자들의 지원을 받아 창간되었다.","['A. 한성순보', 'B. 독립신문', 'C. 황성신문', 'D. 대한매일신보']",D,"A. 한성순보
B. 독립신문
C. 황성신문
D. 대한매일신보
","다음은 한국의 역사에 대한 문제이다.
다음은 어떤 신문에 관한 설명인가? 1904년 창간된 대한제국 시기의 민족지. ‘국난을 타개하고 배일사상을 고취시켜보존한다’는 목적 아래 고종의 보조와 민족주의자들의 지원을 받아 창간되었다.
A. 한성순보
B. 독립신문
C. 황성신문
D. 대한매일신보
","Next is a question about Korea's history.
What newspaper is the following description about? Ethnography of the Korean Empire, founded in 1904. It was founded with the assistance of King Gojong and the support of nationalists with the purpose of ‘overcoming the national crisis and promoting and preserving the anti-Japanese ideology.’
A. Hanseong Sunbo
B. The Independent Newspaper
C. Hwangseong Newspaper
D. Daehan Maeil Shinbo
"
243,Kedu_history_7,,"다음은 한국의 역사에 대한 문제이다.
근대 초기에 설립된 교육기관이 아닌 것은?","['A. 사부학당', 'B. 육영공원', 'C. 원산학사', 'D. 배재학당']",A,"A. 사부학당
B. 육영공원
C. 원산학사
D. 배재학당
","다음은 한국의 역사에 대한 문제이다.
근대 초기에 설립된 교육기관이 아닌 것은?
A. 사부학당
B. 육영공원
C. 원산학사
D. 배재학당
","Next is a question about Korea's history.
Which of the following is not an educational institution established in the early modern era?
A. Master’s School
B. Yukyoung Park
C. Wonsanhaksa
D. Bae Chai Academy
"
244,Kedu_history_8,,"다음은 한국의 역사에 대한 문제이다.
현전하는 고대가요 중 주술성이 강하고 집단적으로 불려진 노래는?","['A. 공무도하가(公無渡河歌)', 'B. 황조가(黃鳥歌)', 'C. 구지가(龜旨歌)', 'D. 정읍사(井邑詞)']",C,"A. 공무도하가(公無渡河歌)
B. 황조가(黃鳥歌)
C. 구지가(龜旨歌)
D. 정읍사(井邑詞)
","다음은 한국의 역사에 대한 문제이다.
현전하는 고대가요 중 주술성이 강하고 집단적으로 불려진 노래는?
A. 공무도하가(公無渡河歌)
B. 황조가(黃鳥歌)
C. 구지가(龜旨歌)
D. 정읍사(井邑詞)
","The following is a question about Korean history.
Among the existing ancient songs, which one is strongly incantatory and sung collectively?
A. Gongmudogaga (公無渡河歌)
B. Hwangjoga (黃鳥歌)
C. Gujiga (龜旨歌)
D. Jeongeupsa (井邑詞)"
245,Kedu_history_9,,"다음은 한국의 역사에 대한 문제이다.
외국인 학생과 조선의 궁궐을 견학하였다. 궁과 정문의 연결이 옳지 않은 것은?","['A. 창덕궁 - 돈화문(敦化門)', 'B. 창경궁 - 홍례문(弘禮門)', 'C. 덕수궁 - 대한문(大漢門)', 'D. 경복궁 - 광화문(光化門)']",B,"A. 창덕궁 - 돈화문(敦化門)
B. 창경궁 - 홍례문(弘禮門)
C. 덕수궁 - 대한문(大漢門)
D. 경복궁 - 광화문(光化門)
","다음은 한국의 역사에 대한 문제이다.
외국인 학생과 조선의 궁궐을 견학하였다. 궁과 정문의 연결이 옳지 않은 것은?
A. 창덕궁 - 돈화문(敦化門)
B. 창경궁 - 홍례문(弘禮門)
C. 덕수궁 - 대한문(大漢門)
D. 경복궁 - 광화문(光化門)
","Next is a question about Korea's history.
Foreign students toured Joseon’s palaces. Which connection between the palace and the main gate is incorrect?
A. Changdeokgung Palace - Donhwamun Gate
B. Changgyeonggung Palace - Hongnyemun Gate
C. Deoksugung Palace - Daehanmun Gate
D. Gyeongbokgung Palace - Gwanghwamun
"
246,Kedu_history_10,,"다음은 한국의 역사에 대한 문제이다.
《조선왕조실록》에 관한 설명으로 옳지 않은 것은?","['A. 국보로 지정되었으며 유네스코 세계기록유산으로 등재되었다.', 'B. 임진왜란 이전에는 춘추관, 묘향산, 태백산, 오대산, 마니산의 사고(史庫)에 보관하였다.', 'C. 태종 13년 《태조실록》의 편찬을 시작으로 고종 2년 《철종실록》까지 완성되었다.', 'D. 《사초(史草)》를 기준으로 각사(各司)의《등록(謄錄)》이나《승정원일기(承政院日記)》등을자료로 편찬하였다.']",B,"A. 국보로 지정되었으며 유네스코 세계기록유산으로 등재되었다.
B. 임진왜란 이전에는 춘추관, 묘향산, 태백산, 오대산, 마니산의 사고(史庫)에 보관하였다.
C. 태종 13년 《태조실록》의 편찬을 시작으로 고종 2년 《철종실록》까지 완성되었다.
D. 《사초(史草)》를 기준으로 각사(各司)의《등록(謄錄)》이나《승정원일기(承政院日記)》등을자료로 편찬하였다.
","다음은 한국의 역사에 대한 문제이다.
《조선왕조실록》에 관한 설명으로 옳지 않은 것은?
A. 국보로 지정되었으며 유네스코 세계기록유산으로 등재되었다.
B. 임진왜란 이전에는 춘추관, 묘향산, 태백산, 오대산, 마니산의 사고(史庫)에 보관하였다.
C. 태종 13년 《태조실록》의 편찬을 시작으로 고종 2년 《철종실록》까지 완성되었다.
D. 《사초(史草)》를 기준으로 각사(各司)의《등록(謄錄)》이나《승정원일기(承政院日記)》등을자료로 편찬하였다.
","Next is a question about Korea's history.
Which of the following is incorrect regarding the Annals of the Joseon Dynasty?
A. It has been designated as a national treasure and registered as a UNESCO Memory of the World Heritage site.
B. Before the Japanese invasions of Korea, it was stored in the historical archives of Chunchugwan, Myohyangsan Mountain, Taebaeksan Mountain, Odaesan Mountain, and Manisan Mountain.
C. Starting with the compilation of 《Taejo Annals》 in the 13th year of King Taejong's reign, it was completed up to 《Cheoljong Annals》 in the 2nd year of King Gojong's reign.
D. Based on 《Sacho (史草)》, 《Registration》 and 《Seungjeongwon Ilgi》 of each company were compiled as materials.
"
