index,id,paragraph,question,choices,answer,options,ko,en
773,KIIP_popular_1,,"다음은 한국의 대중문화에 대한 문제이다.
한국에서 대중적으로 국제 경기에서 좋은 성적을 거두고 있는 스포츠는 무엇인가?","['A. 양궁, 태권도, 쇼트트랙, 스피드 스케이팅', 'B. 야구, 축구', 'C. 농구, 양궁', 'D. 쇼트트랙, 스키']",A,"A. 양궁, 태권도, 쇼트트랙, 스피드 스케이팅
B. 야구, 축구
C. 농구, 양궁
D. 쇼트트랙, 스키
","다음은 한국의 대중문화에 대한 문제이다.
한국에서 대중적으로 국제 경기에서 좋은 성적을 거두고 있는 스포츠는 무엇인가?
A. 양궁, 태권도, 쇼트트랙, 스피드 스케이팅
B. 야구, 축구
C. 농구, 양궁
D. 쇼트트랙, 스키
","Next is the issue of Korean popular culture.
What sports are popular in Korea and are performing well in international competitions?
A. Archery, Taekwondo, short track, speed skating
B. Baseball, soccer
C. Basketball, archery
D. Short track, skiing
"
774,KIIP_popular_2,,"다음은 한국의 대중문화에 대한 문제이다.
한국에서 대중적으로 국내에서 인기가 높은 스포츠는 각각 무엇인가?","['A. 야구, 축구', 'B. 태권도', 'C. 쇼트트랙, 스피드 스케이팅', 'D. 양궁,사격']",A,"A. 야구, 축구
B. 태권도
C. 쇼트트랙, 스피드 스케이팅
D. 양궁,사격
","다음은 한국의 대중문화에 대한 문제이다.
한국에서 대중적으로 국내에서 인기가 높은 스포츠는 각각 무엇인가?
A. 야구, 축구
B. 태권도
C. 쇼트트랙, 스피드 스케이팅
D. 양궁,사격
","Next is the issue of Korean popular culture.
What are the most popular sports in Korea?
A. Baseball, soccer
B. Taekwondo
C. Short track, speed skating
D. Archery, shooting
"
775,KIIP_popular_3,,"다음은 한국의 대중문화에 대한 문제이다.
한국인들이 주로 즐기는 대중 음악 장르에는 어떤 것들이 있는가?","['A. 가곡, 트로트, 발라드, R&B', 'B. 클래식, 재즈, 블루스, 록', 'C. 포크, 캐롤, 오페라, 심포니', 'D. 오페라, 레게, 펑크, 메탈']",A,"A. 가곡, 트로트, 발라드, R&B
B. 클래식, 재즈, 블루스, 록
C. 포크, 캐롤, 오페라, 심포니
D. 오페라, 레게, 펑크, 메탈
","다음은 한국의 대중문화에 대한 문제이다.
한국인들이 주로 즐기는 대중 음악 장르에는 어떤 것들이 있는가?
A. 가곡, 트로트, 발라드, R&B
B. 클래식, 재즈, 블루스, 록
C. 포크, 캐롤, 오페라, 심포니
D. 오페라, 레게, 펑크, 메탈
","Next is the issue of Korean popular culture.
What are the popular music genres that Koreans mainly enjoy?
A. Song, trot, ballad, R&B
B. Classical, jazz, blues, rock
C. Folk, carols, opera, symphony
D. Opera, reggae, punk, metal
"
776,KIIP_popular_4,,"다음은 한국의 대중문화에 대한 문제이다.
아이돌 스타란 무엇인가?","['A. 우상처럼 떠받들어지며 큰 인기를 끌고 있는 가수', 'B. 영화나 드라마에서 주연을 맡는 배우', 'C. 음악을 만들고 연주하는 모든 뮤지션', 'D. 무용을 전문적으로 하는 연예인']",A,"A. 우상처럼 떠받들어지며 큰 인기를 끌고 있는 가수
B. 영화나 드라마에서 주연을 맡는 배우
C. 음악을 만들고 연주하는 모든 뮤지션
D. 무용을 전문적으로 하는 연예인
","다음은 한국의 대중문화에 대한 문제이다.
아이돌 스타란 무엇인가?
A. 우상처럼 떠받들어지며 큰 인기를 끌고 있는 가수
B. 영화나 드라마에서 주연을 맡는 배우
C. 음악을 만들고 연주하는 모든 뮤지션
D. 무용을 전문적으로 하는 연예인
","Next is the issue of Korean popular culture.
What is an idol star?
A. A singer who is revered like an idol and is very popular.
B. An actor who plays a leading role in a movie or drama
C. All musicians who create and perform music
D. An entertainer who specializes in dance
"
777,KIIP_popular_5,,"다음은 한국의 대중문화에 대한 문제이다.
전국민의 관심을 받는 드라마를 무엇이라고 부르는가?","['A. 히트 드라마', 'B. 블록버스터 드라마', 'C. 국민 드라마', 'D. 메가히트 드라마']",C,"A. 히트 드라마
B. 블록버스터 드라마
C. 국민 드라마
D. 메가히트 드라마
","다음은 한국의 대중문화에 대한 문제이다.
전국민의 관심을 받는 드라마를 무엇이라고 부르는가?
A. 히트 드라마
B. 블록버스터 드라마
C. 국민 드라마
D. 메가히트 드라마
","Next is the issue of Korean popular culture.
What do you call a drama that attracts the attention of the entire nation?
A. Hit drama
B. Blockbuster drama
C. National Drama
D. Mega hit drama
"
778,KIIP_popular_6,,"다음은 한국의 대중문화에 대한 문제이다.
케이팝의 경쟁력이 높은 이유는 무엇인가?","['A. 아시아 문화 요소와 서구 문화 요소가 두루 들어 있기 때문', 'B. 오직 서구 문화 요소만이 들어 있기 때문', 'C. 오직 아시아 문화 요소만이 들어 있기 때문', 'D. 시각적인 요소보다 음악 자체에 더 집중하여 준비하기 때문']",A,"A. 아시아 문화 요소와 서구 문화 요소가 두루 들어 있기 때문
B. 오직 서구 문화 요소만이 들어 있기 때문
C. 오직 아시아 문화 요소만이 들어 있기 때문
D. 시각적인 요소보다 음악 자체에 더 집중하여 준비하기 때문
","다음은 한국의 대중문화에 대한 문제이다.
케이팝의 경쟁력이 높은 이유는 무엇인가?
A. 아시아 문화 요소와 서구 문화 요소가 두루 들어 있기 때문
B. 오직 서구 문화 요소만이 들어 있기 때문
C. 오직 아시아 문화 요소만이 들어 있기 때문
D. 시각적인 요소보다 음악 자체에 더 집중하여 준비하기 때문
","Next is the issue of Korean popular culture.
Why is K-pop so competitive?
A. Because it contains both Asian and Western cultural elements.
B. Because it contains only Western cultural elements
C. Because it contains only Asian cultural elements
D. Because the preparation focuses more on the music itself rather than the visual elements.
"
779,KIIP_popular_7,,"다음은 한국의 대중문화에 대한 문제이다.
세계 곳곳에 보급되어 인기를 끌고 있는 한국의 대중문화는 무엇인가?","['A. 드라마, 노래, 춤', 'B. 전통 음악, 전통 무용, 전통 미술', 'C. 한식, 한복, 한지', 'D. 서예, 도자기, 불교']",A,"A. 드라마, 노래, 춤
B. 전통 음악, 전통 무용, 전통 미술
C. 한식, 한복, 한지
D. 서예, 도자기, 불교
","다음은 한국의 대중문화에 대한 문제이다.
세계 곳곳에 보급되어 인기를 끌고 있는 한국의 대중문화는 무엇인가?
A. 드라마, 노래, 춤
B. 전통 음악, 전통 무용, 전통 미술
C. 한식, 한복, 한지
D. 서예, 도자기, 불교
","Next is the issue of Korean popular culture.
What is the Korean pop culture that is spreading and gaining popularity all over the world?
A. Drama, song, dance
B. Traditional music, traditional dance, traditional art
C. Korean food, Hanbok, Hanji
D. Calligraphy, ceramics, Buddhism
"
780,KIIP_popular_8,,"다음은 한국의 대중문화에 대한 문제이다.
다수의 사람들이 즐기고 소비하는 문화를 무엇이라고 하는가?","['A. 전통문화', 'B. 대중문화', 'C. 고유문화', 'D. 현대문화']",B,"A. 전통문화
B. 대중문화
C. 고유문화
D. 현대문화
","다음은 한국의 대중문화에 대한 문제이다.
다수의 사람들이 즐기고 소비하는 문화를 무엇이라고 하는가?
A. 전통문화
B. 대중문화
C. 고유문화
D. 현대문화
","Next is the issue of Korean popular culture.
What do we call the culture enjoyed and consumed by the majority of people?
A. Traditional culture
B. Popular culture
C. Original culture
D. Modern culture
"
781,KIIP_popular_9,,"다음은 한국의 대중문화에 대한 문제이다.
한국에서 접할 수 있는 대중문화의 예시로 어떤 것들이 있는가?","['A. 드라마, 노래, 춤, 영화, 공연, 전시, 스포츠, 게임', 'B. 음식, 음료, 패션, 미용', 'C. 교육, 과학, 기술, 경제', 'D. 정치, 사회, 문화, 예술']",A,"A. 드라마, 노래, 춤, 영화, 공연, 전시, 스포츠, 게임
B. 음식, 음료, 패션, 미용
C. 교육, 과학, 기술, 경제
D. 정치, 사회, 문화, 예술
","다음은 한국의 대중문화에 대한 문제이다.
한국에서 접할 수 있는 대중문화의 예시로 어떤 것들이 있는가?
A. 드라마, 노래, 춤, 영화, 공연, 전시, 스포츠, 게임
B. 음식, 음료, 패션, 미용
C. 교육, 과학, 기술, 경제
D. 정치, 사회, 문화, 예술
","Next is the issue of Korean popular culture.
What are some examples of popular culture that can be found in Korea?
A. Dramas, songs, dances, movies, performances, exhibitions, sports, games
B. Food, drinks, fashion, beauty
C. Education, science, technology, economy
D. Politics, society, culture, art
"
782,KIIP_popular_10,,"다음은 한국의 대중문화에 대한 문제이다.
힙합이나 댄스 음악은 주로 어떤 연령층이 즐기는가?","['A. 어린이', 'B. 청소년과 청년층', 'C. 중장년층', 'D. 노년층']",B,"A. 어린이
B. 청소년과 청년층
C. 중장년층
D. 노년층
","다음은 한국의 대중문화에 대한 문제이다.
힙합이나 댄스 음악은 주로 어떤 연령층이 즐기는가?
A. 어린이
B. 청소년과 청년층
C. 중장년층
D. 노년층
","Next is the issue of Korean popular culture.
What age group mainly enjoys hip-hop or dance music?
A.Children
B. Adolescents and young adults
C. Middle-aged people
D. Older people
"
