index,id,paragraph,question,choices,answer,options,ko,en
1284,Kedu_tradition_1,,"다음은 한국의 문화와 전통에 대한 문제이다.
세한삼우(歲寒三友)에 해당하지 않는 것은?","['A. 소나무', 'B. 대나무', 'C. 매화', 'D. 동백']",D,"A. 소나무
B. 대나무
C. 매화
D. 동백
","다음은 한국의 문화와 전통에 대한 문제이다.
세한삼우(歲寒三友)에 해당하지 않는 것은?
A. 소나무
B. 대나무
C. 매화
D. 동백
","Next is the issue of Korean culture and tradition.
Which of the following does not fall under the three cold friends?
A. Pine tree
B. Bamboo
C. Plum blossom
D. Camellia
"
1285,Kedu_tradition_2,,"다음은 한국의 문화와 전통에 대한 문제이다.
전통복식 중 여자만 입는 옷은?","['A. 잠방이', 'B. 등거리', 'C. 장옷', 'D. 마고자']",C,"A. 잠방이
B. 등거리
C. 장옷
D. 마고자
","다음은 한국의 문화와 전통에 대한 문제이다.
전통복식 중 여자만 입는 옷은?
A. 잠방이
B. 등거리
C. 장옷
D. 마고자
","Next is the issue of Korean culture and tradition.
Which traditional clothing is worn only by women?
A. Jambangi
B. Equidistant
C. Jangot
D. Magoza
"
1286,Kedu_tradition_3,,"다음은 한국의 문화와 전통에 대한 문제이다.
전통제례(祭禮)에서 사용되는 용어가 아닌 것은?","['A. 강신(降神)', 'B. 초헌(初獻)', 'C. 초례(醮禮)', 'D. 독축(讀祝)']",C,"A. 강신(降神)
B. 초헌(初獻)
C. 초례(醮禮)
D. 독축(讀祝)
","다음은 한국의 문화와 전통에 대한 문제이다.
전통제례(祭禮)에서 사용되는 용어가 아닌 것은?
A. 강신(降神)
B. 초헌(初獻)
C. 초례(醮禮)
D. 독축(讀祝)
","Next is the issue of Korean culture and tradition.
Which of the following is not a term used in traditional rituals?
A. Strong God
B. First Constitution
C. Chorye (醮禮)
D. Recitation
"
1287,Kedu_tradition_4,,"다음은 한국의 문화와 전통에 대한 문제이다.
한국의 전통 혼례 절차 중 납폐(納幣)에 관한 설명으로 옳은 것은?","['A. 신랑 집과 신부 집에서 상대의 인물, 가문, 인품 등을 알아보는 절차', 'B. 신랑 집에서 신부 집으로 함을 보내는 절차', 'C. 신랑이 혼인날 혹은 그 전날 신부 집으로 행차하여 예식을 올리는 절차', 'D. 신부가 친정을 떠나 신랑과 함께 시집으로 가는 절차']",B,"A. 신랑 집과 신부 집에서 상대의 인물, 가문, 인품 등을 알아보는 절차
B. 신랑 집에서 신부 집으로 함을 보내는 절차
C. 신랑이 혼인날 혹은 그 전날 신부 집으로 행차하여 예식을 올리는 절차
D. 신부가 친정을 떠나 신랑과 함께 시집으로 가는 절차
","다음은 한국의 문화와 전통에 대한 문제이다.
한국의 전통 혼례 절차 중 납폐(納幣)에 관한 설명으로 옳은 것은?
A. 신랑 집과 신부 집에서 상대의 인물, 가문, 인품 등을 알아보는 절차
B. 신랑 집에서 신부 집으로 함을 보내는 절차
C. 신랑이 혼인날 혹은 그 전날 신부 집으로 행차하여 예식을 올리는 절차
D. 신부가 친정을 떠나 신랑과 함께 시집으로 가는 절차
","Next is the issue of Korean culture and tradition.
Which of the following is correct regarding nappye (納幣) among the traditional Korean wedding procedures?
A. Procedure to find out about each other's character, family, personality, etc. from the groom's and bride's families
B. Procedure for sending a box from the groom’s house to the bride’s house
C. The procedure in which the groom comes to the bride’s house on the wedding day or the day before and holds a ceremony.
D. The procedure for the bride to leave her parents’ home and go to her husband’s house with the groom.
"
1288,Kedu_tradition_5,,"다음은 한국의 문화와 전통에 대한 문제이다.
다음 민요들 중 그 기능이 같은 것으로 묶인 것은?","['A. 노젓는소리 - 모심는소리 - 목도소리', 'B. 성주풀이 - 고사반노래 - 베틀소리', 'C. 회다지소리 - 대문놀이 - 남생아놀아라', 'D. 걸궁노래 - 안택굿무가 - 논매는소리']",A,"A. 노젓는소리 - 모심는소리 - 목도소리
B. 성주풀이 - 고사반노래 - 베틀소리
C. 회다지소리 - 대문놀이 - 남생아놀아라
D. 걸궁노래 - 안택굿무가 - 논매는소리
","다음은 한국의 문화와 전통에 대한 문제이다.
다음 민요들 중 그 기능이 같은 것으로 묶인 것은?
A. 노젓는소리 - 모심는소리 - 목도소리
B. 성주풀이 - 고사반노래 - 베틀소리
C. 회다지소리 - 대문놀이 - 남생아놀아라
D. 걸궁노래 - 안택굿무가 - 논매는소리
","Next is the issue of Korean culture and tradition.
Which of the following folk songs is grouped with the same function?
A. The sound of rowing - the sound of planting rice - the sound of moksa
B. Seongjupuri - Gosavan song - Sound of the loom
C. Hoedajjisori - Daemunnori - Play with the tortoise
D. Geolgung Song - Antaek Gut Dance - Nonmaeneunsori
"
1289,Kedu_tradition_6,,"다음은 한국의 문화와 전통에 대한 문제이다.
조상을 모시는 제사상차림의 일반적인 원칙에 어긋나는 것은?","['A. 반서갱동(飯西羹東)', 'B. 어동육서(魚東肉西)', 'C. 홍동백서(紅東白西)', 'D. 서두동미(西頭東尾)']",D,"A. 반서갱동(飯西羹東)
B. 어동육서(魚東肉西)
C. 홍동백서(紅東白西)
D. 서두동미(西頭東尾)
","다음은 한국의 문화와 전통에 대한 문제이다.
조상을 모시는 제사상차림의 일반적인 원칙에 어긋나는 것은?
A. 반서갱동(飯西羹東)
B. 어동육서(魚東肉西)
C. 홍동백서(紅東白西)
D. 서두동미(西頭東尾)
","Next is the issue of Korean culture and tradition.
What goes against the general principles of setting a ancestral rite table for ancestors?
A. Banseogaengdong (Food East)
B. Fish, Dong, and Yukseo (魚東肉西)
C. Red East White Book
D. Seo Du Dong Mi (West Head East)
"
1290,Kedu_tradition_7,,"다음은 한국의 문화와 전통에 대한 문제이다.
외국인들이 정월 대보름을 맞이하여 한국의 전통 풍습을 체험해 보려고 한다. 체험내용으로 옳지 않은 것은?","['A. 다섯 가지 곡식으로 지은 오곡밥을 먹는다.', 'B. 귀가 밝아지기를 바라며 귀밝이술을 마신다.', 'C. 더위를 이겨내기 위해 쑥과 익모초로 만든 음식을 먹는다.', 'D. 땅콩이나 호두, 밤과 같은 견과류를 깨물며 피부병이 없기를 바란다.']",C,"A. 다섯 가지 곡식으로 지은 오곡밥을 먹는다.
B. 귀가 밝아지기를 바라며 귀밝이술을 마신다.
C. 더위를 이겨내기 위해 쑥과 익모초로 만든 음식을 먹는다.
D. 땅콩이나 호두, 밤과 같은 견과류를 깨물며 피부병이 없기를 바란다.
","다음은 한국의 문화와 전통에 대한 문제이다.
외국인들이 정월 대보름을 맞이하여 한국의 전통 풍습을 체험해 보려고 한다. 체험내용으로 옳지 않은 것은?
A. 다섯 가지 곡식으로 지은 오곡밥을 먹는다.
B. 귀가 밝아지기를 바라며 귀밝이술을 마신다.
C. 더위를 이겨내기 위해 쑥과 익모초로 만든 음식을 먹는다.
D. 땅콩이나 호두, 밤과 같은 견과류를 깨물며 피부병이 없기를 바란다.
","Next is the issue of Korean culture and tradition.
Foreigners try to experience traditional Korean customs on the first full moon of the New Year. What is not correct about the experience?
A. Eat five-grain rice made with five different grains.
B. I drink ear-brightening liquor in the hope that my ears will become brighter.
C. To beat the heat, eat foods made from mugwort and motherwort.
D. Biting nuts such as peanuts, walnuts, and chestnuts and hoping to avoid skin diseases.
"
1291,Kedu_tradition_8,,"다음은 한국의 문화와 전통에 대한 문제이다.
다음 설명에 적합한 한국 전통장례의 절차는? 시신을 목욕시키고 의복을 갈아입힌 후, 단단히 묶어 입관시킨다.","['A. 초혼', 'B. 발상', 'C. 습렴', 'D. 성복']",C,"A. 초혼
B. 발상
C. 습렴
D. 성복
","다음은 한국의 문화와 전통에 대한 문제이다.
다음 설명에 적합한 한국 전통장례의 절차는? 시신을 목욕시키고 의복을 갈아입힌 후, 단단히 묶어 입관시킨다.
A. 초혼
B. 발상
C. 습렴
D. 성복
","Next is the issue of Korean culture and tradition.
Which Korean traditional funeral procedure fits the following description? After bathing the body and changing its clothes, tie it tightly and place it in the coffin.
A. First marriage
B. Idea
C. Wet
D. Seongbok
"
1292,Kedu_tradition_9,,"다음은 한국의 문화와 전통에 대한 문제이다.
향가에 관한 설명으로 옳지 않은 것은?","['A. 4구체, 8구체, 10구체가 있으며 연(聯) 구분이 있다.', 'B. 한자의 음(音)과 훈(訓)을 빌려 적는 향찰(鄕札)로 기록되었다.', 'C. 주요 작품으로 <헌화가>, <제망매가>, <찬기파랑가> 등이 있다.', 'D. 《삼국유사》에 14수,《균여전》에 11수가 수록되어 있다.']",A,"A. 4구체, 8구체, 10구체가 있으며 연(聯) 구분이 있다.
B. 한자의 음(音)과 훈(訓)을 빌려 적는 향찰(鄕札)로 기록되었다.
C. 주요 작품으로 <헌화가>, <제망매가>, <찬기파랑가> 등이 있다.
D. 《삼국유사》에 14수,《균여전》에 11수가 수록되어 있다.
","다음은 한국의 문화와 전통에 대한 문제이다.
향가에 관한 설명으로 옳지 않은 것은?
A. 4구체, 8구체, 10구체가 있으며 연(聯) 구분이 있다.
B. 한자의 음(音)과 훈(訓)을 빌려 적는 향찰(鄕札)로 기록되었다.
C. 주요 작품으로 <헌화가>, <제망매가>, <찬기파랑가> 등이 있다.
D. 《삼국유사》에 14수,《균여전》에 11수가 수록되어 있다.
","Next is the issue of Korean culture and tradition.
Which of the following is not correct regarding Hyangga?
A. There are 4 spheres, 8 spheres, and 10 spheres and are divided into stanzas.
B. It was recorded in Hyangchal (鄕札), written by borrowing the sound (音) and Hun (訓) of Chinese characters.
C. Major works include <Heonhwaga>, <Jemangmaega>, and <Changiparanga>.
D. 14 poems are included in 《Samguk Yusa》 and 11 poems are included in 《Gyunyeojeon》.
"
1293,Kedu_tradition_10,,"다음은 한국의 문화와 전통에 대한 문제이다.
전통 악기 중 취악기(吹樂器)에 해당하지 않는 것은?","['A. 비파', 'B. 나발', 'C. 나각', 'D. 태평소']",A,"A. 비파
B. 나발
C. 나각
D. 태평소
","다음은 한국의 문화와 전통에 대한 문제이다.
전통 악기 중 취악기(吹樂器)에 해당하지 않는 것은?
A. 비파
B. 나발
C. 나각
D. 태평소
","Next is the issue of Korean culture and tradition.
Which of the traditional musical instruments is not considered a chwiakgi (吹樂器)?
A. Pipa
B. Nabal
C. Nagak
D. Taepyeongso
"
