index,id,paragraph,question,choices,answer,options,ko,en
470,KIIP_law_1,,"다음은 한국사회의 법에 대한 문제이다.
외국인 중 어떤 사람들이 기간 제한 없이 한국에 머무를 수 있는가?","['A. 영주권을 신청한 사람들', 'B. 한국을 좋아하는 사람들', 'C. 한국에 투자한 사람들', 'D. 한국어를 유창하게 구사하는 사람들']",A,"A. 영주권을 신청한 사람들
B. 한국을 좋아하는 사람들
C. 한국에 투자한 사람들
D. 한국어를 유창하게 구사하는 사람들
","다음은 한국사회의 법에 대한 문제이다.
외국인 중 어떤 사람들이 기간 제한 없이 한국에 머무를 수 있는가?
A. 영주권을 신청한 사람들
B. 한국을 좋아하는 사람들
C. 한국에 투자한 사람들
D. 한국어를 유창하게 구사하는 사람들
","Next is the issue of law in Korean society.
Which foreigners can stay in Korea for an unlimited period of time?
A. People who applied for permanent residency
B. People who like Korea
C. People who invested in Korea
D. People who speak Korean fluently
"
471,KIIP_law_2,,"다음은 한국사회의 법에 대한 문제이다.
한국에서 VISA는 어떤 용어로 불리는가?","['A. 여권', 'B. 사증', 'C. 체류증', 'D. 입국증']",B,"A. 여권
B. 사증
C. 체류증
D. 입국증
","다음은 한국사회의 법에 대한 문제이다.
한국에서 VISA는 어떤 용어로 불리는가?
A. 여권
B. 사증
C. 체류증
D. 입국증
","Next is the issue of law in Korean society.
What term is VISA called in Korea?
A. Passport
B. Visa
C. Residence permit
D. Entry card
"
472,KIIP_law_3,,"다음은 한국사회의 법에 대한 문제이다.
서울 외에 어떤 지역에도 외국인 마을이 있는가?","['A. 경기도 안산의 국경 없는 마을과 인천의 차이나 타운', 'B. 부산의 러시아 마을과 대구의 베트남 마을', 'C. 광주의 미국 마을과 대전의 중국 마을', 'D. 제주도의 일본 마을과 울산의 필리핀 마을']",A,"A. 경기도 안산의 국경 없는 마을과 인천의 차이나 타운
B. 부산의 러시아 마을과 대구의 베트남 마을
C. 광주의 미국 마을과 대전의 중국 마을
D. 제주도의 일본 마을과 울산의 필리핀 마을
","다음은 한국사회의 법에 대한 문제이다.
서울 외에 어떤 지역에도 외국인 마을이 있는가?
A. 경기도 안산의 국경 없는 마을과 인천의 차이나 타운
B. 부산의 러시아 마을과 대구의 베트남 마을
C. 광주의 미국 마을과 대전의 중국 마을
D. 제주도의 일본 마을과 울산의 필리핀 마을
","Next is the issue of law in Korean society.
Are there any foreign villages outside of Seoul?
A. Borderless Village in Ansan, Gyeonggi-do and Chinatown in Incheon
B. Russian village in Busan and Vietnamese village in Daegu
C. American Village in Gwangju and Chinese Village in Daejeon
D. Japanese village in Jeju Island and Philippine village in Ulsan
"
473,KIIP_law_4,,"다음은 한국사회의 법에 대한 문제이다.
서울의 어느 지역에 이슬람 마을이 위치해 있는가?","['A. 구로구 가리봉동', 'B. 용산구 이태원동', 'C. 서초구 방배동', 'D. 동대문구 광희동']",B,"A. 구로구 가리봉동
B. 용산구 이태원동
C. 서초구 방배동
D. 동대문구 광희동
","다음은 한국사회의 법에 대한 문제이다.
서울의 어느 지역에 이슬람 마을이 위치해 있는가?
A. 구로구 가리봉동
B. 용산구 이태원동
C. 서초구 방배동
D. 동대문구 광희동
","Next is the issue of law in Korean society.
In which area of ​​Seoul is the Islamic village located?
A. Garibong-dong, Guro-gu
B. Itaewon-dong, Yongsan-gu
C. Bangbae-dong, Seocho-gu
D. Gwanghui-dong, Dongdaemun-gu
"
474,KIIP_law_5,,"다음은 한국사회의 법에 대한 문제이다.
경기도 안산에는 어떤 외국인 마을이 있는가?","['A. 국경 없는 마을', 'B. 차이나 타운', 'C. 일본마을', 'D. 몽고마을']",A,"A. 국경 없는 마을
B. 차이나 타운
C. 일본마을
D. 몽고마을
","다음은 한국사회의 법에 대한 문제이다.
경기도 안산에는 어떤 외국인 마을이 있는가?
A. 국경 없는 마을
B. 차이나 타운
C. 일본마을
D. 몽고마을
","Next is the issue of law in Korean society.
What foreign villages are there in Ansan, Gyeonggi-do?
A. Village without borders
B. Chinatown
C. Japanese Village
D. Mongolian Village
"
475,KIIP_law_6,,"다음은 한국사회의 법에 대한 문제이다.
브라서 마리 헬렌씨가 한국에서 무료 진료소를 열었던 장소는 어디인가?","['A. 서울 강남구', 'B. 서울 종로구', 'C. 서울 시흥동', 'D. 서울 동대문구']",C,"A. 서울 강남구
B. 서울 종로구
C. 서울 시흥동
D. 서울 동대문구
","다음은 한국사회의 법에 대한 문제이다.
브라서 마리 헬렌씨가 한국에서 무료 진료소를 열었던 장소는 어디인가?
A. 서울 강남구
B. 서울 종로구
C. 서울 시흥동
D. 서울 동대문구
","Next is the issue of law in Korean society.
Where did Bracer Marie Helen open a free clinic in Korea?
A. Gangnam-gu, Seoul
B. Jongno-gu, Seoul
C. Siheung-dong, Seoul
D. Dongdaemun-gu, Seoul
"
476,KIIP_law_7,,"다음은 한국사회의 법에 대한 문제이다.
엄넬리 박사가 설립한 학교의 이름은 무엇인가?","['A. 한민족학교', 'B. 한국어학교', 'C. 한국문화학교', 'D. 한국사학교']",A,"A. 한민족학교
B. 한국어학교
C. 한국문화학교
D. 한국사학교
","다음은 한국사회의 법에 대한 문제이다.
엄넬리 박사가 설립한 학교의 이름은 무엇인가?
A. 한민족학교
B. 한국어학교
C. 한국문화학교
D. 한국사학교
","Next is the issue of law in Korean society.
What is the name of the school founded by Dr. Umneli?
A. Korean School
B. Korean Language School
C. Korean Culture School
D. Korean History School
"
477,KIIP_law_8,,"다음은 한국사회의 법에 대한 문제이다.
한국에서는 한 사건에 대해 몇 번까지 재판을 받을 수 있도록 하고 있는가?","['A. 1번', 'B. 2번', 'C. 3번', 'D. 4번']",C,"A. 1번
B. 2번
C. 3번
D. 4번
","다음은 한국사회의 법에 대한 문제이다.
한국에서는 한 사건에 대해 몇 번까지 재판을 받을 수 있도록 하고 있는가?
A. 1번
B. 2번
C. 3번
D. 4번
","Next is the issue of law in Korean society.
How many times can a case be tried in Korea?
A. No. 1
B. No. 2
C. No. 3
D. No. 4
"
478,KIIP_law_9,,"다음은 한국사회의 법에 대한 문제이다.
1심 재판은 어디에서 이루어지는가?","['A. 대법원', 'B. 고등법원', 'C. 지방법원', 'D. 헌법재판소']",C,"A. 대법원
B. 고등법원
C. 지방법원
D. 헌법재판소
","다음은 한국사회의 법에 대한 문제이다.
1심 재판은 어디에서 이루어지는가?
A. 대법원
B. 고등법원
C. 지방법원
D. 헌법재판소
","Next is the issue of law in Korean society.
Where is the first trial held?
A. Supreme Court
B. High Court
C. District Court
D. Constitutional Court
"
479,KIIP_law_10,,"다음은 한국사회의 법에 대한 문제이다.
한국에서 법을 집행하는 기관은 무엇인가?","['A. 경찰과 검찰', 'B. 국회', 'C. 정부', 'D. 헌법재판소']",A,"A. 경찰과 검찰
B. 국회
C. 정부
D. 헌법재판소
","다음은 한국사회의 법에 대한 문제이다.
한국에서 법을 집행하는 기관은 무엇인가?
A. 경찰과 검찰
B. 국회
C. 정부
D. 헌법재판소
","Next is the issue of law in Korean society.
What agencies enforce the law in Korea?
A. Police and prosecutors
B. National Assembly
C. Government
D. Constitutional Court
"
480,KIIP_law_11,,"다음은 한국사회의 법에 대한 문제이다.
경찰의 도움을 받기 위해 어떤 전화번호로 신고를 할 수 있는가?","['A. 119', 'B. 112', 'C. 114', 'D. 120']",B,"A. 119
B. 112
C. 114
D. 120
","다음은 한국사회의 법에 대한 문제이다.
경찰의 도움을 받기 위해 어떤 전화번호로 신고를 할 수 있는가?
A. 119
B. 112
C. 114
D. 120
","Next is the issue of law in Korean society.
What phone number can I call to get police help?
A.119
B.112
C.114
D.120
"
481,KIIP_law_12,,"다음은 한국사회의 법에 대한 문제이다.
대한민국 검찰의 주요 역할은 무엇인가?","['A. 범죄를 수사하고 법을 집행하는 일', 'B. 국민의 생명과 신체, 재산의 보호', 'C. 교통 단속과 위해 방지', 'D. 질서유지']",A,"A. 범죄를 수사하고 법을 집행하는 일
B. 국민의 생명과 신체, 재산의 보호
C. 교통 단속과 위해 방지
D. 질서유지
","다음은 한국사회의 법에 대한 문제이다.
대한민국 검찰의 주요 역할은 무엇인가?
A. 범죄를 수사하고 법을 집행하는 일
B. 국민의 생명과 신체, 재산의 보호
C. 교통 단속과 위해 방지
D. 질서유지
","Next is the issue of law in Korean society.
What is the main role of prosecutors in Korea?
A. Investigating crimes and enforcing the law
B. Protection of people’s lives, bodies, and property
C. Traffic enforcement and harm prevention
D. Maintaining order
"
482,KIIP_law_13,,"다음은 한국사회의 법에 대한 문제이다.
법집행 기관의 수사 결과, 용의자의 법 위반 사실이 있다고 판단될 경우 어떤 조치를 취하는가?","['A. 범죄자를 직접 처벌한다', 'B. 범죄자를 처벌해 달라고 법원에 재판을 신청한다', 'C. 범죄자를 경찰에게 인계한다', 'D. 범죄자를 해외로 추방한다']",B,"A. 범죄자를 직접 처벌한다
B. 범죄자를 처벌해 달라고 법원에 재판을 신청한다
C. 범죄자를 경찰에게 인계한다
D. 범죄자를 해외로 추방한다
","다음은 한국사회의 법에 대한 문제이다.
법집행 기관의 수사 결과, 용의자의 법 위반 사실이 있다고 판단될 경우 어떤 조치를 취하는가?
A. 범죄자를 직접 처벌한다
B. 범죄자를 처벌해 달라고 법원에 재판을 신청한다
C. 범죄자를 경찰에게 인계한다
D. 범죄자를 해외로 추방한다
","Next is the issue of law in Korean society.
As a result of the law enforcement agency's investigation, what actions are taken if it is determined that the suspect has violated the law?
A. Punish criminals directly
B. Apply to the court to punish the criminal
C. Hand over the criminal to the police
D. Deport criminals abroad
"
483,KIIP_law_14,,"다음은 한국사회의 법에 대한 문제이다.
3심 재판은 어디에서 이루어지는가?","['A. 지방법원', 'B. 고등법원', 'C. 대법원', 'D. 헌법재판소']",C,"A. 지방법원
B. 고등법원
C. 대법원
D. 헌법재판소
","다음은 한국사회의 법에 대한 문제이다.
3심 재판은 어디에서 이루어지는가?
A. 지방법원
B. 고등법원
C. 대법원
D. 헌법재판소
","Next is the issue of law in Korean society.
Where does the third trial take place?
A. District Court
B. High Court
C. Supreme Court
D. Constitutional Court
"
484,KIIP_law_15,,"다음은 한국사회의 법에 대한 문제이다.
특별사법경찰관이란 무엇인가?","['A. 경찰의 일종', 'B. 법에 의해 사법경찰관의 직무를 행하는 자', 'C. 범죄자에 대한 처벌을 요구하는 자', 'D. 수사를 지휘하는 자']",B,"A. 경찰의 일종
B. 법에 의해 사법경찰관의 직무를 행하는 자
C. 범죄자에 대한 처벌을 요구하는 자
D. 수사를 지휘하는 자
","다음은 한국사회의 법에 대한 문제이다.
특별사법경찰관이란 무엇인가?
A. 경찰의 일종
B. 법에 의해 사법경찰관의 직무를 행하는 자
C. 범죄자에 대한 처벌을 요구하는 자
D. 수사를 지휘하는 자
","Next is the issue of law in Korean society.
What is a special judicial police officer?
A. A type of police officer
B. A person who performs the duties of a judicial police officer in accordance with the law
C. Those who demand punishment for criminals
D. Person directing the investigation
"
485,KIIP_law_16,,"다음은 한국사회의 법에 대한 문제이다.
특별사법경찰관이 경찰의 역할을 수행하는 경우는 어떤 경우인가?","['A. 경찰이 직접 직무를 수행하기 힘든 전문적인 분야', 'B. 범죄자에 대한 처벌을 요구하는 경우', 'C. 재판을 법원에 청구하는 경우', 'D. 수사를 지휘하는 경우']",A,"A. 경찰이 직접 직무를 수행하기 힘든 전문적인 분야
B. 범죄자에 대한 처벌을 요구하는 경우
C. 재판을 법원에 청구하는 경우
D. 수사를 지휘하는 경우
","다음은 한국사회의 법에 대한 문제이다.
특별사법경찰관이 경찰의 역할을 수행하는 경우는 어떤 경우인가?
A. 경찰이 직접 직무를 수행하기 힘든 전문적인 분야
B. 범죄자에 대한 처벌을 요구하는 경우
C. 재판을 법원에 청구하는 경우
D. 수사를 지휘하는 경우
","Next is the issue of law in Korean society.
In what cases do special judicial police officers perform the role of police officers?
A. Professional fields where it is difficult for police officers to perform their duties directly
B. When demanding punishment for criminals
C. When requesting a trial to the court
D. When directing an investigation
"
