index,id,paragraph,question,choices,answer,options,ko,en
521,PSAT_17_1,,"다음은 한국사회의 법에 대한 문제이다.
헌법재판소에 대한 설명으로 옳은 것은?","['A. 법관의 자격을 가진 자만이 헌법재판소의 재판관으로 임명될 수 있다.', 'B. 헌법재판소 재판관은 탄핵에 의해서만 파면될 수 있다.', 'C. 헌법재판소 재판관의 임기는 6년으로 하며, 정년은 65세로 한다.', 'D. 정당해산의 결정을 하기 위해서는 평의에 참가한 재판관 3분의 2 이상의 찬성이 필요하다.']",A,"A. 법관의 자격을 가진 자만이 헌법재판소의 재판관으로 임명될 수 있다.
B. 헌법재판소 재판관은 탄핵에 의해서만 파면될 수 있다.
C. 헌법재판소 재판관의 임기는 6년으로 하며, 정년은 65세로 한다.
D. 정당해산의 결정을 하기 위해서는 평의에 참가한 재판관 3분의 2 이상의 찬성이 필요하다.
","다음은 한국사회의 법에 대한 문제이다.
헌법재판소에 대한 설명으로 옳은 것은?
A. 법관의 자격을 가진 자만이 헌법재판소의 재판관으로 임명될 수 있다.
B. 헌법재판소 재판관은 탄핵에 의해서만 파면될 수 있다.
C. 헌법재판소 재판관의 임기는 6년으로 하며, 정년은 65세로 한다.
D. 정당해산의 결정을 하기 위해서는 평의에 참가한 재판관 3분의 2 이상의 찬성이 필요하다.
","Next is the issue of law in Korean society.
Which of the following is correct about the Constitutional Court?
A. Only those who have the qualifications to be judges can be appointed as judges of the Constitutional Court.
B. Justices of the Constitutional Court can be removed only by impeachment.
C. The term of office of judges of the Constitutional Court is six years, and the retirement age is 65.
D. In order to make a decision to dissolve a political party, the approval of more than two-thirds of the judges participating in the deliberation is required.
"
522,PSAT_17_2,,"다음은 한국사회의 법에 대한 문제이다.
법치주의에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 헌법재판소 결정에 의함)","['A. 현행 헌법상 법치주의를 선언하고 있는 명문의 규정은 없으나, 법치주의는 헌법의 기본원리로 인정된다.', 'B. 법치주의는 행정작용에 국회가 제정한 형식적 법률의 근거가 요청된다는 법률유보를 그 핵심적 내용의 하나로 한다.', 'C. 법치주의로부터 도출되는 신뢰보호의 원칙상 모든 법규범은 현재와 장래에 한하여 효력을 가지기 때문에 시혜적 소급입법은 금지된다.', 'D. 범죄행위의 무게 및 그 범행자의 책임에 상응하는 정당한 비례성을 감안하여, 기본권의 제한은 필요한 최소한에 그쳐야 한다는 것은 헌법상 법치국가의 원리에서 나온다.']",C,"A. 현행 헌법상 법치주의를 선언하고 있는 명문의 규정은 없으나, 법치주의는 헌법의 기본원리로 인정된다.
B. 법치주의는 행정작용에 국회가 제정한 형식적 법률의 근거가 요청된다는 법률유보를 그 핵심적 내용의 하나로 한다.
C. 법치주의로부터 도출되는 신뢰보호의 원칙상 모든 법규범은 현재와 장래에 한하여 효력을 가지기 때문에 시혜적 소급입법은 금지된다.
D. 범죄행위의 무게 및 그 범행자의 책임에 상응하는 정당한 비례성을 감안하여, 기본권의 제한은 필요한 최소한에 그쳐야 한다는 것은 헌법상 법치국가의 원리에서 나온다.
","다음은 한국사회의 법에 대한 문제이다.
법치주의에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 헌법재판소 결정에 의함)
A. 현행 헌법상 법치주의를 선언하고 있는 명문의 규정은 없으나, 법치주의는 헌법의 기본원리로 인정된다.
B. 법치주의는 행정작용에 국회가 제정한 형식적 법률의 근거가 요청된다는 법률유보를 그 핵심적 내용의 하나로 한다.
C. 법치주의로부터 도출되는 신뢰보호의 원칙상 모든 법규범은 현재와 장래에 한하여 효력을 가지기 때문에 시혜적 소급입법은 금지된다.
D. 범죄행위의 무게 및 그 범행자의 책임에 상응하는 정당한 비례성을 감안하여, 기본권의 제한은 필요한 최소한에 그쳐야 한다는 것은 헌법상 법치국가의 원리에서 나온다.
","Next is the issue of law in Korean society.
Which of the following is not an accurate explanation of the rule of law? (If there is a dispute, it will be decided by the Constitutional Court)
A. Although there is no explicit provision declaring the rule of law in the current Constitution, the rule of law is recognized as a basic principle of the Constitution.
B. One of the core contents of the rule of law is the legal reservation that administrative actions require the basis of formal laws enacted by the National Assembly.
C. According to the principle of trust protection derived from the rule of law, all legal norms are effective only in the present and the future, so beneficial retroactive legislation is prohibited.
D. Considering the gravity of the criminal act and the just proportionality corresponding to the responsibility of the offender, it follows from the constitutional principle of the rule of law that restrictions on fundamental rights should be limited to the minimum necessary.
"
523,PSAT_17_3,,"다음은 한국사회의 법에 대한 문제이다.
지방자치제도에 대한 설명으로 옳지 않은 것은?","['A. 지방자치단체의 장의 선임방법 기타 지방자치단체의 조직과 운영에 관한 사항은 법률로 정하나, 지방의회의 조직ㆍ권한ㆍ의원선거에 관한 사항은 조례로 정한다.', 'B. 헌법재판소 결정에 의하면 지방자치제도는 제도적 보장의 하나로서, 그 제도의 본질적 내용을 침해하지 않는 범위 안에서 입법자에게 입법형성의 자유가 폭 넓게 인정된다.', 'C. 지방자치법상의 지방자치단체 외에 특정한 목적을 수행하기 위하여 필요하면 따로 특별지방자치단체를 설치할 수 있다.', 'D. 지방자치단체는 주민의 복리에 관한 사무를 처리하고 재산을 관리하며, 법령의 범위 안에서 자치에 관한 규정을 제정할 수 있다.']",A,"A. 지방자치단체의 장의 선임방법 기타 지방자치단체의 조직과 운영에 관한 사항은 법률로 정하나, 지방의회의 조직ㆍ권한ㆍ의원선거에 관한 사항은 조례로 정한다.
B. 헌법재판소 결정에 의하면 지방자치제도는 제도적 보장의 하나로서, 그 제도의 본질적 내용을 침해하지 않는 범위 안에서 입법자에게 입법형성의 자유가 폭 넓게 인정된다.
C. 지방자치법상의 지방자치단체 외에 특정한 목적을 수행하기 위하여 필요하면 따로 특별지방자치단체를 설치할 수 있다.
D. 지방자치단체는 주민의 복리에 관한 사무를 처리하고 재산을 관리하며, 법령의 범위 안에서 자치에 관한 규정을 제정할 수 있다.
","다음은 한국사회의 법에 대한 문제이다.
지방자치제도에 대한 설명으로 옳지 않은 것은?
A. 지방자치단체의 장의 선임방법 기타 지방자치단체의 조직과 운영에 관한 사항은 법률로 정하나, 지방의회의 조직ㆍ권한ㆍ의원선거에 관한 사항은 조례로 정한다.
B. 헌법재판소 결정에 의하면 지방자치제도는 제도적 보장의 하나로서, 그 제도의 본질적 내용을 침해하지 않는 범위 안에서 입법자에게 입법형성의 자유가 폭 넓게 인정된다.
C. 지방자치법상의 지방자치단체 외에 특정한 목적을 수행하기 위하여 필요하면 따로 특별지방자치단체를 설치할 수 있다.
D. 지방자치단체는 주민의 복리에 관한 사무를 처리하고 재산을 관리하며, 법령의 범위 안에서 자치에 관한 규정을 제정할 수 있다.
","Next is the issue of law in Korean society.
Which of the following is not an accurate explanation of the local autonomy system?
A. The method of electing the head of a local government and other matters related to the organization and operation of a local government are determined by law, but matters related to the organization, authority, and election of members of the local council are determined by ordinance.
B. According to the decision of the Constitutional Court, the local autonomy system is one of the institutional guarantees, and the freedom of legislators to form legislation is broadly recognized to the extent that it does not infringe on the essential contents of the system.
C. In addition to local governments under the Local Autonomy Act, special local governments may be established separately if necessary to carry out specific purposes.
D. Local governments handle affairs related to the welfare of residents, manage property, and can enact regulations on self-government within the scope of laws.
"
524,PSAT_17_4,,"다음은 한국사회의 법에 대한 문제이다.
헌법전문에 대한 설명으로 옳지 않은 것은?","['A. 제헌헌법부터 존재하던 헌법전문은 1972년 제7차 헌법개정에서 최초로 개정이 이루어졌다.', 'B. 헌법재판소는 헌법전문에 기재된 3 1정신은 헌법이나 법률 해석의 기준으로 작용하지만, 그에 기하여 곧바로 국민의 개별적 기본권성을 도출해낼 수는 없다고 본다.', 'C. 헌법재판소 결정에 의하면 헌법전문은 헌법규범의 일부로서 헌법으로서의 규범적 효력을 나타내기 때문에 구체적으로는 헌법소송에서의 재판규범이 된다.', 'D. 현행 헌법의 전문에는 헌법의 성립유래만이 아니라, 헌법의 기본이념과 가치도 제시되어 있다.']",A,"A. 제헌헌법부터 존재하던 헌법전문은 1972년 제7차 헌법개정에서 최초로 개정이 이루어졌다.
B. 헌법재판소는 헌법전문에 기재된 3 1정신은 헌법이나 법률 해석의 기준으로 작용하지만, 그에 기하여 곧바로 국민의 개별적 기본권성을 도출해낼 수는 없다고 본다.
C. 헌법재판소 결정에 의하면 헌법전문은 헌법규범의 일부로서 헌법으로서의 규범적 효력을 나타내기 때문에 구체적으로는 헌법소송에서의 재판규범이 된다.
D. 현행 헌법의 전문에는 헌법의 성립유래만이 아니라, 헌법의 기본이념과 가치도 제시되어 있다.
","다음은 한국사회의 법에 대한 문제이다.
헌법전문에 대한 설명으로 옳지 않은 것은?
A. 제헌헌법부터 존재하던 헌법전문은 1972년 제7차 헌법개정에서 최초로 개정이 이루어졌다.
B. 헌법재판소는 헌법전문에 기재된 3 1정신은 헌법이나 법률 해석의 기준으로 작용하지만, 그에 기하여 곧바로 국민의 개별적 기본권성을 도출해낼 수는 없다고 본다.
C. 헌법재판소 결정에 의하면 헌법전문은 헌법규범의 일부로서 헌법으로서의 규범적 효력을 나타내기 때문에 구체적으로는 헌법소송에서의 재판규범이 된다.
D. 현행 헌법의 전문에는 헌법의 성립유래만이 아니라, 헌법의 기본이념과 가치도 제시되어 있다.
","Next is the issue of law in Korean society.
Which of the following is incorrect regarding the preamble to the Constitution?
A. The preamble to the Constitution, which existed since the Constitution, was first revised in the 7th Constitutional Amendment in 1972.
B. The Constitutional Court believes that although the spirit of Article 31 stated in the Preamble to the Constitution serves as a standard for interpreting the Constitution or laws, individual fundamental rights of citizens cannot be directly derived based on it.
C. According to the decision of the Constitutional Court, the preamble to the Constitution is a part of the constitutional norms and has normative effect as the Constitution, so it specifically becomes a trial norm in constitutional litigation.
D. The preamble to the current Constitution presents not only the origins of the Constitution, but also the basic principles and values ​​of the Constitution.
"
525,PSAT_17_5,,"다음은 한국사회의 법에 대한 문제이다.
헌법상 경제조항에 대한 설명으로 옳지 않은 것은?","['A. 국가는 경제의 민주화를 위하여 경제에 관한 규제와 조정을 할 수 있다.', 'B. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하여야 하며, 농지의 임대차는 금지된다.', 'C. 국가는 건전한 소비행위를 계도하고 생산품의 품질향상을 촉구하기 위한 소비자보호운동을 법률이 정하는 바에 의하여 보장한다.', 'D. 국방상 또는 국민경제상 긴절한 필요로 인하여 법률이 정하는 경우에는 사영기업을 국유 또는 공유로 이전할 수 있다.']",B,"A. 국가는 경제의 민주화를 위하여 경제에 관한 규제와 조정을 할 수 있다.
B. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하여야 하며, 농지의 임대차는 금지된다.
C. 국가는 건전한 소비행위를 계도하고 생산품의 품질향상을 촉구하기 위한 소비자보호운동을 법률이 정하는 바에 의하여 보장한다.
D. 국방상 또는 국민경제상 긴절한 필요로 인하여 법률이 정하는 경우에는 사영기업을 국유 또는 공유로 이전할 수 있다.
","다음은 한국사회의 법에 대한 문제이다.
헌법상 경제조항에 대한 설명으로 옳지 않은 것은?
A. 국가는 경제의 민주화를 위하여 경제에 관한 규제와 조정을 할 수 있다.
B. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하여야 하며, 농지의 임대차는 금지된다.
C. 국가는 건전한 소비행위를 계도하고 생산품의 품질향상을 촉구하기 위한 소비자보호운동을 법률이 정하는 바에 의하여 보장한다.
D. 국방상 또는 국민경제상 긴절한 필요로 인하여 법률이 정하는 경우에는 사영기업을 국유 또는 공유로 이전할 수 있다.
","Next is the issue of law in Korean society.
Which of the following is incorrect regarding the economic provisions of the Constitution?
A. The state can regulate and adjust the economy to democratize the economy.
B. The state must strive to achieve the principle of agricultural land ownership with respect to farmland, and leasing farmland is prohibited.
C. The state guarantees consumer protection campaigns to encourage healthy consumption behavior and improve the quality of products as prescribed by law.
D. In cases prescribed by law due to urgent needs for national defense or the national economy, private enterprises may be transferred to state ownership or public ownership.
"
526,PSAT_17_6,,"다음은 한국사회의 법에 대한 문제이다.
대통령의 국가긴급권에 대한 설명으로 옳은 것은?","[""A. 헌법상 대통령의 계엄선포권은 '국가의 안위에 관계되는 중대한 교전상태'를 발동요건으로 한다."", 'B. 헌법상 대통령이 발한 긴급명령에 대하여 국회의 승인을 얻지 못한 경우 그 명령은 소급하여 효력을 상실한다.', ""C. 헌법상 대통령의 긴급재정경제처분 및 명령권은 '국회의 집회가 불가능한 때'에 한하여 발할 수 있다."", 'D. 헌법상 비상계엄이 선포된 때에는 법률이 정하는 바에 의하여 영장제도, 언론ㆍ출판ㆍ집회ㆍ결사의 자유, 정부나 법원의 권한에 관하여 특별한 조치를 할 수 있다.']",D,"A. 헌법상 대통령의 계엄선포권은 '국가의 안위에 관계되는 중대한 교전상태'를 발동요건으로 한다.
B. 헌법상 대통령이 발한 긴급명령에 대하여 국회의 승인을 얻지 못한 경우 그 명령은 소급하여 효력을 상실한다.
C. 헌법상 대통령의 긴급재정경제처분 및 명령권은 '국회의 집회가 불가능한 때'에 한하여 발할 수 있다.
D. 헌법상 비상계엄이 선포된 때에는 법률이 정하는 바에 의하여 영장제도, 언론ㆍ출판ㆍ집회ㆍ결사의 자유, 정부나 법원의 권한에 관하여 특별한 조치를 할 수 있다.
","다음은 한국사회의 법에 대한 문제이다.
대통령의 국가긴급권에 대한 설명으로 옳은 것은?
A. 헌법상 대통령의 계엄선포권은 '국가의 안위에 관계되는 중대한 교전상태'를 발동요건으로 한다.
B. 헌법상 대통령이 발한 긴급명령에 대하여 국회의 승인을 얻지 못한 경우 그 명령은 소급하여 효력을 상실한다.
C. 헌법상 대통령의 긴급재정경제처분 및 명령권은 '국회의 집회가 불가능한 때'에 한하여 발할 수 있다.
D. 헌법상 비상계엄이 선포된 때에는 법률이 정하는 바에 의하여 영장제도, 언론ㆍ출판ㆍ집회ㆍ결사의 자유, 정부나 법원의 권한에 관하여 특별한 조치를 할 수 있다.
","Next is the issue of law in Korean society.
Which of the following is correct regarding the president's national emergency powers?
A. Under the Constitution, the president's right to declare martial law is conditioned on a 'serious state of hostilities related to the security of the nation.'
B. Under the Constitution, if the approval of the National Assembly is not obtained for an emergency order issued by the President, the order loses effect retroactively.
C. Under the Constitution, the President's emergency financial and economic measures and command authority can be issued only when 'the National Assembly is not able to hold a meeting.'
D. When martial law is declared under the Constitution, special measures may be taken with regard to the warrant system, freedom of speech, publication, assembly, and association, and the authority of the government or courts in accordance with the provisions of the law.
"
527,PSAT_17_7,,"다음은 한국사회의 법에 대한 문제이다.
사법권에 대한 설명으로 옳지 않은 것은?","['A. 군사법원의 상고심은 대법원에서 관할한다.', 'B. 법률ㆍ명령ㆍ규칙이 헌법이나 법률에 위반되는 여부가 재판의 전제가 된 경우에는 대법원은 이를 최종적으로 심사할 권한을 가진다.', 'C. 국회는 국회의원의 자격심사ㆍ징계ㆍ제명을 할 수 있으며, 이러한 처분에 대하여는 법원에 제소할 수 없다.', 'D. 재판의 전심절차로서 행정심판을 할 수 있으며 행정심판의 절차는 법률로 정하되, 사법절차가 준용되어야 한다.']",B,"A. 군사법원의 상고심은 대법원에서 관할한다.
B. 법률ㆍ명령ㆍ규칙이 헌법이나 법률에 위반되는 여부가 재판의 전제가 된 경우에는 대법원은 이를 최종적으로 심사할 권한을 가진다.
C. 국회는 국회의원의 자격심사ㆍ징계ㆍ제명을 할 수 있으며, 이러한 처분에 대하여는 법원에 제소할 수 없다.
D. 재판의 전심절차로서 행정심판을 할 수 있으며 행정심판의 절차는 법률로 정하되, 사법절차가 준용되어야 한다.
","다음은 한국사회의 법에 대한 문제이다.
사법권에 대한 설명으로 옳지 않은 것은?
A. 군사법원의 상고심은 대법원에서 관할한다.
B. 법률ㆍ명령ㆍ규칙이 헌법이나 법률에 위반되는 여부가 재판의 전제가 된 경우에는 대법원은 이를 최종적으로 심사할 권한을 가진다.
C. 국회는 국회의원의 자격심사ㆍ징계ㆍ제명을 할 수 있으며, 이러한 처분에 대하여는 법원에 제소할 수 없다.
D. 재판의 전심절차로서 행정심판을 할 수 있으며 행정심판의 절차는 법률로 정하되, 사법절차가 준용되어야 한다.
","Next is the issue of law in Korean society.
Which of the following is not an accurate statement about judicial power?
A. The Supreme Court has jurisdiction over appeals from military courts.
B. If the premise of the trial is whether a law, order, or rule violates the Constitution or laws, the Supreme Court has the authority to make the final review.
C. The National Assembly can review the qualifications, discipline, and expel members of the National Assembly, and these actions cannot be brought to court.
D. Administrative adjudication can be conducted as a pre-trial procedure, and the administrative adjudication procedure is determined by law, but judicial procedures must be applied.
"
528,PSAT_17_8,,"다음은 한국사회의 법에 대한 문제이다.
선거관리위원회에 대한 설명으로 옳지 않은 것은?","['A. 선거운동은 각급 선거관리위원회의 관리 하에 법률이 정하는 범위 안에서 하며, 선거에 관한 경비는 법률이 정하는 경우를 제외하고는 정당 또는 후보자에게 부담시킬 수 없다.', 'B. 중앙선거관리위원회 위원은 정당에 가입하거나 정치에 관여할 수 없으며, 탄핵 또는 금고이상의 형의 선고에 의하지 아니하고는 파면되지 아니한다.', 'C. 각급 선거관리위원회는 선거인명부의 작성 등 선거사무와 국민투표사무에 관하여 관계행정기관에 필요한 지시를 할 수 있으며, 이러한 지시를 받은 당해 행정기관은 이에 응하여야 한다.', 'D. 중앙선거관리위원회는 대통령이 임명하는 3인, 국회에서 선출하는 3인과 대법원장이 지명하는 3인의 위원으로 구성되며, 위원의 임기는 6년이고, 위원장은 위원 중에서 대통령이 지명한다.']",D,"A. 선거운동은 각급 선거관리위원회의 관리 하에 법률이 정하는 범위 안에서 하며, 선거에 관한 경비는 법률이 정하는 경우를 제외하고는 정당 또는 후보자에게 부담시킬 수 없다.
B. 중앙선거관리위원회 위원은 정당에 가입하거나 정치에 관여할 수 없으며, 탄핵 또는 금고이상의 형의 선고에 의하지 아니하고는 파면되지 아니한다.
C. 각급 선거관리위원회는 선거인명부의 작성 등 선거사무와 국민투표사무에 관하여 관계행정기관에 필요한 지시를 할 수 있으며, 이러한 지시를 받은 당해 행정기관은 이에 응하여야 한다.
D. 중앙선거관리위원회는 대통령이 임명하는 3인, 국회에서 선출하는 3인과 대법원장이 지명하는 3인의 위원으로 구성되며, 위원의 임기는 6년이고, 위원장은 위원 중에서 대통령이 지명한다.
","다음은 한국사회의 법에 대한 문제이다.
선거관리위원회에 대한 설명으로 옳지 않은 것은?
A. 선거운동은 각급 선거관리위원회의 관리 하에 법률이 정하는 범위 안에서 하며, 선거에 관한 경비는 법률이 정하는 경우를 제외하고는 정당 또는 후보자에게 부담시킬 수 없다.
B. 중앙선거관리위원회 위원은 정당에 가입하거나 정치에 관여할 수 없으며, 탄핵 또는 금고이상의 형의 선고에 의하지 아니하고는 파면되지 아니한다.
C. 각급 선거관리위원회는 선거인명부의 작성 등 선거사무와 국민투표사무에 관하여 관계행정기관에 필요한 지시를 할 수 있으며, 이러한 지시를 받은 당해 행정기관은 이에 응하여야 한다.
D. 중앙선거관리위원회는 대통령이 임명하는 3인, 국회에서 선출하는 3인과 대법원장이 지명하는 3인의 위원으로 구성되며, 위원의 임기는 6년이고, 위원장은 위원 중에서 대통령이 지명한다.
","Next is the issue of law in Korean society.
Which of the following is not correct regarding the Election Commission?
A. Election campaigns are conducted within the scope prescribed by law under the management of election commissions at each level, and election expenses cannot be borne by political parties or candidates except in cases prescribed by law.
B. Members of the National Election Commission cannot join a political party or engage in politics, and cannot be dismissed except by impeachment or a sentence of imprisonment or heavier punishment.
C. Election commissions at each level may give necessary instructions to relevant administrative agencies regarding election affairs and referendum affairs, including the preparation of voter lists, and the relevant administrative agencies that have received such instructions must comply with them.
D. The National Election Commission is composed of three members appointed by the President, three elected by the National Assembly, and three members appointed by the Chief Justice of the Supreme Court. The term of office of the members is six years, and the chairman is appointed by the President from among the members.
"
529,PSAT_17_9,,"다음은 한국사회의 법에 대한 문제이다.
국회의 의사원칙에 대한 설명으로 옳지 않은 것은?","['A. 국회의 회의는 공개한다. 다만, 출석의원 4분의 1 이상의 찬성이 있거나 의장이 국가의 안전보장을 위하여 필요하다고 인정할 때에는 공개하지 아니할 수 있다.', 'B. 국회는 헌법 또는 법률에 특별한 규정이 없는 한 재적의원 과반수의 출석과 출석의원 과반수의 찬성으로 의결한다. 가부동수인 때에는 부결된 것으로 본다.', 'C. 국회에 제출된 법률안은 회기 중에 의결되지 못한 이유로 폐기되지 아니한다. 다만, 국회의원의 임기가 만료된 때에는 그러하지 아니하다.', 'D. 법률안에 대한 대통령의 재의의 요구가 있을 때에는 국회는 재의에 붙이고, 재적의원 과반수의 출석과 출석의원 3분의 2 이상의 찬성으로 전과 같은 의결을 하면 그 법률안은 법률로서 확정된다.']",A,"A. 국회의 회의는 공개한다. 다만, 출석의원 4분의 1 이상의 찬성이 있거나 의장이 국가의 안전보장을 위하여 필요하다고 인정할 때에는 공개하지 아니할 수 있다.
B. 국회는 헌법 또는 법률에 특별한 규정이 없는 한 재적의원 과반수의 출석과 출석의원 과반수의 찬성으로 의결한다. 가부동수인 때에는 부결된 것으로 본다.
C. 국회에 제출된 법률안은 회기 중에 의결되지 못한 이유로 폐기되지 아니한다. 다만, 국회의원의 임기가 만료된 때에는 그러하지 아니하다.
D. 법률안에 대한 대통령의 재의의 요구가 있을 때에는 국회는 재의에 붙이고, 재적의원 과반수의 출석과 출석의원 3분의 2 이상의 찬성으로 전과 같은 의결을 하면 그 법률안은 법률로서 확정된다.
","다음은 한국사회의 법에 대한 문제이다.
국회의 의사원칙에 대한 설명으로 옳지 않은 것은?
A. 국회의 회의는 공개한다. 다만, 출석의원 4분의 1 이상의 찬성이 있거나 의장이 국가의 안전보장을 위하여 필요하다고 인정할 때에는 공개하지 아니할 수 있다.
B. 국회는 헌법 또는 법률에 특별한 규정이 없는 한 재적의원 과반수의 출석과 출석의원 과반수의 찬성으로 의결한다. 가부동수인 때에는 부결된 것으로 본다.
C. 국회에 제출된 법률안은 회기 중에 의결되지 못한 이유로 폐기되지 아니한다. 다만, 국회의원의 임기가 만료된 때에는 그러하지 아니하다.
D. 법률안에 대한 대통령의 재의의 요구가 있을 때에는 국회는 재의에 붙이고, 재적의원 과반수의 출석과 출석의원 3분의 2 이상의 찬성으로 전과 같은 의결을 하면 그 법률안은 법률로서 확정된다.
","The following is a problem regarding the law of Korean society.
Which of the following is not a correct explanation of the National Assembly's principles of deliberation?
A. The National Assembly's meetings are open to the public. However, they may not be open to the public if more than one-fourth of the members present consent or if the Speaker deems it necessary for national security.
B. Unless otherwise provided for in the Constitution or laws, the National Assembly shall make decisions with the attendance of a majority of the members and the consent of a majority of the members present. If the votes are tied, it shall be considered rejected.
C. A bill submitted to the National Assembly shall not be discarded for not being passed during the session. However, this shall not apply if the term of office of a member of the National Assembly has expired.
D. When the President requests reconsideration of a bill, the National Assembly shall reconsiderate it, and if the same resolution is made with the attendance of a majority of the members present and the consent of more than two-thirds of the members present, the bill shall be confirmed as law."
530,PSAT_17_10,,"다음은 한국사회의 법에 대한 문제이다.
표현의 자유에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 헌법재판소 결정에 의함)","[""A. '특정의료기관이나 특정의료인의 기능ㆍ진료방법'에 관한 광고를 금지하는 것은 표현의 자유를 침해한다."", 'B. 기초의회의원선거 후보자로 하여금 특정 정당으로부터의 지지 또는 추천 받음을 표방할 수 없도록 한 것은 정치적 표현의 자유를 침해한다.', 'C. 음란표현은 형사상 처벌대상이므로 언론ㆍ출판의 자유의 보호영역에 해당되지 않는다.', 'D. 민사소송법상의 가처분조항에 방영금지가처분을 포함시켜 가처분에 의한 방영금지를 허용하는 것은 헌법상 사전검열금지원칙에 위배되지 않는다.']",C,"A. '특정의료기관이나 특정의료인의 기능ㆍ진료방법'에 관한 광고를 금지하는 것은 표현의 자유를 침해한다.
B. 기초의회의원선거 후보자로 하여금 특정 정당으로부터의 지지 또는 추천 받음을 표방할 수 없도록 한 것은 정치적 표현의 자유를 침해한다.
C. 음란표현은 형사상 처벌대상이므로 언론ㆍ출판의 자유의 보호영역에 해당되지 않는다.
D. 민사소송법상의 가처분조항에 방영금지가처분을 포함시켜 가처분에 의한 방영금지를 허용하는 것은 헌법상 사전검열금지원칙에 위배되지 않는다.
","다음은 한국사회의 법에 대한 문제이다.
표현의 자유에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 헌법재판소 결정에 의함)
A. '특정의료기관이나 특정의료인의 기능ㆍ진료방법'에 관한 광고를 금지하는 것은 표현의 자유를 침해한다.
B. 기초의회의원선거 후보자로 하여금 특정 정당으로부터의 지지 또는 추천 받음을 표방할 수 없도록 한 것은 정치적 표현의 자유를 침해한다.
C. 음란표현은 형사상 처벌대상이므로 언론ㆍ출판의 자유의 보호영역에 해당되지 않는다.
D. 민사소송법상의 가처분조항에 방영금지가처분을 포함시켜 가처분에 의한 방영금지를 허용하는 것은 헌법상 사전검열금지원칙에 위배되지 않는다.
","Next is the issue of law in Korean society.
Which of the following is not correct regarding freedom of expression? (If there is a dispute, it will be decided by the Constitutional Court)
A. Prohibiting advertisements regarding ‘the functions and treatment methods of specific medical institutions or specific medical personnel’ infringes on freedom of expression.
B. Prohibiting candidates for basic assembly elections from claiming support or recommendation from a specific political party violates freedom of political expression.
C. Since obscene expressions are subject to criminal punishment, they do not fall under the protection of freedom of speech and the press.
D. Allowing a ban on broadcasting through a provisional disposition by including a provisional disposition to ban broadcasting in the provisional disposition provisions of the Civil Procedure Act does not violate the principle of prohibiting prior censorship under the Constitution.
"
