index,id,paragraph,question,choices,answer,options,ko,en
281,PSE_history_13_1,,"다음은 한국의 역사에 대한 문제이다.
다음 자료의 (가), (나) 국가에 대한 설명으로 옳은 것은?  
(가) 산천을 중요시하여 산과 내마다 구분이 있어 함부로 들어가지 않으며, 이를 어기면 우마로 배상하였다. 
(나) 가족이 죽으면 시체를 가매장하였다가 나중에 그 뼈를 추려서 가족 공동 무덤인 커다란 목곽에 안치하였다.","['A. (가) -12월에 영고라는 제천 행사를 지냈다.', 'B. (나) -민며느리제라는 혼인 풍속이 있었다.', 'C. (가), (나) -왕권이 강화된 중앙 집권 국가로 발전하였다.', 'D. (가), (나) -대가들이 제가 회의라는 부족장 회의를 운영하였다.']",B,"A. (가) -12월에 영고라는 제천 행사를 지냈다.
B. (나) -민며느리제라는 혼인 풍속이 있었다.
C. (가), (나) -왕권이 강화된 중앙 집권 국가로 발전하였다.
D. (가), (나) -대가들이 제가 회의라는 부족장 회의를 운영하였다.
","다음은 한국의 역사에 대한 문제이다.
다음 자료의 (가), (나) 국가에 대한 설명으로 옳은 것은?  
(가) 산천을 중요시하여 산과 내마다 구분이 있어 함부로 들어가지 않으며, 이를 어기면 우마로 배상하였다. 
(나) 가족이 죽으면 시체를 가매장하였다가 나중에 그 뼈를 추려서 가족 공동 무덤인 커다란 목곽에 안치하였다.
A. (가) -12월에 영고라는 제천 행사를 지냈다.
B. (나) -민며느리제라는 혼인 풍속이 있었다.
C. (가), (나) -왕권이 강화된 중앙 집권 국가로 발전하였다.
D. (가), (나) -대가들이 제가 회의라는 부족장 회의를 운영하였다.
","Next is a question about Korea's history.
Which of the following statements about countries (a) and (b) is correct?  
(a) Mountains and streams were considered important, and each mountain and interior had its own distinction, so no trespassing was allowed, and if this was violated, compensation was paid in the form of rain or oxcarts. 
(B) When a family member died, the body was temporarily buried, and the bones were later removed and placed in a large wooden box, which was the family's common tomb.
A. (a) -In December, a ancestral rite event called Yeonggo was held.
B. (B) -There was a marriage custom called the daughter-in-law system.
C. (a), (b) - It developed into a centralized state with strengthened royal authority.
D. (a), (b) -The masters ran a meeting of tribal leaders called the meeting.
"
282,PSE_history_13_2,,"다음은 한국의 역사에 대한 문제이다.
조선 영조 때의 역사적 사실로 옳지 않은 것은?","['A. \uf000속대전\uf000을 편찬하여 법전체계를 정비하였다.', 'B. 군역의 부담을 줄여주기 위해 균역법을 시행하였다.', 'C. 산림(山林)의 존재를 인정하지 않고, 그들의 본거지인 서원을', 'D. 각 붕당의 주장이 옳은지 그른지를 명백히 가리는 적극적인']",D,"A. 속대전을 편찬하여 법전체계를 정비하였다.
B. 군역의 부담을 줄여주기 위해 균역법을 시행하였다.
C. 산림(山林)의 존재를 인정하지 않고, 그들의 본거지인 서원을
D. 각 붕당의 주장이 옳은지 그른지를 명백히 가리는 적극적인
","다음은 한국의 역사에 대한 문제이다.
조선 영조 때의 역사적 사실로 옳지 않은 것은?
A. 속대전을 편찬하여 법전체계를 정비하였다.
B. 군역의 부담을 줄여주기 위해 균역법을 시행하였다.
C. 산림(山林)의 존재를 인정하지 않고, 그들의 본거지인 서원을
D. 각 붕당의 주장이 옳은지 그른지를 명백히 가리는 적극적인
","Next is a question about Korea's history.
Which of the following is not correct as a historical fact from the reign of King Yeongjo of Joseon?
A. The legal system was reorganized by compiling Sokdaejeon.
B. The Uniform Service Act was implemented to reduce the burden of military service.
C. Do not acknowledge the existence of forests and use Seowon, their home base.
D. Actively determining whether each party's claims are right or wrong.
"
283,PSE_history_13_3,,"다음은 한국의 역사에 대한 문제이다.
다음 글의 ‘여러 단체와 기관’에 해당하지 않는 것은? 
 1907년 설립된 신민회 회원들은 1909년 말 이후 일본의 한국 병합이 목전에 있다고 보고, 국외로 나가 독립운동을 전개할 필요가 있다는 데 의견을 같이하였다. 이에 따라 신민회 회원들은 1910년 초 이후 국외로 나가기 시작하였다. 신민회의 이회영, 이시영, 이상룡 등은 1911년 압록강 건너 서간도로 옮겨가 삼원보에 자리 잡았다. 이들은 '여러 단체와 기관'을 설립하여 독립 운동 기지 건설 운동을 전개하였다.","['A. 경학사', 'B. 권업회', 'C. 부민단', 'D. 신흥무관학교']",B,"A. 경학사
B. 권업회
C. 부민단
D. 신흥무관학교
","다음은 한국의 역사에 대한 문제이다.
다음 글의 ‘여러 단체와 기관’에 해당하지 않는 것은? 
 1907년 설립된 신민회 회원들은 1909년 말 이후 일본의 한국 병합이 목전에 있다고 보고, 국외로 나가 독립운동을 전개할 필요가 있다는 데 의견을 같이하였다. 이에 따라 신민회 회원들은 1910년 초 이후 국외로 나가기 시작하였다. 신민회의 이회영, 이시영, 이상룡 등은 1911년 압록강 건너 서간도로 옮겨가 삼원보에 자리 잡았다. 이들은 '여러 단체와 기관'을 설립하여 독립 운동 기지 건설 운동을 전개하였다.
A. 경학사
B. 권업회
C. 부민단
D. 신흥무관학교
","Next is a question about Korea's history.
Which of the following does not fall under ‘various organizations and institutions’? 
 The members of Shinminhoe, established in 1907, believed that Japan's annexation of Korea was imminent after the end of 1909, and agreed that it was necessary to go abroad and carry out an independence movement. Accordingly, Shinminhoe members began to go abroad from early 1910. Lee Hoi-yeong, Lee Si-young, and Lee Sang-ryong of Shinminhoe moved to West Gando across the Yalu River in 1911 and settled in Samwonbo. They established 'various organizations and institutions' and carried out a movement to build an independence movement base.
A. Gyeonghaksa Temple
B. Kwonuphoe
C. Bumindan
D. Shinheung Military Academy
"
284,PSE_history_13_4,,"다음은 한국의 역사에 대한 문제이다.
(가)와 (나) 사이의 시기에 만주에서 전개된 무장 항일 운동에 대한 설명으로 옳은 것은? 
  (가) 경신년에 왜군이 내습하여 31명이 살고 있는 촌락을 방화하고 총격을 가하였다. 나도 가옥 9칸과 교회당, 학교가 잿더미로 변한 것을 보고 그것이 사실임을 알았다. 11월 1일에는 왜군 17명, 왜경 2명, 한인 경찰 1명이 와서 남자들을 모조리 끌어내어 죽인 뒤 … (중략) … 남은 주민들을 모아 일장 연설을 하였다. 
 (나) 상해의 한국 독립투사 조직에 속해 있는 한국의 한 젊은이는 비밀리에 도쿄로 건너갔다. 그는 마침 군대를 사열하기 위해 마차에 타고 있던 일본 천황에게 수류탄을 던졌다. 그는 영웅적인 행동 후에 무자비하게 살해되었다. 이 사건은 전일본에 충격을 주었다. 이 사건은 일본 군국주의자들에게 한국인들은 결코 그들에게 지배될 수 없다는 것을 당당히 보여 준 것이다.","['A. 남만주에 조선 혁명군이 창설되었다.', 'B. 한국광복군이 국내 진공 작전을 준비하였다.', 'C. 독립군이 봉오동.청산리 전투에서 일본군을 크게 무찔렀다.', 'D. 동북 항일 연군을 중심으로 치열한 항일 유격전이 전개되었다']",A,"A. 남만주에 조선 혁명군이 창설되었다.
B. 한국광복군이 국내 진공 작전을 준비하였다.
C. 독립군이 봉오동.청산리 전투에서 일본군을 크게 무찔렀다.
D. 동북 항일 연군을 중심으로 치열한 항일 유격전이 전개되었다
","다음은 한국의 역사에 대한 문제이다.
(가)와 (나) 사이의 시기에 만주에서 전개된 무장 항일 운동에 대한 설명으로 옳은 것은? 
  (가) 경신년에 왜군이 내습하여 31명이 살고 있는 촌락을 방화하고 총격을 가하였다. 나도 가옥 9칸과 교회당, 학교가 잿더미로 변한 것을 보고 그것이 사실임을 알았다. 11월 1일에는 왜군 17명, 왜경 2명, 한인 경찰 1명이 와서 남자들을 모조리 끌어내어 죽인 뒤 … (중략) … 남은 주민들을 모아 일장 연설을 하였다. 
 (나) 상해의 한국 독립투사 조직에 속해 있는 한국의 한 젊은이는 비밀리에 도쿄로 건너갔다. 그는 마침 군대를 사열하기 위해 마차에 타고 있던 일본 천황에게 수류탄을 던졌다. 그는 영웅적인 행동 후에 무자비하게 살해되었다. 이 사건은 전일본에 충격을 주었다. 이 사건은 일본 군국주의자들에게 한국인들은 결코 그들에게 지배될 수 없다는 것을 당당히 보여 준 것이다.
A. 남만주에 조선 혁명군이 창설되었다.
B. 한국광복군이 국내 진공 작전을 준비하였다.
C. 독립군이 봉오동.청산리 전투에서 일본군을 크게 무찔렀다.
D. 동북 항일 연군을 중심으로 치열한 항일 유격전이 전개되었다
","Next is a question about Korea's history.
Which of the following is a correct explanation for the armed anti-Japanese movement that developed in Manchuria during the period between (a) and (b)? 
  (A) In the year of Gyeongsin, the Japanese army invaded and set fire to the village where 31 people lived and shot them. I also knew this to be true when I saw 9 houses, a church, and a school reduced to ashes. On November 1, 17 Japanese soldiers, 2 Japanese police, and 1 Korean police officer came and dragged out all the men and killed them... (omitted) … He gathered the remaining residents together and made a speech. 
 (B) A young Korean man who belonged to a Korean independence fighter organization in Shanghai secretly went to Tokyo. He threw a grenade at the Japanese Emperor, who was riding in a carriage to inspect the troops. He was mercilessly murdered after his heroic actions. This incident shocked all of Japan. This incident proudly showed the Japanese militarists that Koreans could never be ruled by them.
A. The Korean Revolutionary Army was established in southern Manchuria.
B. The Korean Liberation Army prepared for a domestic vacuum operation.
C. The independence army largely defeated the Japanese army in the Battle of Bongo-dong and Cheongsan-ri.
D. A fierce anti-Japanese guerrilla war took place centered around the Northeast Anti-Japanese Alliance.
"
285,PSE_history_13_5,,"다음은 한국의 역사에 대한 문제이다.
조선 전기 사림(士林)에 대한 설명으로 옳지 않은 것은?","['A. 재야에서 공론을 주도하는 지도자로서 산림(山林)이 존중되었다.', 'B. 향촌 자치를 내세우며, 도덕과 의리를 바탕으로 한 왕도정치를', 'C. 3사의 언관직을 차지하고, 자신들의 의견을 공론으로 표방', 'D. 중소지주적인 배경을 가지고, 지방사족이 영남과 기호 지방을']",A,"A. 재야에서 공론을 주도하는 지도자로서 산림(山林)이 존중되었다.
B. 향촌 자치를 내세우며, 도덕과 의리를 바탕으로 한 왕도정치를
C. 3사의 언관직을 차지하고, 자신들의 의견을 공론으로 표방
D. 중소지주적인 배경을 가지고, 지방사족이 영남과 기호 지방을
","다음은 한국의 역사에 대한 문제이다.
조선 전기 사림(士林)에 대한 설명으로 옳지 않은 것은?
A. 재야에서 공론을 주도하는 지도자로서 산림(山林)이 존중되었다.
B. 향촌 자치를 내세우며, 도덕과 의리를 바탕으로 한 왕도정치를
C. 3사의 언관직을 차지하고, 자신들의 의견을 공론으로 표방
D. 중소지주적인 배경을 가지고, 지방사족이 영남과 기호 지방을
","Next is a question about Korea's history.
Which of the following is not correct about Sarim (士林) in the early Joseon Dynasty?
A. As a leader leading public opinion in the opposition, forests were respected.
B. A royal politics based on morality and loyalty, advocating rural autonomy
C. Occupy government positions in the three companies and express their opinions as public opinion.
D. With a small and medium-sized landowner background, local nobles controlled Yeongnam and the Kiho region.
"
286,PSE_history_13_6,,"다음은 한국의 역사에 대한 문제이다.
삼국의 항쟁을 시기 순으로 바르게 나열한 것은?
ㄱ. 백제가 신라의 대야성을 비롯한 40여 성을 빼앗았다.
ㄴ. 백제가 고구려의 평양성을 공격하여 고국원왕이 전사 하였다.
ㄷ. 신라가 대가야를 정복하면서 가야 연맹이 완전히 해체 되었다.
ㄹ. 고구려가 평양으로 도읍을 옮기고 백제의 수도 한성을 함락하였다.","['A. ㄴ→ㄷ→ㄹ→ㄱ', 'B. ㄴ→ㄹ→ㄷ→ㄱ', 'C. ㄹ→ㄱ→ㄴ→ㄷ', 'D. ㄹ→ㄴ→ㄱ→ㄷ']",B,"A. ㄴ→ㄷ→ㄹ→ㄱ
B. ㄴ→ㄹ→ㄷ→ㄱ
C. ㄹ→ㄱ→ㄴ→ㄷ
D. ㄹ→ㄴ→ㄱ→ㄷ
","다음은 한국의 역사에 대한 문제이다.
삼국의 항쟁을 시기 순으로 바르게 나열한 것은?
(1)  백제가 신라의 대야성을 비롯한 40여 성을 빼앗았다.
(2)  백제가 고구려의 평양성을 공격하여 고국원왕이 전사 하였다.
(3)  신라가 대가야를 정복하면서 가야 연맹이 완전히 해체 되었다.
(4)  고구려가 평양으로 도읍을 옮기고 백제의 수도 한성을 함락하였다.
A. (2)→(3)→(4)→(1)
B. (2)→(4)→(3)→(1)
C. (4)→(1)→(2)→(3)
D. (4)→(2)→(1)→(3)
","Next is a question about Korea's history.
Which of the following correctly lists the three kingdoms' struggles in chronological order?
(1) Baekje took over 40 castles, including Daeya Castle, from Silla.
(2) Baekje attacked Goguryeo’s Pyeongyang Fortress and King Gogukwon was killed.
(3) When Silla conquered Daegaya, the Gaya Federation was completely disbanded.
(4) Goguryeo moved its capital to Pyeongyang and captured Hanseong, the capital of Baekje.
A. (2)→(3)→(4)→(1)
B. (2)→(4)→(3)→(1)
C. (4)→(1)→(2)→(3)
D. (4)→(2)→(1)→(3)
"
287,PSE_history_13_7,,"다음은 한국의 역사에 대한 문제이다.
조선 후기 호락(湖洛)논쟁에 대한 설명으로 옳지 않은 것은?","['A. 18세기 중엽 노론 내부에 주기설과 주리설의 분파가 생겨', 'B. 호론은 인성과 물성이 다르다고 보는 인물성이론을 내세웠다.', 'C. 낙론은 인성과 물성이 같다는 인물성동론을 주장하였다.', 'D. 호론은 북학파의 과학 기술 존중과 이용후생 사상으로 이어졌다.']",D,"A. 18세기 중엽 노론 내부에 주기설과 주리설의 분파가 생겨
B. 호론은 인성과 물성이 다르다고 보는 인물성이론을 내세웠다.
C. 낙론은 인성과 물성이 같다는 인물성동론을 주장하였다.
D. 호론은 북학파의 과학 기술 존중과 이용후생 사상으로 이어졌다.
","다음은 한국의 역사에 대한 문제이다.
조선 후기 호락(湖洛)논쟁에 대한 설명으로 옳지 않은 것은?
A. 18세기 중엽 노론 내부에 주기설과 주리설의 분파가 생겨
B. 호론은 인성과 물성이 다르다고 보는 인물성이론을 내세웠다.
C. 낙론은 인성과 물성이 같다는 인물성동론을 주장하였다.
D. 호론은 북학파의 과학 기술 존중과 이용후생 사상으로 이어졌다.
","Next is a question about Korea's history.
Which of the following is not an accurate explanation of the Horak controversy in the late Joseon Dynasty?
A. In the mid-18th century, factions of Ju-gi and Ju-ri-seol arose within Noron.
B. Horon put forward a theory of personality that sees personality and physicality as different.
C. Nakron argued for the personality theory that humanity and physical properties are the same.
D. Horon continued the Northern School's philosophy of respect for science and technology and user welfare.
"
288,PSE_history_13_8,,"다음은 한국의 역사에 대한 문제이다.
다음과 같은 역사인식에 따라서 편찬된 역사서에 대한 설명으로 옳은 것은?  
 대저 옛 성인은 예악으로 나라를 일으키고 인의로 가르쳤으며 괴력난신(怪力亂神)은 말하지 않았다. 그러나 제왕이 장차 일어날 때는 부명(符命)과 도록(圖籙)을 받게 되므로 반드시 남보다 다른 일이 있었다. 그래야만 능히 큰 변화를 타고 대업을 이룰 수 있는 것이다. …(중략) … 그러니 삼국의 시조가 모두 신비하고 기이한 일을 연유하여 태어났다는 것을 어찌 괴이하다 할 수 있겠는가. 이것이 신이(神異)로써 이 책의 앞 머리를 삼은 까닭이다.","['A. 정통 의식과 대의명분을 강조하였다.', 'B. 유교적 합리주의 사관에 기초하여 기전체로 서술하였다.', 'C. 고구려 계승 의식을 반영하고 고구려의 전통을 노래하였다.', 'D. 우리의 고유 문화와 전통을 중시하였으며 단군신화를 수록']",D,"A. 정통 의식과 대의명분을 강조하였다.
B. 유교적 합리주의 사관에 기초하여 기전체로 서술하였다.
C. 고구려 계승 의식을 반영하고 고구려의 전통을 노래하였다.
D. 우리의 고유 문화와 전통을 중시하였으며 단군신화를 수록
","다음은 한국의 역사에 대한 문제이다.
다음과 같은 역사인식에 따라서 편찬된 역사서에 대한 설명으로 옳은 것은?  
 대저 옛 성인은 예악으로 나라를 일으키고 인의로 가르쳤으며 괴력난신(怪力亂神)은 말하지 않았다. 그러나 제왕이 장차 일어날 때는 부명(符命)과 도록(圖籙)을 받게 되므로 반드시 남보다 다른 일이 있었다. 그래야만 능히 큰 변화를 타고 대업을 이룰 수 있는 것이다. …(중략) … 그러니 삼국의 시조가 모두 신비하고 기이한 일을 연유하여 태어났다는 것을 어찌 괴이하다 할 수 있겠는가. 이것이 신이(神異)로써 이 책의 앞 머리를 삼은 까닭이다.
A. 정통 의식과 대의명분을 강조하였다.
B. 유교적 합리주의 사관에 기초하여 기전체로 서술하였다.
C. 고구려 계승 의식을 반영하고 고구려의 전통을 노래하였다.
D. 우리의 고유 문화와 전통을 중시하였으며 단군신화를 수록
","Next is a question about Korea's history.
Which of the following is a correct explanation of the history books compiled according to historical awareness?  
 In general, the sages of old built a nation through rites and music, taught humanity and righteousness, and did not speak of gods with great power. However, when the emperor rises in the future, he will receive a fortune telling and a catalog, so there will always be something different from others. Only then can we be able to make great changes and achieve great things. … (omitted) … So how can it be said that it is strange that the founders of the three kingdoms were all born through mysterious and strange events? This is why God (神異) was chosen as the front page of this book.
A. Authentic consciousness and cause were emphasized.
B. It was described as a mechanism based on Confucian rationalism.
C. It reflected the Goguryeo succession ritual and sang the traditions of Goguryeo.
D. We placed emphasis on our unique culture and traditions and included the Dangun myth.
"
289,PSE_history_13_9,,"다음은 한국의 역사에 대한 문제이다.
다음 정치관과 관련이 깊은 정책으로 옳은 것은? 
  임금의 직책은 한 사람의 재상을 논정하는 데 있다 하였으니, 바로 총재(冢宰)를 두고 한 말이다. 총재는 위로는 임금을 받들고 밑으로는 백관을 통솔하여 만민을 다스리는 것이니 직책이 매우 크다. 또 임금의 자질에는 어리석음과 현명함이 있고 강함과 유약함의 차이가 있으니, 옳은 일은 아뢰고 옳지 않은 일은 막아서, 임금으로 하여금 대중(大中)의 경지에 들게 해야 한다. 그러므로 상(相)이라 하니, 곧 보상 (輔相)한다는 뜻이다.","['A. 육조 직계제의 시행', 'B. 사간원의 독립', 'C. 의정부 서사제의 시행', 'D. 집현전의 설치']",C,"A. 육조 직계제의 시행
B. 사간원의 독립
C. 의정부 서사제의 시행
D. 집현전의 설치
","다음은 한국의 역사에 대한 문제이다.
다음 정치관과 관련이 깊은 정책으로 옳은 것은? 
  임금의 직책은 한 사람의 재상을 논정하는 데 있다 하였으니, 바로 총재(冢宰)를 두고 한 말이다. 총재는 위로는 임금을 받들고 밑으로는 백관을 통솔하여 만민을 다스리는 것이니 직책이 매우 크다. 또 임금의 자질에는 어리석음과 현명함이 있고 강함과 유약함의 차이가 있으니, 옳은 일은 아뢰고 옳지 않은 일은 막아서, 임금으로 하여금 대중(大中)의 경지에 들게 해야 한다. 그러므로 상(相)이라 하니, 곧 보상 (輔相)한다는 뜻이다.
A. 육조 직계제의 시행
B. 사간원의 독립
C. 의정부 서사제의 시행
D. 집현전의 설치
","Next is a question about Korea's history.
Which of the following policies is closely related to political views? 
  It is said that the king's job is to decide on a person's chancellor, which is what he meant about the governor. The governor's position is very important, as he governs all people by serving the king above and leading the officials below. Also, the qualities of a king include foolishness and wisdom, and differences between strength and weakness. Therefore, the king must speak out about what is right and prevent what is wrong, so that the king can reach the level of the great people. Therefore, it is said to be in phase, which means compensation.
A. Implementation of the six-family direct succession system
B. Independence of Saganwon
C. Implementation of the Uijeongbu Surveillance System
D. Installation of Jiphyeonjeon
"
290,PSE_history_13_10,,"다음은 한국의 역사에 대한 문제이다.
다음 글의 ‘왕’의 업적에 대한 설명으로 옳은 것은? 
  ○ 왕 : 7년에 율령을 반포하고, 처음으로 백관의 공복을 제정하였다. 19년에 금관국의 왕인 김구해가 왕비와 세 아들을 데리고 와 항복하였다.","['A. ‘건원’이란 연호를 사용하였다.', 'B. 이사부를 시켜 우산국을 정복하였다.', 'C. 유학 교육을 위해 국학을 설립하였다.', 'D. 화랑도를 국가적인 조직으로 개편하였다.']",A,"A. ‘건원’이란 연호를 사용하였다.
B. 이사부를 시켜 우산국을 정복하였다.
C. 유학 교육을 위해 국학을 설립하였다.
D. 화랑도를 국가적인 조직으로 개편하였다.
","다음은 한국의 역사에 대한 문제이다.
다음 글의 ‘왕’의 업적에 대한 설명으로 옳은 것은? 
  ○ 왕 : 7년에 율령을 반포하고, 처음으로 백관의 공복을 제정하였다. 19년에 금관국의 왕인 김구해가 왕비와 세 아들을 데리고 와 항복하였다.
A. ‘건원’이란 연호를 사용하였다.
B. 이사부를 시켜 우산국을 정복하였다.
C. 유학 교육을 위해 국학을 설립하였다.
D. 화랑도를 국가적인 조직으로 개편하였다.
","Next is a question about Korea's history.
Which of the following is a correct explanation of the achievements of the ‘King’? 
  ○ King: In the 7th year, he promulgated the law and established official uniforms for officials for the first time. In 19, Kim Gu-hae, the king of Geumgwan-guk, brought his queen and three sons and surrendered.
A. The era name ‘Geonwon’ was used.
B. He had Isabu conquer Usan-guk.
C. Kukhak was established for Confucian education.
D. Hwarangdo was reorganized into a national organization.
"
