index,id,question,choices,answer,zh,en
0,test_1,“教，上所施，下所效也”“育，养子使作善也”。这两句话出自(),"['A. 《学记》', 'B. 《说文解字》', 'C. 《四书五经》', 'D. 《论语》']",B,"下一个问题是关于中国的文化。
“教，上所施，下所效也”“育，养子使作善也”。这两句话出自()
A. 《学记》, B. 《说文解字》, C. 《四书五经》, D. 《论语》","The next question is about China's culture.
""Teaching is what the superiors do and what the subordinates follow"" and ""Education is to raise children to do good"". These two sentences come from ()
A. ""Xue Ji"", B. ""Shuowen Jiezi"", C. ""Four Books and Five Classics"", D. ""The Analects"""
1,test_2,广东风味小吃有____。,"['A. 猫耳朵', 'B. 双皮奶', 'C. 虾爆鳝面', 'D. 五芳斋粽子']",B,"下一个问题是关于中国的文化。
广东风味小吃有____。
A. 猫耳朵, B. 双皮奶, C. 虾爆鳝面, D. 五芳斋粽子","The next question is about China's culture.
Guangdong-style snacks include ____.
A. Cat ears, B. Double skin milk, C. Shrimp and eel noodles, D. Wufangzhai Zongzi"
2,test_3,杨柳是古代诗词里较为常见的意象，往往蕴涵离别之情。下列名句中不是表达送别意象的是,"['A. 庭院深深深几许?杨柳堆烟，幕帘无重数', 'B. 羌笛何须怨杨柳．春风不度玉门关', 'C. 今宵酒醒何处?杨柳岸、晓风残月', 'D. 渭城朝雨渑轻尘。客舍青青柳色新']",A,"下一个问题是关于中国的文化。
杨柳是古代诗词里较为常见的意象，往往蕴涵离别之情。下列名句中不是表达送别意象的是
A. 庭院深深深几许?杨柳堆烟，幕帘无重数, B. 羌笛何须怨杨柳．春风不度玉门关, C. 今宵酒醒何处?杨柳岸、晓风残月, D. 渭城朝雨渑轻尘。客舍青青柳色新","The next question is about China's culture.
Willow is a common image in ancient poetry, often containing feelings of parting. Which of the following famous lines does not express the image of farewell?
A. How deep is the courtyard? Willows are covered with smoke, and the curtains are countless, B. Why should the Qiang flute blame the willows? The spring breeze does not pass through Yumen Pass, C. Where will I wake up tonight? Willow bank, morning breeze and waning moon, D. The morning rain in Weicheng is light dust. The green willows in the guest house are new"
3,test_4,将儒学系统化并纳入官学体系，对此做出最大贡献的教育家是(),"['A. 孔丘', 'B. 董仲舒', 'C. 老子', 'D. 朱熹']",B,"下一个问题是关于中国的文化。
将儒学系统化并纳入官学体系，对此做出最大贡献的教育家是()
A. 孔丘, B. 董仲舒, C. 老子, D. 朱熹","The next question is about China's culture.
The educator who made the greatest contribution to the systematization of Confucianism and its incorporation into the official education system was ()
A. Confucius, B. Dong Zhongshu, C. Laozi, D. Zhu Xi"
4,test_5,民间城市茶馆兴起，并发展成为适合社会各阶层所需的活动场所，它把茶与曲艺、诗会、戏剧和灯谜等民间文化活动融合起来，形成了一种特殊的“茶馆文化”，“客来敬茶”也已成为寻常百姓的礼仪美德。开始于,"['A. 明朝末年', 'B. 宋朝末年', 'C. 唐朝末年', 'D. 清朝末年']",D,"下一个问题是关于中国的文化。
民间城市茶馆兴起，并发展成为适合社会各阶层所需的活动场所，它把茶与曲艺、诗会、戏剧和灯谜等民间文化活动融合起来，形成了一种特殊的“茶馆文化”，“客来敬茶”也已成为寻常百姓的礼仪美德。开始于
A. 明朝末年, B. 宋朝末年, C. 唐朝末年, D. 清朝末年","The next question is about China's culture.
Teahouses in private cities emerged and developed into activity venues suitable for all social classes. They combined tea with folk art, poetry, drama, and lantern riddles, forming a special ""teahouse culture"". ""Serving tea to guests"" has become a ceremonial virtue for ordinary people. Started in
A. The end of the Ming Dynasty, B. The end of the Song Dynasty, C. The end of the Tang Dynasty, D. The end of the Qing Dynasty"
5,test_6,古人归纳总结出许多观天象识天气的谚语。下列与天气变化无关的谚语是____。,"['A. 百日连阴雨，总有一日晴', 'B. 天上鱼鳞云，地下雨淋淋', 'C. 东风是个精，不下也要阴', 'D. 朝霞不出门，晚霞行千里']",A,"下一个问题是关于中国的文化。
古人归纳总结出许多观天象识天气的谚语。下列与天气变化无关的谚语是____。
A. 百日连阴雨，总有一日晴, B. 天上鱼鳞云，地下雨淋淋, C. 东风是个精，不下也要阴, D. 朝霞不出门，晚霞行千里","The next question is about China's culture.
The ancients summarized many proverbs about observing the sky and predicting the weather. The following proverb is not related to weather changes.
A. After a hundred days of continuous rain, there will always be a sunny day, B. When there are fish-scale clouds in the sky, it will rain on the ground, C. The east wind is a spirit, it will be cloudy even if it doesn't rain, D. Don't go out when there is morning glow, but you can travel thousands of miles when there is evening glow."
6,test_7,下列选项最可能是赝品的是,"['A. 战国时期记录如何制作青花瓷的竹筒', 'B. 制作于明代末年，起矫正视力作用的眼镜', 'C. 拍摄于19世纪70年代的展示沙俄宫廷生活的照片', 'D. 3000年前西亚赫梯人使用的铁器']",A,"下一个问题是关于中国的文化。
下列选项最可能是赝品的是
A. 战国时期记录如何制作青花瓷的竹筒, B. 制作于明代末年，起矫正视力作用的眼镜, C. 拍摄于19世纪70年代的展示沙俄宫廷生活的照片, D. 3000年前西亚赫梯人使用的铁器","The next question is about China's culture.
Which of the following options is most likely to be a fake?
A. A bamboo tube that records how to make blue and white porcelain during the Warring States Period, B. Glasses made in the late Ming Dynasty to correct vision, C. Photos taken in the 1870s showing the life of the Tsarist court, D. Iron tools used by the Hittites in Western Asia 3,000 years ago"
7,test_8,从这些饮食思想出发，中国人选择了“五谷为养、五果为助、五畜为益、五菜为充” 为饮食结 构，其中“五果”是指,"['A. 李、杏、枣、桃、柿', 'B. 李、杏、蕉、橘、柿', 'C. 李、杏、蕉、桃、栗', 'D. 李、杏、枣、桃、栗']",D,"下一个问题是关于中国的文化。
从这些饮食思想出发，中国人选择了“五谷为养、五果为助、五畜为益、五菜为充” 为饮食结 构，其中“五果”是指
A. 李、杏、枣、桃、柿, B. 李、杏、蕉、橘、柿, C. 李、杏、蕉、桃、栗, D. 李、杏、枣、桃、栗","The next question is about China's culture.
Based on these dietary ideas, the Chinese chose the dietary structure of ""five grains for nourishment, five fruits for assistance, five animals for benefit, and five vegetables for filling"", among which the ""five fruits"" refer to
A. plum, apricot, jujube, peach, persimmon, B. plum, apricot, banana, orange, persimmon, C. plum, apricot, banana, peach, chestnut, D. plum, apricot, jujube, peach, chestnut"
8,test_9,中国古代著名科学家沈括和郭守敬在下列哪些领域中作出了卓越贡献?,"['A. 历法和数学', 'B. 数学和水利', 'C. 天文和历法', 'D. 天文和数学']",C,"下一个问题是关于中国的文化。
中国古代著名科学家沈括和郭守敬在下列哪些领域中作出了卓越贡献?
A. 历法和数学, B. 数学和水利, C. 天文和历法, D. 天文和数学","The next question is about China's culture.
In which of the following fields did the famous ancient Chinese scientists Shen Kuo and Guo Shoujing make outstanding contributions?
A. Calendar and mathematics, B. Mathematics and water conservancy, C. Astronomy and calendar, D. Astronomy and mathematics"
9,test_10,下列菜肴中，不属于淮扬菜名菜的是,"['A. 蟹粉狮子头', 'B. 大煮干丝', 'C. 三套鸭', 'D. 汤爆双脆']",D,"下一个问题是关于中国的文化。
下列菜肴中，不属于淮扬菜名菜的是
A. 蟹粉狮子头, B. 大煮干丝, C. 三套鸭, D. 汤爆双脆","The next question is about China's culture.
Which of the following dishes is not a famous Huaiyang dish?
A. Crab meat and lion head, B. Boiled dried shredded vegetables, C. Three-piece duck, D. Fried double crispy vegetables in soup"
