index,id,paragraph,question,choices,answer,options,ko,en
1123,KIIP_tradition_1,,"다음은 한국의 문화와 전통에 대한 문제이다.
다음 중 한국의 대표적인 요리가 아닌 것은?","['A. 불고기', 'B. 비빔밥', 'C. 동파육', 'D. 삼계탕']",C,"A. 불고기
B. 비빔밥
C. 동파육
D. 삼계탕
","다음은 한국의 문화와 전통에 대한 문제이다.
다음 중 한국의 대표적인 요리가 아닌 것은?
A. 불고기
B. 비빔밥
C. 동파육
D. 삼계탕
","Next is the issue of Korean culture and tradition.
Which of the following is not a representative Korean dish?
A. Bulgogi
B. Bibimbap
C. Dongpoyuk
D. Samgyetang
"
1124,KIIP_tradition_2,,"다음은 한국의 문화와 전통에 대한 문제이다.
조선시대에 남자가 외출할 때 입었던 한복은 무엇인가?","['A. 치마', 'B. 저고리', 'C. 두루마기', 'D. 장옷']",C,"A. 치마
B. 저고리
C. 두루마기
D. 장옷
","다음은 한국의 문화와 전통에 대한 문제이다.
조선시대에 남자가 외출할 때 입었던 한복은 무엇인가?
A. 치마
B. 저고리
C. 두루마기
D. 장옷
","Next is the issue of Korean culture and tradition.
What is the hanbok that men wore when going out during the Joseon Dynasty?
A. Skirt
B. Jeogori
C. Scroll
D. Jangot
"
1125,KIIP_tradition_3,,"다음은 한국의 문화와 전통에 대한 문제이다.
조선시대에 여자가 외출할 때 입었던 한복은 무엇인가?","['A. 치마', 'B. 저고리', 'C. 두루마기', 'D. 장옷']",D,"A. 치마
B. 저고리
C. 두루마기
D. 장옷
","다음은 한국의 문화와 전통에 대한 문제이다.
조선시대에 여자가 외출할 때 입었던 한복은 무엇인가?
A. 치마
B. 저고리
C. 두루마기
D. 장옷
","Next is the issue of Korean culture and tradition.
What is the hanbok that women wore when going out during the Joseon Dynasty?
A. Skirt
B. Jeogori
C. Scroll
D. Jangot
"
1126,KIIP_tradition_4,,"다음은 한국의 문화와 전통에 대한 문제이다.
조선시대 때 한복을 입을 때 남녀 모두 발에 무엇을 신었는가?","['A. 신발', 'B. 양말', 'C. 버선', 'D. 구두']",C,"A. 신발
B. 양말
C. 버선
D. 구두
","다음은 한국의 문화와 전통에 대한 문제이다.
조선시대 때 한복을 입을 때 남녀 모두 발에 무엇을 신었는가?
A. 신발
B. 양말
C. 버선
D. 구두
","Next is the issue of Korean culture and tradition.
What did both men and women wear on their feet when wearing Hanbok during the Joseon Dynasty?
A. Shoes
B. Socks
C. Beoseon
D. shoes
"
1127,KIIP_tradition_5,,"다음은 한국의 문화와 전통에 대한 문제이다.
한식이 건강 유지에 좋은 이유는 무엇인가?","['A. 다양한 영양소를 고루 섭취할 수 있기 때문', 'B. 맛이 좋기 때문', 'C. 가볍게 먹을 수 있기 때문', 'D. 다이어트에 좋기 때문']",A,"A. 다양한 영양소를 고루 섭취할 수 있기 때문
B. 맛이 좋기 때문
C. 가볍게 먹을 수 있기 때문
D. 다이어트에 좋기 때문
","다음은 한국의 문화와 전통에 대한 문제이다.
한식이 건강 유지에 좋은 이유는 무엇인가?
A. 다양한 영양소를 고루 섭취할 수 있기 때문
B. 맛이 좋기 때문
C. 가볍게 먹을 수 있기 때문
D. 다이어트에 좋기 때문
","Next is the issue of Korean culture and tradition.
Why is Korean food good for maintaining health?
A. Because you can consume a variety of nutrients.
B. Because it tastes good
C. Because it can be eaten lightly
D. Because it is good for dieting
"
1128,KIIP_tradition_6,,"다음은 한국의 문화와 전통에 대한 문제이다.
과거에는 김장한 김치를 어떻게 보관하였는가?","['A. 냉장고에 보관', 'B. 땅에 묻어 보관', 'C. 상자에 보관', 'D. 실온에 보관']",B,"A. 냉장고에 보관
B. 땅에 묻어 보관
C. 상자에 보관
D. 실온에 보관
","다음은 한국의 문화와 전통에 대한 문제이다.
과거에는 김장한 김치를 어떻게 보관하였는가?
A. 냉장고에 보관
B. 땅에 묻어 보관
C. 상자에 보관
D. 실온에 보관
","Next is the issue of Korean culture and tradition.
How was kimchi stored in the past?
A. Store in the refrigerator
B. Stored by burying in the ground
C. Store in box
D. Store at room temperature
"
1129,KIIP_tradition_7,,"다음은 한국의 문화와 전통에 대한 문제이다.
한국인의 주식은 무엇인가?","['A. 밥', 'B. 빵', 'C. 면', 'D. 고기']",A,"A. 밥
B. 빵
C. 면
D. 고기
","다음은 한국의 문화와 전통에 대한 문제이다.
한국인의 주식은 무엇인가?
A. 밥
B. 빵
C. 면
D. 고기
","Next is the issue of Korean culture and tradition.
What are Korean stocks?
A. Bob
B. Bread
C. cotton
D. meat
"
1130,KIIP_tradition_8,,"다음은 한국의 문화와 전통에 대한 문제이다.
한국인이 주로 먹는 식사 구성은 무엇인가?","['A. 밥, 국, 반찬', 'B. 빵, 스프, 샐러드', 'C. 면, 국물, 반찬', 'D. 밥, 스프, 샐러드']",A,"A. 밥, 국, 반찬
B. 빵, 스프, 샐러드
C. 면, 국물, 반찬
D. 밥, 스프, 샐러드
","다음은 한국의 문화와 전통에 대한 문제이다.
한국인이 주로 먹는 식사 구성은 무엇인가?
A. 밥, 국, 반찬
B. 빵, 스프, 샐러드
C. 면, 국물, 반찬
D. 밥, 스프, 샐러드
","Next is the issue of Korean culture and tradition.
What do Koreans usually eat?
A. Rice, soup, side dishes
B. Bread, soup, salad
C. Noodles, soup, side dishes
D. Rice, soup, salad
"
1131,KIIP_tradition_9,,"다음은 한국의 문화와 전통에 대한 문제이다.
반찬으로 주로 사용되는 것은 무엇인가?","['A. 나물이나 김치', 'B. 고기나 생선', 'C. 빵이나 과자', 'D. 과일이나 채소']",A,"A. 나물이나 김치
B. 고기나 생선
C. 빵이나 과자
D. 과일이나 채소
","다음은 한국의 문화와 전통에 대한 문제이다.
반찬으로 주로 사용되는 것은 무엇인가?
A. 나물이나 김치
B. 고기나 생선
C. 빵이나 과자
D. 과일이나 채소
","Next is the issue of Korean culture and tradition.
What is mainly used as a side dish?
A. Namul or kimchi
B. Meat or fish
C. Bread or cookies
D. Fruits or vegetables
"
1132,KIIP_tradition_10,,"다음은 한국의 문화와 전통에 대한 문제이다.
한국의 대표적인 발효식품 중 하나는 무엇인가?","['A. 김치', 'B. 라면', 'C. 떡볶이', 'D. 비빔밥']",A,"A. 김치
B. 라면
C. 떡볶이
D. 비빔밥
","다음은 한국의 문화와 전통에 대한 문제이다.
한국의 대표적인 발효식품 중 하나는 무엇인가?
A. 김치
B. 라면
C. 떡볶이
D. 비빔밥
","Next is the issue of Korean culture and tradition.
What is one of Korea’s representative fermented foods?
A. Kimchi
B. Ramen
C. Tteokbokki
D. Bibimbap
"
