index,id,paragraph,question,choices,answer,options,ko,en
799,Kedu_popular_1,,"다음은 한국의 대중문화에 대한 문제이다.
세계 영화제에서 수상한 영화와 그 수상내용을 잘못 연결한 것은?","['A. 임권택의 <서편제> - 베를린영화제 감독상', 'B. 김기덕의 <빈집> - 베니스영화제 감독상', 'C. 이창동의 <밀양> - 칸영화제 여우주연상', 'D. 박찬욱의 <올드보이> - 칸영화제 심사위원대상']",A,"A. 임권택의 <서편제> - 베를린영화제 감독상
B. 김기덕의 <빈집> - 베니스영화제 감독상
C. 이창동의 <밀양> - 칸영화제 여우주연상
D. 박찬욱의 <올드보이> - 칸영화제 심사위원대상
","다음은 한국의 대중문화에 대한 문제이다.
세계 영화제에서 수상한 영화와 그 수상내용을 잘못 연결한 것은?
A. 임권택의 <서편제> - 베를린영화제 감독상
B. 김기덕의 <빈집> - 베니스영화제 감독상
C. 이창동의 <밀양> - 칸영화제 여우주연상
D. 박찬욱의 <올드보이> - 칸영화제 심사위원대상
","Next is the issue of Korean popular culture.
What is the incorrect connection between a film that has won an award at a world film festival and its award details?
A. Im Kwon-taek's <Seopyeonje> - Best Director Award, Berlin International Film Festival
B. Kim Ki-duk’s “Empty House” - Best Director Award at the Venice Film Festival
C. Lee Chang-dong's <Secret Sunshine> - Best Actress Award at Cannes Film Festival
D. Park Chan-wook's <Oldboy> - Grand Jury Prize at Cannes Film Festival
"
800,Kedu_popular_2,,"다음은 한국의 대중문화에 대한 문제이다.
다음 노래들에 나타난 공통점은? 
○ 투애니원의 <I don't care> 
○ 미쓰에이의 <Bad Girl Good Girl> 
○ 걸스데이의 <여자대통령>","['A. 가족에 대한 그리움을 표현하고 있다.', 'B. 취업을 앞둔 여성의 심리적 불안을 노래하고 있다.', 'C. 남녀 문제에서 여성의 당당해진 모습을 말하고 있다.', 'D. 사회적인 문제를 해결하기 위한 여성의 정치적 참여를 역설하고 있다.']",C,"A. 가족에 대한 그리움을 표현하고 있다.
B. 취업을 앞둔 여성의 심리적 불안을 노래하고 있다.
C. 남녀 문제에서 여성의 당당해진 모습을 말하고 있다.
D. 사회적인 문제를 해결하기 위한 여성의 정치적 참여를 역설하고 있다.
","다음은 한국의 대중문화에 대한 문제이다.
다음 노래들에 나타난 공통점은? 
○ 투애니원의 <I don't care> 
○ 미쓰에이의 <Bad Girl Good Girl> 
○ 걸스데이의 <여자대통령>
A. 가족에 대한 그리움을 표현하고 있다.
B. 취업을 앞둔 여성의 심리적 불안을 노래하고 있다.
C. 남녀 문제에서 여성의 당당해진 모습을 말하고 있다.
D. 사회적인 문제를 해결하기 위한 여성의 정치적 참여를 역설하고 있다.
","Next is the issue of Korean popular culture.
What do the following songs have in common? 
○ 2NE1’s <I don’t care> 
○ Miss A’s <Bad Girl Good Girl> 
○ Girl’s Day’s <Female President>
A. It expresses longing for family.
B. It sings about the psychological anxiety of a woman about to get a job.
C. It speaks of women becoming more confident in the issue of men and women.
D. It emphasizes women's political participation to solve social problems.
"
801,Kedu_popular_3,,"다음은 한국의 대중문화에 대한 문제이다.
한국의 대중문화에 관한 설명으로 옳지 않은 것은?","['A. 1960년대 민간 상업 방송사들이 개국하여 매스미디어의 성장이 시작되었다.', 'B. 1970년대 무역 개방 정책의 일환으로 일본영화의 상영이 허용되었다.', 'C. 1980년대 프로 스포츠가 시작되어 경기장 관람문화가 전국적으로 확산되었다.', 'D. 1990년대 동아시아를 중심으로 한국의 대중문화가 폭넓은 인기를 얻게 되었다.']",B,"A. 1960년대 민간 상업 방송사들이 개국하여 매스미디어의 성장이 시작되었다.
B. 1970년대 무역 개방 정책의 일환으로 일본영화의 상영이 허용되었다.
C. 1980년대 프로 스포츠가 시작되어 경기장 관람문화가 전국적으로 확산되었다.
D. 1990년대 동아시아를 중심으로 한국의 대중문화가 폭넓은 인기를 얻게 되었다.
","다음은 한국의 대중문화에 대한 문제이다.
한국의 대중문화에 관한 설명으로 옳지 않은 것은?
A. 1960년대 민간 상업 방송사들이 개국하여 매스미디어의 성장이 시작되었다.
B. 1970년대 무역 개방 정책의 일환으로 일본영화의 상영이 허용되었다.
C. 1980년대 프로 스포츠가 시작되어 경기장 관람문화가 전국적으로 확산되었다.
D. 1990년대 동아시아를 중심으로 한국의 대중문화가 폭넓은 인기를 얻게 되었다.
","Next is the issue of Korean popular culture.
Which of the following is not correct regarding Korean popular culture?
A. The growth of mass media began in the 1960s with the opening of private commercial broadcasting companies.
B. As part of the trade openness policy in the 1970s, the screening of Japanese films was allowed.
C. With the beginning of professional sports in the 1980s, the culture of watching stadiums spread nationwide.
D. In the 1990s, Korean pop culture gained widespread popularity, especially in East Asia.
"
802,Kedu_popular_4,,"다음은 한국의 대중문화에 대한 문제이다.
한국전쟁이나 남북분단이 주된 배경인 영화를 모두 고른 것은? 
ㄱ. 태극기 휘날리며 
ㄴ. 공동경비구역 JSA 
ㄷ. 해운대
ㄹ. 박하사탕 
ㅁ. 웰컴 투 동막골","['A. ㄱ, ㄴ, ㄹ', 'B. ㄱ, ㄴ, ㅁ', 'C. ㄴ, ㄷ, ㄹ', 'D. ㄷ, ㄹ, ㅁ']",B,"A. ㄱ, ㄴ, ㄹ
B. ㄱ, ㄴ, ㅁ
C. ㄴ, ㄷ, ㄹ
D. ㄷ, ㄹ, ㅁ
","다음은 한국의 대중문화에 대한 문제이다.
한국전쟁이나 남북분단이 주된 배경인 영화를 모두 고른 것은? 
(1)  태극기 휘날리며 
(2)  공동경비구역 JSA 
(3)  해운대
(4)  박하사탕 
ㅁ. 웰컴 투 동막골
A. (1), (2), (4)
B. (1), (2), ㅁ
C. (2), (3), (4)
D. (3), (4), ㅁ
","Next is the issue of Korean popular culture.
How did you choose all the movies that have the Korean War or the division of North and South Korea as their main background? 
(1) Waving the Taegeukgi 
(2) Joint Security Area JSA 
(3) Haeundae
(4) Peppermint candy 
grave. Welcome to Dongmakgol
A. (1), (2), (4)
B. (1), (2), ㅁ
C. (2), (3), (4)
D. (3), (4), ㅁ
"
803,Kedu_popular_5,,"다음은 한국의 대중문화에 대한 문제이다.
해외 수상내역과 작품의 연결로 옳은 것은?","['A. 토니상 - 명성황후', 'B. 맨부커상 - 채식주의자', 'C. 칸 국제영화제 그랑프리 - 피에타', 'D. 안시 국제 애니메이션 페스티벌 그랑프리 - 서울역']",B,"A. 토니상 - 명성황후
B. 맨부커상 - 채식주의자
C. 칸 국제영화제 그랑프리 - 피에타
D. 안시 국제 애니메이션 페스티벌 그랑프리 - 서울역
","다음은 한국의 대중문화에 대한 문제이다.
해외 수상내역과 작품의 연결로 옳은 것은?
A. 토니상 - 명성황후
B. 맨부커상 - 채식주의자
C. 칸 국제영화제 그랑프리 - 피에타
D. 안시 국제 애니메이션 페스티벌 그랑프리 - 서울역
","Next is the issue of Korean popular culture.
What is the correct connection between overseas awards and works?
A. Tony Award - Empress Myeongseong
B. Man Booker Prize - Vegetarian
C. Cannes International Film Festival Grand Prix – Pieta
D. Annecy International Animation Festival Grand Prix - Seoul Station
"
804,Kedu_popular_6,,"다음은 한국의 대중문화에 대한 문제이다.
만화를 원작으로 제작된 한국 영화가 아닌 것은?","['A. 타짜', 'B. 암살', 'C. 순정만화', 'D. 공포의 외인구단']",B,"A. 타짜
B. 암살
C. 순정만화
D. 공포의 외인구단
","다음은 한국의 대중문화에 대한 문제이다.
만화를 원작으로 제작된 한국 영화가 아닌 것은?
A. 타짜
B. 암살
C. 순정만화
D. 공포의 외인구단
","Next is the issue of Korean popular culture.
Which of the following is not a Korean movie based on a cartoon?
A. Tazza
B. assassination
C. Romance comics
D. Foreign team of fear
"
805,Kedu_popular_7,,"다음은 한국의 대중문화에 대한 문제이다.
영화와 그 배경이 되는 시대의 연결이 옳지 않은 것은?","['A. <쌍화점> - 신라 선덕여왕', 'B. <최종병기 활> - 조선 인조', 'C. <왕의 남자> - 조선 연산군', 'D. <그림자 살인> - 대한제국 고종황제']",A,"A. <쌍화점> - 신라 선덕여왕
B. <최종병기 활> - 조선 인조
C. <왕의 남자> - 조선 연산군
D. <그림자 살인> - 대한제국 고종황제
","다음은 한국의 대중문화에 대한 문제이다.
영화와 그 배경이 되는 시대의 연결이 옳지 않은 것은?
A. <쌍화점> - 신라 선덕여왕
B. <최종병기 활> - 조선 인조
C. <왕의 남자> - 조선 연산군
D. <그림자 살인> - 대한제국 고종황제
","Next is the issue of Korean popular culture.
Which of the following is incorrect about the connection between the movie and the era in which it is set?
A. <Ssanghwajeom> - Queen Seondeok of Silla
B. <The Ultimate Weapon, the Bow> - King Injo of the Joseon Dynasty
C. <The King and the Clown> - Yeonsangun of Joseon
D. <Shadow Murder> - Emperor Gojong of the Korean Empire
"
806,Kedu_popular_8,,"다음은 한국의 대중문화에 대한 문제이다.
해외 영화제와 그 영화제에서 수상한 한국 영화가 바르게 연결되지 않은 것은?","['A. 칸 영화제 - <취화선>', 'B. 칸 영화제 - <기생충>', 'C. 모스크바 영화제 - <아제아제바라아제>', 'D. 베를린 영화제 - <오아시스>']",D,"A. 칸 영화제 - <취화선>
B. 칸 영화제 - <기생충>
C. 모스크바 영화제 - <아제아제바라아제>
D. 베를린 영화제 - <오아시스>
","다음은 한국의 대중문화에 대한 문제이다.
해외 영화제와 그 영화제에서 수상한 한국 영화가 바르게 연결되지 않은 것은?
A. 칸 영화제 - <취화선>
B. 칸 영화제 - <기생충>
C. 모스크바 영화제 - <아제아제바라아제>
D. 베를린 영화제 - <오아시스>
","Next is the issue of Korean popular culture.
What is not properly connected between foreign film festivals and Korean films that have won awards at those festivals?
A. Cannes Film Festival - <Chihwaseon>
B. Cannes Film Festival - <Parasite>
C. Moscow Film Festival - <Azeazevaradze>
D. Berlin Film Festival - <Oasis>
"
807,Kedu_popular_9,,"다음은 한국의 대중문화에 대한 문제이다.
다음은 역사적 배경을 담고 있는 영화이다. 역사적 배경에 따라 영화를 시대순으로나열한 것은? 
ㄱ. 이준익의 <왕의 남자> 
ㄴ. 허진호의 <천문> 
ㄷ. 김한민의 <명량> 
ㄹ. 이준익의 <사도>","['A. ㄱ - ㄹ - ㄴ - ㄷ', 'B. ㄴ - ㄱ - ㄷ - ㄹ', 'C. ㄷ - ㄹ - ㄴ - ㄱ', 'D. ㄹ - ㄱ - ㄷ - ㄴ']",B,"A. ㄱ - ㄹ - ㄴ - ㄷ
B. ㄴ - ㄱ - ㄷ - ㄹ
C. ㄷ - ㄹ - ㄴ - ㄱ
D. ㄹ - ㄱ - ㄷ - ㄴ
","다음은 한국의 대중문화에 대한 문제이다.
다음은 역사적 배경을 담고 있는 영화이다. 역사적 배경에 따라 영화를 시대순으로나열한 것은? 
(1)  이준익의 <왕의 남자> 
(2)  허진호의 <천문> 
(3)  김한민의 <명량> 
(4)  이준익의 <사도>
A. (1) - (4) - (2) - (3)
B. (2) - (1) - (3) - (4)
C. (3) - (4) - (2) - (1)
D. (4) - (1) - (3) - (2)
","Next is the issue of Korean popular culture.
The following is a movie with historical background. Which movies are listed in chronological order according to historical background? 
(1) Lee Jun-ik’s <The King and the Clown> 
(2) Heo Jin-ho’s <Astronomy> 
(3) Kim Han-min’s <Roaring Currents> 
(4) Lee Jun-ik’s <Apostle>
A. (1) - (4) - (2) - (3)
B. (2) - (1) - (3) - (4)
C. (3) - (4) - (2) - (1)
D. (4) - (1) - (3) - (2)
"
808,Kedu_popular_10,,"다음은 한국의 대중문화에 대한 문제이다.
웹툰을 원작으로 제작한 한국의 TV 드라마가 아닌 것은?","['A. <미생>', 'B. <이태원 클라쓰>', 'C. <나빌레라>', 'D. <해를 품은 달>']",D,"A. <미생>
B. <이태원 클라쓰>
C. <나빌레라>
D. <해를 품은 달>
","다음은 한국의 대중문화에 대한 문제이다.
웹툰을 원작으로 제작한 한국의 TV 드라마가 아닌 것은?
A. <미생>
B. <이태원 클라쓰>
C. <나빌레라>
D. <해를 품은 달>
","Next is the issue of Korean popular culture.
Which of the following is not a Korean TV drama based on a webtoon?
A. <Incomplete Life>
B. <Itaewon Class>
C. <Navillera>
D. <The Moon Embracing the Sun>
"
